,current_location,current_work,previous_work,latest_Education,major,search_school,latitude,longitude,state,county,city,fips,current_company,previous_company,current_company_industry,previous_company_industry
565,"Atlanta, Georgia, United States","Director, Partnership Marketing at Delta Vacations, a division of Delta Air Lines at Delta Air Lines","Senior Manager, Marketing & E-Commerce at The Ritz-Carlton Hotel Company LLC",Brown University,Masters Business Administration,Brown University,33.748992,-84.390264,Georgia,Fulton,Atlanta,13121.0,Delta Air Lines,The Ritz-Carlton Hotel Company LLC,488119 Vacuuming of airport runways,721110 Tourist lodges
566,"San Francisco, California, United States",Cofounder at Lightstep,"Mentor, Advisor at Code for America",Brown University,Mathematics and Computer Science,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Lightstep,Code for America,561990 Trading stamp redemption services,541613 Sales management consulting services
567,New York City  ,President at Sakara Life,Consultant at Bain & Company,Harvard Business School,"International Relations, Economics",Brown University,40.712728,-74.006015,New York,,New York,36061.0,Sakara Life,Bain & Company,,541611 Strategic planning consulting services
568,"Hong Kong, Hong Kong SAR",Chief Strategy and Proposition Officer at GOtyme,Senior Strategy and Business Development Manager at Commonwealth Bank,Harvard Business School,Applied Mathematics - Economics,Brown University,22.279328,114.162813,香港 Hong Kong,,香港島 Hong Kong Island,,GOtyme,Commonwealth Bank,,522110 State commercial banks
569,"New York, New York, United States",VP Digital & Client Services at Christian Dior Couture,"VP E-commerce, Americas at Bottega Veneta",Massachusetts Institute of Technology,Big data,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Christian Dior Couture,Bottega Veneta,551112 Public utility holding companies,541420 Tool industrial design services
570,"New York, New York, United States",Leadership Communication Coach at Speak Global,Software Developer at Jane Street,Brown University,Computer Science,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Speak Global,Jane Street,541618 Utilities management consulting services,523120 Stock options brokerages
571,San Francisco Bay ,Co-Founder & CEO at Nalu Bio,"Chief Business Officer at Bluestar Genomics, Inc - Precision Epigenomic Medicine",Brown University,,Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,Nalu Bio,"Bluestar Genomics, Inc - Precision Epigenomic Medicine",,
572,"Cambridge, Massachusetts, United States",Chief Scientific Officer at Arbor Biotechnologies,"Vice President, Biology, Rare Disease Research Unit at Pfizer",Columbia University in the City of New York,Biochemistry,Brown University,42.3751,-71.105616,Massachusetts,Middlesex,Cambridge,25017.0,Arbor Biotechnologies,Pfizer,541715,"325411 Vitamins, uncompounded, manufacturing"
573,"New York, New York, United States",Co-Founder and General Partner at MetaProp,Board Observer at Staircase,Columbia Business School,Ancient Studies,Brown University,40.712728,-74.006015,New York,,New York,36061.0,MetaProp,Staircase,,321918 Wood shutters manufacturing
574,"London, England, United Kingdom",Co-Founder/CEO at Sellalong,Founder/Chair at Stuffstr,Stanford University Graduate School of Business,Economics & Music,Brown University,51.507322,-0.127647,England,,London,,Sellalong,Stuffstr,,
575,"Waltham, Massachusetts, United States",Chief Commercial Officer at Adagio Therapeutics,Chief Commercial Officer at Entasis Therapeutics,Harvard Business School,Business,Brown University,42.37564,-71.2358,Massachusetts,Middlesex,Waltham,25017.0,Adagio Therapeutics,Entasis Therapeutics,,325412 Zinc oxide medicinal preparations manufacturing
576,"New York, New York, United States",VP of Fashion Operations at Rent The Runway,Senior Director of Fashion Operations at Rent The Runway,Brown University,,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Rent The Runway,Rent The Runway,448120 Maternity shops,448120 Maternity shops
577,"San Francisco, California, United States","Director of Product Design, Head of AI for Products & AR at Meta","Senior Director, Product Design & Research at Delivery Hero",Rhode Island School of Design,Graphic Design,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Meta,Delivery Hero,"541512 Systems integration design services, computer",561110 Office management services
578,San Francisco Bay ,"Director, Sustainability & Strategic Sourcing at Simple Mills","Regenerative Agriculture and Responsible Sourcing Manager, Global Social Impact Team at General Mills",Brown University,"MSc in Agriculture, Food & Environment | Corporate Sustainability Track",Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,Simple Mills,General Mills,311999 Yeast manufacturing,"311520 Yogurt, frozen, manufacturing"
579,"San Francisco, California, United States",Chief Financial Officer at Nomi Health,Department Head - Corporate Development at Sequoia Capital,Brown University,Computer Science,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Nomi Health,Sequoia Capital,522320 U.S. Central Credit Union,523910 Viatical settlement companies
580,"New York, New York, United States",Co-Founder at Champ,Vice President Investment Banking at Bank of America Merrill Lynch,Columbia Business School,Finance,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Champ,Bank of America Merrill Lynch,551112 Public utility holding companies,522110 State commercial banks
581,New York City  ,"Manager II, Marketplace Growth & Strategy  at Walmart eCommerce",Manager - Marketplace Growth & Strategy at Walmart eCommerce,Dartmouth College,Mathematics modified with Engineering Sciences Major; Hispanic Studies Minor,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Walmart eCommerce,Walmart eCommerce,,
582,"Lambertville, New Jersey, United States",Director of Corporate Information Technology at Turtle & Hughes,"Owner at ELB Internet Services, Inc.",Brown University,,Brown University,40.370403,-74.943716,New Jersey,Hunterdon,Lambertville,34019.0,Turtle & Hughes,"ELB Internet Services, Inc.",423840 Wiping cloths merchant wholesalers,
583,"San Diego, California, United States",General Manager at Propeller Health,"Vice President, Strategy at ResMed",+ 1 more,Healthcare Organizations & Management,Brown University,32.71742,-117.162773,California,San Diego,San Diego,6073.0,Propeller Health,ResMed,561499 Videoconferencing services,"511210 Utility software, computer, packaged"
584,"Seattle, Washington, United States",Founding Member at nFormation,"Director of People Function - Public Sector, Health Services & Pharmaceutical Practices  at McKinsey & Company",Harvard University Kennedy School of Government,Public Policy,Brown University,47.603832,-122.330062,Washington,King,Seattle,53033.0,nFormation,McKinsey & Company,561110 Office management services,541611 Strategic planning consulting services
585,"Boston, Massachusetts, United States","Head of Data Analytics and Insights, Global Corporate Affairs at Takeda",Global Head of Talent Strategy & Analytics at Wayfair,University of Southern California,Organizational Change and Leadership,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Takeda,Wayfair,325412 Zinc oxide medicinal preparations manufacturing,454110
586,"Irvine, California, United States",Chief Executive Officer at BeWell Network Drug Rehabs Los Angeles California | Alcohol Detox | Inpatient Drug Rehabs LA,Board Member at Nami Illinois,Harvard Business School,Data Analytics,Brown University,33.685697,-117.825982,California,Orange,Irvine,6059.0,BeWell Network Drug Rehabs Los Angeles California | Alcohol Detox | Inpatient Drug Rehabs LA,Nami Illinois,,"621420 Substance abuse treatment centers and clinics (except hospitals), outpatient"
587,"The Randstad, Netherlands",Founder at Axini B.V.,Researcher (PhD) at University of Twente,Universiteit Twente,Computer Science,Brown University,52.376137,5.222568,Flevoland,,Almere,,Axini B.V.,University of Twente,,
588,"São Paulo, São Paulo, Brazil",Director at Nubank,Co-Founder at Edufuturo,IMD Business School,"Business Administration and Management, General",Brown University,-23.550651,-46.633382,São Paulo,Região Metropolitana de São,São Paulo,,Nubank,Edufuturo,,
589,San Francisco Bay ,Global Supply Chain - Danaher Business Systems at Cepheid,"Executive Director, Corporate Operations - Operational Excellence at Gilead Sciences",Massachusetts Institute of Technology - Sloan School of Management,"Operations Management, Technology Innovation",Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,Cepheid,Gilead Sciences,339112 Veterinarians' instruments and apparatus manufacturing,325414 Virus vaccines manufacturing
590,"New York, New York, United States",President at Credico,,Brown University,Business Economonics and Marketing,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Credico,,551112 Public utility holding companies,
591,"San Francisco, California, United States","Director, Business Development & Corporate Innovation at Sapphire Ventures, LLC","Manager, Business Development & Customer Networks at Sapphire",Brown University,History,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,"Sapphire Ventures, LLC",Sapphire,,"423990 Wood products (e.g., chips, posts, shavings, ties) merchant wholesalers"
592,"Narragansett, Rhode Island, United States",Head of Business Development at Beacon,Cofounder at Middle Child Meadworks,Brown University,Business/Managerial Economics,Brown University,41.450102,-71.4495,Rhode Island,South,,,Beacon,Middle Child Meadworks,423310 Wood siding merchant wholesalers,
593,"Los Altos, California, United States","Book Author at Truth from the Valley, A Practical Primer on IT Management for the Next Decade","Chief Information Officer at Okta, Inc.",+ 1 more,Geological Science,Brown University,37.379063,-122.116578,California,Santa Clara,Los Altos,6085.0,"Truth from the Valley, A Practical Primer on IT Management for the Next Decade","Okta, Inc.",,"541511 Web (i.e., Internet) page design services, custom"
594,San Francisco Bay ,Head of ISV & XaaS Alliances at Veeam Software,"Advisor - Product Fit and GTM at Ampool, Inc. (Acquired by HPE)",Brown University,Business Economics and Geological Sciences,Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,Veeam Software,"Ampool, Inc. (Acquired by HPE)",443142 Video tape stores,
595,"San Francisco, California, United States",President at CRC Insurance Services,Angel Investor at Keiretsu Forum,Brown University,IE Brown,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,CRC Insurance Services,Keiretsu Forum,524210 Life insurance agencies,
596,"San Francisco, California, United States",Partner at Andreessen Horowitz,Principal at Blumberg Capital,Harvard Business School,Mathematics,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Andreessen Horowitz,Blumberg Capital,,523910 Viatical settlement companies
597, Boston,Director of Product at Omsom,Brand Strategy & Marketing Consultant  at Compound Foods,The University of Chicago Booth School of Business,"Marketing, Entrepreneurship, Operations",Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Omsom,Compound Foods,,
598,"Boston, Massachusetts, United States",Managing Partner at InfraNext Partners,Principal at BlueMountain Capital Management,Harvard University,Data Science,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,InfraNext Partners,BlueMountain Capital Management,,523920 Portfolio fund managing
599,"San Francisco, California, United States","Vice President, Store Development Strategy & Operations at SEPHORA","Senior Director, Real Estate Strategy & Portfolio Management at SEPHORA","University of California, Berkeley, Haas School of Business",Business Economics / International Relations,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,SEPHORA,SEPHORA,446120 Perfume stores,446120 Perfume stores
600,"Boston, Massachusetts, United States","Director, Renewable Energy Consulting at NextEra Energy, Inc.","Director at MP2 Energy LLC, A Shell Energy North America Subsidiary",Tufts University - The Fletcher School of Law and Diplomacy,Corporate Finance & Accounting,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,"NextEra Energy, Inc.","MP2 Energy LLC, A Shell Energy North America Subsidiary","221118 Power generation, tidal electric",
601,"Dallas, Texas, United States",Chief Executive Officer at BeHome247,Managing Director at Longship Partners,1988–1990,General Management,Brown University,32.776272,-96.796856,Texas,Dallas,Dallas,48113.0,BeHome247,Longship Partners,,
602,"Brooklyn, New York, United States",Senior Data Scientist at Airbnb,"Senior Research Scientist, Product/Content Research and Analytics at Netflix",Brown University,Economics,Brown University,40.652601,-73.949721,New York,,,,Airbnb,Netflix,"561599 Time share exchange services, condominium","519130 Yearbook (e.g., high school, college, university) publishers, exclusively on Internet"
603,"San Francisco, California, United States",CEO at Thistle,Co-Founder at WeGoFair,Brown University,Economics,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Thistle,WeGoFair,"424470 Processed meats (e.g., luncheon, sausage) merchant wholesalers",
604,"Boston, Massachusetts, United States",Creative Strategy Director at Yoop,Senior Fulfillment Manager & Environment Enrichment Coordinator at Happie,Brown University,Political Science,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Yoop,Happie,,999990
605,New York City  ,Founding Partner at Plant Medicine Law Group LLP,Founder at Chestnut Hill Advisory Partners LLC,Brown University,International Relations & Judaic Studies,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Plant Medicine Law Group LLP,Chestnut Hill Advisory Partners LLC,,
606,"London, England, United Kingdom",SVP Sales Operations at RELX,VP  Sales Operations EMEA at NICE Ltd,+ 1 more,Finance and Business Administration,Brown University,51.507322,-0.127647,England,,London,,RELX,NICE Ltd,"511210 Utility software, computer, packaged",519190 Title search services (except real estate)
607,"Denver, Colorado, United States",Partner at 90octane,"Senior Strategy Manager at iXL, Inc.",University of Virginia - Darden Graduate School of Business Administration,,Brown University,39.739236,-104.984862,Colorado,,Denver,8031.0,90octane,"iXL, Inc.",541613 Sales management consulting services,"611710 Testing services, educational"
608,"New York, New York, United States","Senior Vice President, Head of Workplace Services and Facilities at Antares Capital LP","Director, Head of NYC Facility Management at BlackRock",Brown University,Geology and Biology,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Antares Capital LP,BlackRock,541611 Strategic planning consulting services,"523930 Investment advisory services, customized, fees paid by client"
609,New York City  ,Global Responsible Sourcing Manager at Colgate-Palmolive,New-Product Project Manager (Technical Manager) Oral Care North America at Colgate-Palmolive,Brown University,Organizational Leadership,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Colgate-Palmolive,Colgate-Palmolive,"311111 Pet food, dog and cat, manufacturing","311111 Pet food, dog and cat, manufacturing"
610,"Cambridge, Massachusetts, United States",Founding Partner and CEO at Goldman & Partners Immigration Law (Formerly Jeff Goldman Immigration),Partner at Mintz Levin,Boston University School of Law,Law,Brown University,42.3751,-71.105616,Massachusetts,Middlesex,Cambridge,25017.0,Goldman & Partners Immigration Law (Formerly Jeff Goldman Immigration),Mintz Levin,,541110 Tax law attorneys' private practices
611,"Somerville, Massachusetts, United States",Fractional Product Manager & PM Career Coach at Chart Your Own Path,"Senior Product Manager, Hotels at TripAdvisor",Brown University,Business Economics,Brown University,42.387597,-71.099497,Massachusetts,Middlesex,Somerville,25017.0,Chart Your Own Path,TripAdvisor,,518210 Web hosting
612, Boston,General Counsel & Chief Administrative Officer at Latham Pool Products Inc,"EVP, Chief Legal & Administrative Officer at Avid",Brown University,,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Latham Pool Products Inc,Avid,339920 Wet suits manufacturing,999990
613,"Los Angeles, California, United States",Partner at Neufeld Marks,Attorney at Holland + Knight,1985–1988,Law,Brown University,34.053691,-118.242766,California,Los Angeles,Los Angeles,6037.0,Neufeld Marks,Holland + Knight,,541110 Tax law attorneys' private practices
614,"Mexico City, Mexico",Co-Founder and CTO at Nelo,Software Engineering Manager (EM -> EM2) at Uber,Brown University,,Brown University,19.43263,-99.133178,Ciudad de México,,Ciudad de México,,Nelo,Uber,"484121 Trucking, general freight, long-distance, truckload (TL)",
615,"New York, New York, United States",Co-Founder and CTO at Nira Energy,CELI Fellow at Clean Energy Leadership Institute,Brown University,Computer Science,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Nira Energy,Clean Energy Leadership Institute,,
616, Boston,Chief Executive Officer at Phase Change Software LLC,"President at Phase Change Software, LLC",University of Chicago,"Finance, General",Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Phase Change Software LLC,"Phase Change Software, LLC","541512 Systems integration design services, computer","541512 Systems integration design services, computer"
617, Boston,Chief Technology Officer at AppHarvest,Co-Founder and CEO (acquired by AppHarvest) at Root AI,Massachusetts Institute of Technology,Physical Chemistry,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,AppHarvest,Root AI,"111219 Zucchini farming, field, bedding plant and seed production",
618,"Brooklyn, New York, United States",CEO & Co-founder at Rip Van,Intern at McKinsey & Company,Brown University,Applied Mathematics-Economics,Brown University,40.652601,-73.949721,New York,,,,Rip Van,McKinsey & Company,453220 Souvenir shops,541611 Strategic planning consulting services
619,"New York, New York, United States","Co-Founder at Enhalus Capital, LP","Partner at Firefly Value Partners, LP",Brown University,Economics,Brown University,40.712728,-74.006015,New York,,New York,36061.0,"Enhalus Capital, LP","Firefly Value Partners, LP",,
620,"Durham, North Carolina, United States",CEO at Carolina Solar Energy,Director of Project Development at Carolina Solar Energy,New York University - Leonard N. Stern School of Business,Finance & Strategy,Brown University,35.98257,-78.909187,North Carolina,Durham,Durham,37063.0,Carolina Solar Energy,Carolina Solar Energy,,
621,Dallas-Fort Worth ,"Manager, Logistics Systems & Analytics at HollyFrontier","IT Director, TM & Java Technology at Ryder System, Inc.",Brown University,Electrical Engineering,Brown University,32.745316,-97.327831,Texas,Tarrant,Fort Worth,48439.0,HollyFrontier,"Ryder System, Inc.",486910 Refined petroleum products pipeline transportation,532120 Van (except passenger) rental or leasing without driver
622,"Wayland, Massachusetts, United States","Senior Vice President US Operations at Krystal Biotech, Inc.",Vice President Global & US Business Operations at Alnylam Pharmaceuticals,"University of California, Berkeley, Haas School of Business",Business Administration,Brown University,42.363206,-71.360672,Massachusetts,Middlesex,,25017.0,"Krystal Biotech, Inc.",Alnylam Pharmaceuticals,325412 Zinc oxide medicinal preparations manufacturing,541714
623,Malaysia,DCEO & Co-founder at BigPay | Challenge Banking,Group Strategy at AirAsia,Brown University,Chemistry,Brown University,4.569375,102.265682,,,,,BigPay | Challenge Banking,AirAsia,,481111 Scheduled air passenger transportation
624,"Dakar, Senegal",Founder & CEO at Wave Mobile Money,Founder & CEO at Sendwave (International Remittance),2004–2008,,Brown University,14.693425,-17.447938,,,Dakar,,Wave Mobile Money,Sendwave (International Remittance),,
625,"San Francisco, California, United States",Founder and CEO at Down Dog,Software Engineer III at Google,Brown University,Computer Science,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Down Dog,Google,,"541512 Systems integration design services, computer"
626,"New York, New York, United States",Co-Founder & President at Runwise,Senior Director Of Engineering at The Knot Worldwide,1999–2004,"Computer Science, Economics",Brown University,40.712728,-74.006015,New York,,New York,36061.0,Runwise,The Knot Worldwide,,812990 Wedding planning services
627,"Del Mar, California, United States",Co-founder and CEO at XOKind,Vice President of Artificial Intelligence Software and Research at Intel Corporation,Brown University,Neuroscience,Brown University,32.959489,-117.265315,California,San Diego,,6073.0,XOKind,Intel Corporation,"541511 Web (i.e., Internet) page design services, custom","511210 Utility software, computer, packaged"
628,"London, England, United Kingdom",CEO at Happiness House,Head of Product at Happiness House GmbH,Brown University,Psychology,Brown University,51.507322,-0.127647,England,,London,,Happiness House,Happiness House GmbH,,
629,"New York, New York, United States",Founder and CEO at Loftie,Entrepreneur In Residence at IDEO,Harvard Kennedy School,History,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Loftie,IDEO,,541611 Strategic planning consulting services
630,"Durham, North Carolina, United States",Co-Founder/CTO at Higharc,Independent Software Consultant at Peter Boyer Consulting,Massachusetts Institute of Technology,Engineering,Brown University,35.98257,-78.909187,North Carolina,Durham,Durham,37063.0,Higharc,Peter Boyer Consulting,,
631, Cleveland,Founder and CEO at Thrivable,Co-Founder and CEO at Diabetes Daily,Brown University,"Entrepreneurship, Computer Programming, Public Policy, Creative Writing, Music",Brown University,41.499656,-81.693681,Ohio,Cuyahoga,Cleveland,39035.0,Thrivable,Diabetes Daily,,
632,"Dallas, Texas, United States",President and CEO at Pieces,Board of Directors at HIMSS,The Johns Hopkins University,Robert Wood Johnson Clinical Scholar,Brown University,32.776272,-96.796856,Texas,Dallas,Dallas,48113.0,Pieces,HIMSS,"336390 Wipers, windshield, automotive, truck, and bus, manufacturing",551112 Public utility holding companies
633,"London, England, United Kingdom","CEO, Founder at Parla",Founder Mission 1 at Zinc VC,University of Pennsylvania - The Wharton School,Finance and Management,Brown University,51.507322,-0.127647,England,,London,,Parla,Zinc VC,333414 Wood stoves manufacturing,
634,"New York, New York, United States",Chief Executive Officer at Lustare,Chief Operating Officer at Mauboussin,Brown University,"Double major in Political Science and Literature, and courses in Economics",Brown University,40.712728,-74.006015,New York,,New York,36061.0,Lustare,Mauboussin,,423940 Watches and parts merchant wholesalers
635,"Denver, Colorado, United States",CTO & Co-Founder at Gremlin Inc.,Lead Software Engineer at salesforce.com,Brown University,Applied Mathematics/Computer Science,Brown University,39.739236,-104.984862,Colorado,,Denver,8031.0,Gremlin Inc.,salesforce.com,541611 Strategic planning consulting services,519190 Title search services (except real estate)
636,"Houston, Texas, United States",Co-Founder at Amberwave Partners,Commissioner at United States Arctic Research Commission,Harvard University,Dual Major - U.S. History and Russian Studies,Brown University,29.758938,-95.367697,Texas,Harris,Houston,48201.0,Amberwave Partners,United States Arctic Research Commission,,
637,"New York, New York, United States",Managing Director at Ares Management Corporation,"Managing Director, Blackstone Insurance Solutions at The Blackstone Group",Brown University,Economics and International Relations,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Ares Management Corporation,The Blackstone Group,"525910 Mutual funds, open-ended",523120 Stock options brokerages
638,"Houston, Texas, United States","Chief Operating Officer at The Houston Zoo, Inc.",Deputy Director/Chief Operating Officer at The Menil Collection,1980–1983,Architecture,Brown University,29.758938,-95.367697,Texas,Harris,Houston,48201.0,"The Houston Zoo, Inc.",The Menil Collection,712130 Zoos,
639,"New York, New York, United States",CEO at Vestar Capital Partners,,Yale University - Yale School of Management,,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Vestar Capital Partners,,523910 Viatical settlement companies,
640,"Minneapolis, Minnesota, United States",Founder & CEO at Apruve,Advisor at Andcor Companies,Brown University,Biology,Brown University,44.9773,-93.265469,Minnesota,Hennepin,Minneapolis,27053.0,Apruve,Andcor Companies,,
641," Mahwah, New Jersey, United States","Director, Additive Technology at Stryker","Senior Manager, Additive Technology at Stryker",Northwestern University,Materials Science and Engineering,Brown University,41.088707,-74.143755,New Jersey,Bergen,,34003.0,Stryker,Stryker,"423450 X-ray machines and parts, medical and dental, merchant wholesalers","423450 X-ray machines and parts, medical and dental, merchant wholesalers"
642,"London, England, United Kingdom",Head of Marketing at Wayve,Marketing and Brand Strategy Consultant at Consultant,1997–2001,Urban Studies,Brown University,51.507322,-0.127647,England,,London,,Wayve,Consultant,551112 Public utility holding companies,541410 Interior designer services
643,"Boston, Massachusetts, United States",Co-Founder at Brahmin Solutions,Senior Associate at Providence Equity Partners,Brown University,Economics,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Brahmin Solutions,Providence Equity Partners,,488510 Shipping agents (freight forwarding)
644,"London, England, United Kingdom",Interim General Manager (Germany)  at Getir,Head of Expansion (United Kingdom) at Getir,Brown University,Electrical Engineering,Brown University,51.507322,-0.127647,England,,London,,Getir,Getir,"445299 Water stores, bottled","445299 Water stores, bottled"
645,San Francisco Bay ,"President and Chief Operating Officer at Corporate Edge, Inc.","Managing Director and Chief Operations Officer at Corporate Edge, Inc.",Golden Gate University,Negotiation and Leadership Program,Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,"Corporate Edge, Inc.","Corporate Edge, Inc.","448210 Shoe stores, orthopedic","448210 Shoe stores, orthopedic"
646,"Washington,  of Columbia, United States","Chief Operating Officer at Invictus International Consulting, LLC",Chief Information Security Officer - Public Sector at Lumen Technologies,Brown University,Cybersecurity,Brown University,38.895037,-77.036543,District of Columbia,,Washington,,"Invictus International Consulting, LLC",Lumen Technologies,541690 Security consulting services,517911 Wireless telecommunication resellers (except satellite)
647,"Oakton, Virginia, United States",Chief Financial Officer / Chief Information Officer at Resigility LLC,Consultant - Research at The Alleris Group,Wharton School of Business,"Marketing, Operations",Brown University,38.896729,-77.298697,Virginia,Fairfax,,51059.0,Resigility LLC,The Alleris Group,,
648,"Cambridge, Massachusetts, United States","Senior Product Manager, Talent Cultivation at Sonos, Inc.","Senior Product Manager, Category Leader at Sonos, Inc.",Vanderbilt University,Biomedical Engineering,Brown University,42.3751,-71.105616,Massachusetts,Middlesex,Cambridge,25017.0,"Sonos, Inc.","Sonos, Inc.",334310 Video cassette recorders (VCR) manufacturing,334310 Video cassette recorders (VCR) manufacturing
649,New York City  ,Founder & CEO - We're Hiring! at Ivy Exec (IvyExec.com),,Columbia University - Columbia Business School,Economics and Psychology,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Ivy Exec (IvyExec.com),,,
650,"Washington,  of Columbia, United States",Co-Founder and Chief Executive Officer at Surgo Ventures,Co-Founder and Executive Director at Surgo Foundation,2005,Developmental Genetics,Brown University,38.895037,-77.036543,District of Columbia,,Washington,,Surgo Ventures,Surgo Foundation,,561499 Videoconferencing services
651,Atlanta  ,Co-Founder and COO at Futurense Technologies,Vice President at 180 Degrees Consulting,Emory University,Finance,Brown University,33.748992,-84.390264,Georgia,Fulton,Atlanta,13121.0,Futurense Technologies,180 Degrees Consulting,,
652,"New York, New York, United States",CEO / CIO at The Rohatyn Group,Director at MarketAxess,1978–1982,Economics,Brown University,40.712728,-74.006015,New York,,New York,36061.0,The Rohatyn Group,MarketAxess,,523120 Stock options brokerages
653,"San Francisco, California, United States",Founder at Down Dog App,,Harvard Law School,Economics,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Down Dog App,,,
654,"Warwick, Rhode Island, United States",Chairman & CEO at Home Loan Investment Bank,President at Rhode Islanders Sponsoring Education (RISE),2001–2003,Finance,Brown University,41.700202,-71.416111,Rhode Island,Kent,,44003.0,Home Loan Investment Bank,Rhode Islanders Sponsoring Education (RISE),522292 Reverse mortgage lending,
655,"Hilton Head Island, South Carolina, United States",President and Chief Strategy Officer at Carter Bank & Trust,Chief Strategy Officer at Carter Bank & Trust,1998–2000,Finance,Brown University,32.161849,-80.751262,South Carolina,Beaufort,,45013.0,Carter Bank & Trust,Carter Bank & Trust,522110 State commercial banks,522110 State commercial banks
656,"Franklin, Tennessee, United States","Director, Threat, Intelligence and IAM Operations at Jackson","Director, Information Security Business & Technology Integration at Jackson",Brown University School of Professional Studies,Cybersecurity,Brown University,35.925206,-86.868942,Tennessee,Williamson,Franklin,47187.0,Jackson,Jackson,"524298 Rate making services, insurance","524298 Rate making services, insurance"
657,"Oakland, California, United States",Director Of Innovation at REBBL Inc.,Senior Brand Manager at Premier Nutrition: The Good Energy People,Northwestern University - Kellogg School of Management,Marketing,Brown University,37.804456,-122.271356,California,Alameda,Oakland,6001.0,REBBL Inc.,Premier Nutrition: The Good Energy People,,
658,Hong Kong SAR,Managing Director at ICBC International,"Director, Head of Asia Pacific Cash Equity Sales Trading at Societe Generale",Brown University,Organizational Behavior Studies,Brown University,22.350627,114.184916,香港 Hong Kong,,,,ICBC International,Societe Generale,525990 Unit investment trust funds,541611 Strategic planning consulting services
659,"Seattle, Washington, United States","Head of Healthcare Strategy and Development, Amazon Business  at Amazon","Head of Non-Acute, Amazon Business at Amazon",Northwestern University - Kellogg School of Management,"Strategy, Management & Organizations",Brown University,47.603832,-122.330062,Washington,King,Seattle,53033.0,Amazon,Amazon,454110,454110
660,"Palo Alto, California, United States",President & CIO at Merk Investments,,Brown University,"Computer Science (M.Sc.), Business Economics (B.A., magna cum laude)",Brown University,37.444329,-122.159846,California,Santa Clara,Palo Alto,6085.0,Merk Investments,,,
661,"Santa Clara, California, United States","VP of Product Strategy & Customer Success at InOrbit, Inc.",VP of Operations & Customer Success at Thuuz Sports,Brown University,Computer Science,Brown University,37.233325,-121.684635,California,Santa Clara,,6085.0,"InOrbit, Inc.",Thuuz Sports,"423430 Software, computer, packaged, merchant wholesalers",
662,"New York, New York, United States",Founder at Law Office of Stacy J Grossman,Vice President and Associate General Counsel at News Corporation,Boston University School of Law,International Relations,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Law Office of Stacy J Grossman,News Corporation,,"511110 Publishers, newspaper, combined with printing"
663,"Seattle, Washington, United States",Head Of Marketing at Qumulo,Chief of Staff to the CEO at Qumulo,The Tuck School of Business at Dartmouth,"Economics, Latin with Honors",Brown University,47.603832,-122.330062,Washington,King,Seattle,53033.0,Qumulo,Qumulo,"334112 Tape storage units (e.g., drive backups), computer peripheral equipment, manufacturing","334112 Tape storage units (e.g., drive backups), computer peripheral equipment, manufacturing"
664,"Los Angeles, California, United States",Founder at BHANTI,Volunteer / Teacher at Sabbatical,Brown University,Modern Culture and Media,Brown University,34.053691,-118.242766,California,Los Angeles,Los Angeles,6037.0,BHANTI,Sabbatical,,
