,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,fips
229,"Redwood City, California, United States",Vice President of Operations at Foreground,"Senior Director, External Manufacturing  at Shutterfly Inc.","University of California, Riverside","Business Administration and Management, General","University of California, Riverside","(37.4863239, -122.232523)",California,San Mateo,Redwood City,6081
230,"Portland, Oregon, United States","Chief Technology Officer at SWK Technologies, Inc.",Reseller at Sage Software,Bishop amat 83,Computer Sciences,"University of California, Riverside","(45.5202471, -122.6741949)",Oregon,Multnomah,Portland,41051
231,"Santa Monica, California, United States","VP of Product, Fan-Based Marketing at Live Nation Entertainment",Head of Growth at Hugo Insurance,"University of California, Riverside",Film,"University of California, Riverside","(34.0194704, -118.4912273)",California,Los Angeles,Santa Monica,6037
232,"Weehawken, New Jersey, United States",Senior Consultant at Capco,"Authorized Officer, Data Analytics & Change Management at UBS","University of California, Riverside",Business/Managerial Economics,"University of California, Riverside","(40.7695457, -74.0204177)",New Jersey,Hudson,,34017
233,Raleigh-Durham-Chapel Hill ,"Director of R&D - Assay Development, Translational Genomics at Q² Solutions",Principal at GATC Bio,"University of California, Los Angeles","Molecular, Cell, & Development Biology","University of California, Riverside","(35.85504815, -78.84065953761768)",North Carolina,Wake,,37183
234,"Alhambra, California, United States",Founder/CEO at SoapSox,FSP MHRS at Hillsides Foster Care Charity,"University of California, Riverside",Psychology,"University of California, Riverside","(34.093042, -118.12706)",California,Los Angeles,,6037
235,"Palm Springs, California, United States",Procurement Specialist II at City of Palm Springs,"Procurement & Contracting Manager, Acting at City of Palm Springs",Ashford University,"Logistics, Materials, and Supply Chain Management","University of California, Riverside","(33.772179449999996, -116.49529769785079)",California,Riverside,Palm Springs,6065
236,New York City  ,Co-Founder at QUAINT,Co-Founder at Nothing,Northwestern University,Industrial Engineering,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
237,"Seattle, Washington, United States",Ecommerce Marketing Manager at BAGGU,Account Manager - Bags & Accessories at Touch of Modern,"University of California, Riverside","Business, Management, Marketing, and Related Support Services","University of California, Riverside","(47.6038321, -122.3300624)",Washington,King,Seattle,53033
238,"Anaheim, California, United States",Chief Executive Officer at EVER BOOTS,Sales Manager at EVER BOOTS,School University of California Riverside,"Business Administration and Management, General","University of California, Riverside","(33.8347516, -117.911732)",California,Orange,Anaheim,6059
239,"Orange County, California, United States","Chief Operating Officer at Quandis, Inc.",Program Manager at London Bridge Group,1995–1999,"Computer Science, Mathematics","University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
240,"Nanterre, Île-de-France, France",Head of digital & e-commerce  at Signify,Head Of Digital at TCL Communication,"ICD Business School, Paris - Toulouse - Dublin - Shanghai",Conseil et Stratégie Commerciale,"University of California, Riverside","(48.8924273, 2.2071267)",Île-de-France,Hauts-de-Seine,,
241,,National Vice President of Sales Strategy at OneDigital,"Regional Vice President of Growth (So Cal, AZ, NM, NV & UT) at OneDigital Health and Benefits","University of California, Riverside",Business Administration & Management,"University of California, Riverside",,,,,
242,"Santa Clara, California, United States","Vice President, Midea AI and IoT at Midea Group",Project lead and Principle Engineer at Sony Ericsson Mobile Communications,"University of California, Riverside","Pattern Recognition and Machine Learning, Electrical Engineering","University of California, Riverside","(37.2333253, -121.6846349)",California,Santa Clara,,6085
243,"San Jose, California, United States",VP Product Management at U.S. Bank,VP Product Mgmt. & Experience at Roambee Corporation,"University of California, Berkeley, Haas School of Business",Product Management,"University of California, Riverside","(37.3361905, -121.890583)",California,Santa Clara,San Jose,6085
244, Seattle ,"Director, Software Development at Hulu",Software Development Manager at TUNE,+ 1 more,Computer Science,"University of California, Riverside","(47.6038321, -122.3300624)",Washington,King,Seattle,53033
245,"Glendora, California, United States",CEO at AutoID,Director of Infrastructure at CallSource,1995–1999,,"University of California, Riverside","(34.1361187, -117.865339)",California,Los Angeles,,6037
246,"San Diego County, California, United States","Director, IT Infrastructure at FFF Enterprises",Director of IT Services at The Scripps Research Institute,University of Northern Colorado,Economics,"University of California, Riverside","(32.9637838, -116.7706277)",California,San Diego,,6073
247,"Irvine, California, United States",Co-Founder at Snapshoot,Director of Product Management at Arcules,"University of California, Riverside",Design Thinking Executive Program,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
248,"Albany, California, United States",Director of IT at Bolt,Director of IT at Iterable,"University of California, Riverside",Chemical Engineering / Economics,"University of California, Riverside","(37.88687, -122.2977475)",California,Alameda,,6001
249,"Riverside, California, United States",Chief Product Security Officer at Esri,Principal Security Architect at Esri,University of Redlands,IT,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
250,"Düsseldorf, North Rhine-Westphalia, Germany",Co-Founder at Garagio,Account Manager at Weissenberg Group,EBC Hochschule - University of Applied Science,International Business Management,"University of California, Riverside","(51.2254018, 6.7763137)",Nordrhein-Westfalen,,Düsseldorf,
251,"Ocean Springs, Mississippi, United States",Senior Vice President Technology at Inmarsat,"Vice President, Business Aviation at Inmarsat",University of Maryland - Robert H. Smith School of Business,Political Science,"University of California, Riverside","(30.4112904, -88.8279165)",Mississippi,Jackson,Ocean Springs,28059
252,Los Angeles  ,"VP, Business Operations & Strategy at Dapper Labs","Business Operations for Blockchain, Crypto and Digital Currencies at PayPal",2009–2010,Management,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
253,"Barcelona, Catalonia, Spain",Chief Strategy & Data Officer at Glovo,Founder & CEO at Fetchr,The University of Chicago - Booth School of Business,International Business,"University of California, Riverside","(41.3828939, 2.1774322)",Catalunya,Barcelonès,Barcelona,
254,Los Angeles  ,Founder at Testimonio,Technical Lead Manager at ProducePay,Stanford University,Cyber Security,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
255,"Cambridge, Massachusetts, United States","Executive Director and Head of Toxicology at Erasca, Inc.","Head of Toxicology at KSQ Therapeutics, Inc.",Penn State University,Biology,"University of California, Riverside","(42.3750997, -71.1056157)",Massachusetts,Middlesex,Cambridge,25017
256,"Huntington Beach, California, United States",Chief People Officer and Head of Retail at Ritual,Head of Future of Work and OD at Pinterest,Pepperdine Graziadio Business School,Organization Development,"University of California, Riverside","(33.6783336, -118.0000166)",California,Orange,Huntington Beach,6059
257,"Spring, Texas, United States",Chief Financial Officer at Bilfinger Industrial Services - USA,Chief Financial Officer at Bilfinger Industrial Services - USA,2002–2004,Business Administration,"University of California, Riverside","(30.0798826, -95.4172549)",Texas,Harris,,48201
258,San Francisco Bay ,"Senior Director, Business Analytics & Strategy at Golden State Warriors",Head of Business Analytics at StubHub,"University of California, Riverside",Business Administration,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
259,"La Verne, California, United States","CFO / Founder at Klatch Coffee, Inc.",,"University of California, Riverside",Bioengineering,"University of California, Riverside","(34.1008426, -117.7678355)",California,Los Angeles,,6037
260,,Digital Marketing Account Manager at Over the Top Marketing,PPC & Google Ads Manager at Instaboost Media,"University of California, Riverside",Marketing,"University of California, Riverside",,,,,
261,"Moorpark, California, United States",Chief Operating Officer at Bench International,"SVP, Business Development at Geneworks, Inc.",1981–1984,Cell Biology,"University of California, Riverside","(34.285558, -118.8820414)",California,Ventura,,6111
262,"Walnut Creek, California, United States","Executive Director, Technology Services at Oakland Unified School District",Director of Technology at Acalanes Union High School District,CETPA Chief Technology Officer Program,Education,"University of California, Riverside","(37.9020731, -122.0618702)",California,Contra Costa,,6013
263,"São Paulo, São Paulo, Brazil",Director of Logistics at Shopee,Head of Transportation MLB at Mercado Livre,HSM University,Conselheiro / Board Member,"University of California, Riverside","(-23.5506507, -46.6333824)",São Paulo,Região Metropolitana de São,São Paulo,
264,"Los Angeles, California, United States","VP, Controller at TigerConnect","Vice President of Finance, Controller at Currency","University of California, Riverside","Business Administration and Management, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
265,Washington DC-Baltimore ,"Digital Products, Platforms, and Innovation Risk at Capital One",Freelance- Head of Strategic Partnerships & Operations at Meld Dating App (Start-up),NYU Stern School of Business,Business Innovation,"University of California, Riverside","(38.9181155, -76.9421074)",District of Columbia,Prince George's,Washington,
266,"Newport Beach, California, United States",Chief Technology Officer / Wealth Advisor at Beacon Pointe,"Assistant Vice President, Operations & Technology at Beacon Pointe Advisors","University of California, Irvine - The Paul Merage School of Business",Strategy & Finance,"University of California, Riverside","(33.6170092, -117.9294401)",California,Orange,Newport Beach,6059
267,"Washington,  of Columbia, United States",Growth & Strategy Senior Manager at Accenture,Technology & Innovation Strategy at Accenture,"University of California, Riverside",Political Science/Law and Society,"University of California, Riverside","(38.8950368, -77.0365427)",District of Columbia,,Washington,
268,"Honolulu, Hawaii, United States","Recruiter, Demand and Supply Management (DSM) at Nike",Corporate Recruiter at JetBlue Airways,Chaminade University of Honolulu,Instructional Leadership,"University of California, Riverside","(21.304547, -157.855676)",Hawaii,Honolulu,Honolulu,15003
269,"San Diego, California, United States",Director Of Operations at Artemis Institute for Clinical Research,Analyst at PPS Analytics,Harvard Business School,,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
270,,Marketing Manager at Blockchain Training Alliance,CEO at Blockchain Training Alliance,2002–2006,"Business Administration and Management, General","University of California, Riverside",,,,,
271,Costa Rica,"Senior Manager, Global Technology Operations at Cheetah Digital",IT Operations Manager at Tek Experts,Universidad Estatal a Distancia,Business Administration,"University of California, Riverside","(10.2735633, -84.0739102)",,,,
272,"Los Angeles, California, United States",Founder at Boutique Digital Marketing,Digital Production Manager at Radio MT Lebanon,California State Polytechnic University-Pomona,"Business Administration and Management, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
273,"Milwaukee, Wisconsin, United States",Director of Technology Services at GRAEF,Manager Information Technology at AECOM,New Horizons,Windows Server Operating Systems,"University of California, Riverside","(43.0349931, -87.922497)",Wisconsin,Milwaukee,Milwaukee,55079
274,,Digital Marketing Specialist at Newegg,Digital Marketing Specialist at RG Pacific LLC,"University of California, Riverside","Business Administration and Management, Marketing","University of California, Riverside",,,,,
275,"San Francisco, California, United States",Founder at Stealth Startup,Co-Founder & Chief Product Officer at ProcessLabs.ai,Y Combinator,Computer Science,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
276,"Irvine, California, United States","Division Vice-President, Enterprise Sales West at Ceridian",Strategic Development Manager at UKG (Ultimate Kronos Group),Claremont Graduate University - Peter F. Drucker and Masatoshi Ito Graduate School of Management,Organizational Behavior Studies,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
277,"Bothell, Washington, United States",Chief Marketing Officer at Premera Blue Cross,President and CEO at LifeWise Health Plan of Washington,"University of California, Riverside",Political Science/Administrative Studies,"University of California, Riverside","(47.7598697, -122.2068288)",Washington,King,Bothell,53033
278,Singapore,General Manager Commercial - Base Metals at Adani Enterprises Limited,"General Manager Sales & Marketing, Copper Concentrates at Rio Tinto",UCLA Anderson School of Management,MBA,"University of California, Riverside","(1.357107, 103.8194992)",,,,
279,"Carlsbad, California, United States","Business Owner at Jason Vanderford, DC",Associate Clinical Director at Genex Services,Southern California University of Health Sciences,Diagnostic Imaging,"University of California, Riverside","(33.1580933, -117.3505966)",California,San Diego,Carlsbad,6073
280,"Los Angeles, California, United States","Manager, Data Science at PayPal",Manager of Marketing Analytics & Strategy at Harbor Freight Tools,Columbia University in the City of New York,Biostatistics (Focusing on Pharmaceutical Statistics),"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
281,Los Angeles  ,"Associate Vice President, Enterprise Analytics at Capital Group","Analytics Manager, Marketing & Digital at Capital Group",University of Southern California - Marshall School of Business,MBA,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
282,New York City  ,Senior Logistics Analyst at Peloton Interactive,Logistics Manager at Magic Spoon,Northeastern University,"Logistics, Materials, and Supply Chain Management","University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
283,"Laguna Hills, California, United States",Global Head of Laboratory at Biome Makers Inc.,"Director, Laboratory Operations at Cannalysis","University of California, Irvine - The Paul Merage School of Business",Neuroscience,"University of California, Riverside","(33.5948758, -117.6882067)",California,Orange,,6059
284,Dallas-Fort Worth ,Strategic Insights Manager at Toyota North America,Senior Product Development Administrator at Toyota North America,Indiana University - Kelley School of Business,"Marketing, Management, and Corporate Innovation","University of California, Riverside","(32.7453157, -97.3278313)",Texas,Tarrant,Fort Worth,48439
285,"Walnut Creek, California, United States",President at The Revell Group,Recruiting Manager at Robert Half,"University of California, Riverside","Business Administration and Management, emphasis i","University of California, Riverside","(37.9020731, -122.0618702)",California,Contra Costa,,6013
286,"Portland, Oregon, United States",VP of Finance and Operations at RFPIO Inc.,Managing Director at inDinero,UC San Diego Extension,CPA Prep,"University of California, Riverside","(45.5202471, -122.6741949)",Oregon,Multnomah,Portland,41051
287,San Francisco Bay ,"Product Manager, Platform Operations at Blueboard Inc.",Product Manager at Zenput,"University of California, Riverside",Business Administration - HR Management/Marketing,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
288,"Eugene, Oregon, United States",IT Director of Information Security and Privacy Office at Oregon Health Authority,OIS Manager of Strategic Initiatives at Oregon Health Authority,"University of California, Riverside",Biochemistry,"University of California, Riverside","(44.0505054, -123.0950506)",Oregon,Lane,Eugene,41039
289,"San Jose, California, United States","Sr. Manager, Technology, Data & SDR Operations at Automation Anywhere","Sr. Marketing Operations Manager, Marketing Automation and Analytics at Forescout Technologies Inc.","University of California, Riverside","Bourns College of Engineering, Business Informatics","University of California, Riverside","(37.3361905, -121.890583)",California,Santa Clara,San Jose,6085
290,"Irvine, California, United States",Managing Partner at P1 Accounting Solutions,Partner at Brysani Corp,"University of California, Riverside",Business Administration / Accounting,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
291,Chile,Jefe Departamento de Transportes at ENEX,Jefe de Plantas at ENEX,Universidad Andrés Bello,"Administración y gestión de empresas, general","University of California, Riverside","(-31.7613365, -71.3187697)",,,,
292,"Durham, North Carolina, United States",Founder and CEO at IAMX,HR Business Partner at Nortel Networks,1992–1994,Organization Development,"University of California, Riverside","(35.9825698, -78.90918652627246)",North Carolina,Durham,Durham,37063
293,"Los Alamitos, California, United States",Corporate Director of Innovation & Population Health at Molina Healthcare,Corporate Director of HEDIS/Quality Business Intelligence Team at Molina Healthcare,Columbia University in the City of New York,Statistics,"University of California, Riverside","(33.8038865, -118.0772433)",California,Orange,,6059
294,"Santa Monica, California, United States","People & Ops, Director at Airbyte","People & Ops, Director at Graphite",California State University-Fullerton,Sociology,"University of California, Riverside","(34.0194704, -118.4912273)",California,Los Angeles,Santa Monica,6037
295,"Los Angeles, California, United States",Founder at MARK THE FUTURE,"VP, Marketing at 100 Thieves",Miami Ad School-San Francisco,Account Planning,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
296,,"Senior Manager, APAC, Learning & Development at Robert Half","Training Manager, Asia at Robert Half",KCP International Language Institute,Japanese Language,"University of California, Riverside",,,,,
297,San Francisco Bay ,Marketing Operations at Plaid,"Manager, Marketing Operations at Exabeam","University of California, Riverside",Marketing,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
298,"Bellevue, Washington, United States",Director of IT at Prime Electric,Sr. Systems Administrator at Prime Electric,2003–2004,Computer Science,"University of California, Riverside","(47.6144219, -122.192337)",Washington,King,Bellevue,53033
299,"San Diego County, California, United States",CIO at San Diego County Sheriff,,Western Governors University,IT Management,"University of California, Riverside","(32.9637838, -116.7706277)",California,San Diego,,6073
300,"Zug, Zug, Switzerland",Co-Founder & COO at Fluence World,Sales Director at Rapid English,Aston University,Business,"University of California, Riverside","(47.1679898, 8.5173652)",Zug,,,
301,Dallas-Fort Worth ,Sr. Vice President - US Operations at Wingstop Restaurants Inc.,Vice President - U.S. Franchise Operations at Subway,"University of California, Riverside","Business Administration, Management and Operations","University of California, Riverside","(32.7453157, -97.3278313)",Texas,Tarrant,Fort Worth,48439
302,"Long Beach, California, United States",Chief Executive Officer at The Works Consulting,Human Resources Director at Broadband Interactive Group,"Antioch University, Los Angeles",Organizational Management,"University of California, Riverside","(33.7690164, -118.191604)",California,Los Angeles,Long Beach,6037
303,"Cincinnati, Ohio, United States",Director of Operations at Gifthealth,Investor/Board Member at giftHEALTH,University of Missouri-Columbia,Biomedical/Medical Engineering,"University of California, Riverside","(39.1014537, -84.5124602)",Ohio,Hamilton,Cincinnati,39061
304,"San Francisco, California, United States",President at Dropbox,"SVP & GM, Products at Dropbox","University of California, Riverside",,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
305,"Rio de Janeiro, Rio de Janeiro, Brazil",Co-Founder & CEO at W.Dental,CEO at Wooza,Pontifícia Universidade Católica do Rio de Janeiro,Computer Engineering,"University of California, Riverside","(-22.9110137, -43.2093727)",Rio de Janeiro,Região Metropolitana do Rio de,Rio de Janeiro,
306,"Orange County, California, United States",Chief Executive Officer at clearpol,"Graduate Intern, Deep Learning (full time) at NASA Langley Research Center","University of California, Irvine","Political Science, health sciences","University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
307,United States,Co-founder & Executive Vice President at Hughes Marino,Landlord Leasing Agent at Trammell Crow Company,University of Southern California - Marshall School of Business,Economics and Business,"University of California, Riverside","(39.7837304, -100.445882)",,,,
308,United States,"Founder/CEO at Commercial Capital Solutions, LLC",SVP Business Development Officer at Wells Fargo,1998–2001,"Business Administration, Finance","University of California, Riverside","(39.7837304, -100.445882)",,,,
309,"San Diego County, California, United States",General Manager at Jaguar Land Rover San Diego,Pre-Owned Director at Toyota of El Cajon,"University of California, Riverside",BA-PSYCHOLOGY,"University of California, Riverside","(32.9637838, -116.7706277)",California,San Diego,,6073
310,"Vienna, Vienna, Austria",Co-Founder & CEO at AVISIO,Strategy Consultant at EY-Parthenon,WHU – Otto Beisheim School of Management,Management (Entrepreneurship),"University of California, Riverside","(48.2083537, 16.3725042)",Wien,,Wien,
311,,Founder at Aromatherapy University,Sales and Marketing Manager at In-Charge Energy,Harvard University,Young Entrepreneurs Leadership Program,"University of California, Riverside",,,,,
312,"Ahrensburg, Schleswig-Holstein, Germany",Digital Transformation Manager at Beiersdorf,Elternzeit / Parental Leave at Beiersdorf,NORDAKADEMIE Hochschule der Wirtschaft,Betriebswirtschaftslehre,"University of California, Riverside","(53.6736529, 10.2358999)",Schleswig-Holstein,Stormarn,Ahrensburg,
313,United States,Director Of Operations at Ernest Packaging Solutions,Director of Operations at FRONTSTEPS,California State University-San Bernardino,Public Administration and Services,"University of California, Riverside","(39.7837304, -100.445882)",,,,
314,"Huntington Beach, California, United States",Chief Executive Officer at Stelios LLC,DOD Contractor at US Navy,American Military University,Intelligence,"University of California, Riverside","(33.6783336, -118.0000166)",California,Orange,Huntington Beach,6059
315,,CEO/ Founder at 株式会社TOP Search,"Manager, Human Resources Area at RGF Professional Recruitment Japan",Kyoto Sangyo University,"Business, Management, Marketing, and Related Support Services","University of California, Riverside",,,,,
316,"San Francisco, California, United States",Director of Innovation & Strategic Partnerships at Israel Economic Mission to the West Coast,Product Marketing & Customer Success Manager at Stanza,University of San Francisco,Sport Management,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
317,"Phoenix, Arizona, United States",Founder at KBSC Solutions Human Capital Consultants,,"University of California, Riverside",History,"University of California, Riverside","(33.4484367, -112.0741417)",Arizona,Maricopa,Phoenix,4013
318,"Austin, Texas, United States",Digital Campaign Manager - Email and Push at Whole Foods Market,"Specialist, CRM Campaign Marketing at Guitar Center","University of California, Riverside",Business Administration,"University of California, Riverside","(30.2711286, -97.7436995)",Texas,Travis,Austin,48453
319, Seattle ,Director Of Ecommerce at Evolve,Director Of Ecommerce (Head of Ecommerce) at Wyze,UC Riverside,Computer Science,"University of California, Riverside","(47.6038321, -122.3300624)",Washington,King,Seattle,53033
320,,Chief Creative Officer (CCO) at IQHi Inc.,"Graduate Researcher at University of California, Riverside",Central South University,Applied Physics,"University of California, Riverside",,,,,
321,"Vitória, Espírito Santo, Brazil",CEO at Dersalis,,Fundação Getulio Vargas,"Business Administration and Management, General","University of California, Riverside","(-20.3200917, -40.3376682)",Espírito Santo,Região Metropolitana da Grande,Vitória,
322,"Anaheim, California, United States",CEO at Young Nails,,"University of California, Riverside",,"University of California, Riverside","(33.8347516, -117.911732)",California,Orange,Anaheim,6059
323,Los Angeles  ,Director Of Ecommerce at Co,Ecommerce Merchandising Manager at Carbon38,"University of California, Riverside",Media Studies - Film and Visual Media,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
324,"Orange County, California, United States",Director Environmental Sustainability at Danaher Corporation,"Director Environment, Health & Safety at Hocking International Laboratories",University of Southern California,Environmental Engineering,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
325,,West Coast Partnerships Manager at Hawke Media,Account Executive at Paolucci Salling & Martin,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",,,,,
326,"Los Angeles, California, United States",Founder & Principal at The Culturist Group,"Vice President, North America Strategy & General Manager, Los Angeles at MMGY Global","University of California, Riverside",Political Science/Marketing,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
327,United States,Senior Director of Analytics & Strategy at Continuum Global,Analytics Advisor at Kaiser Permanente,"University of California, Riverside",Economics,"University of California, Riverside","(39.7837304, -100.445882)",,,,
328,Los Angeles  ,"Sr. Manager Revenue Planning & Analytics, Ad Platforms at Apple","Manager Revenue Planning & Analytics, Ad Platforms at Apple","University of California, Riverside",Finance and Information Systems,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
329,Los Angeles  ,Director Of Operations at The Dental Views,"Senior, Director of Talent and Orginization Development at West Coast Dental Services","University of California, Riverside","Business Administration and Management, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
330,"Los Angeles, California, United States",Partner Growth Manager (Account Executive) at VIZIO Ads,Real Estate Agent at The Stephanie Younger Group - Compass,"University of California, Riverside",Business Administration,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
331,"Richmond, Virginia, United States",Senior Vice President at Carpenter Company,,"University of California, Riverside",,"University of California, Riverside","(37.5385087, -77.43428)",Virginia,,Richmond,51159
332,,Environmental Engineering Associate at City of Los Angeles,,"University of California, Riverside",Chemical and Environmental Engineering,"University of California, Riverside",,,,,
333,San Francisco Bay ,Director of Product Management at Onto Innovation,"Staff Manger, Product Marketing at Synopsys Inc","University of California, Riverside",Electrical Engineering,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
334,,Senior Recruiter at Coit Group - A Hudson RPO Company,Director of Human Resources at SetSchedule,"University of California, Riverside","Psychology, Minor in Business","University of California, Riverside",,,,,
335,New York City  ,"SVP, Head of Consumer Credit Risk Management at Investors Bank","SVP, Head of Mortgage Risk Analytics at U.S. Bank","University of California, Riverside",Physics,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
336,New York City  ,HR Experience Manager at CreatorIQ,Human Resources Generalist at Canoo,"University of California, Riverside",Sociology/Administrative Studies & Spanish,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
337,"Greenville-Spartanburg-Anderson, South Carolina ","President/Owner, Financial Advisor, CFP®, CRPC®, CDFA® at Jeter Hrubala Wealth Strategies","Vice President, Financial Advisor, CFP®, CRPC® at Morgan Stanley Wealth Management",University of South Carolina - The Moore School of Business,Brazil/Portuguese,"University of California, Riverside",,,,,
338,,Analyst - Flight Data Analytics at Priceline,Data Analyst-Tactical at Deccan International,Fordham University,Business Analytics,"University of California, Riverside",,,,,
339,"Hoboken, New Jersey, United States",Director Of Financial Planning Services at Northwestern Mutual,Financial Advisor at Prudential Financial,Guilford College,Chemistry,"University of California, Riverside","(40.7433066, -74.0323752)",New Jersey,Hudson,,34017
340,"Parker, Colorado, United States",Senior Director Of Enterprise Operations & Implementation at 2U,Director of Operations at Fresh View Solutions,Ashford University,Public Administration,"University of California, Riverside","(39.5184514, -104.7612638)",Colorado,Douglas,,8035
341,"Irvine, California, United States","Technical Product Manager - AI/ML, Deep Learning, Computer Vision, and IoT at Intel Corporation",Product Intern - AI/IoT at Intel Corporation,University of Illinois Urbana-Champaign,Computer Science,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
342,"Carson, California, United States",Dentist at Dentist,,Case Western Reserve University School of Dental Medicine,B.S. in Psychobiology,"University of California, Riverside","(33.8322043, -118.2517547)",California,Los Angeles,Carson,6037
343,Los Angeles  ,Co-Founder & President at ISBX,Seed Investor at Science 37,"University of California, Riverside",Biology,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
344,"Los Angeles, California, United States","Head of Human Resources and Admin at Blue Black Management Consulting, Inc.","Senior Director (Head of), HR & Talent Acquisition (USA, APAC, EMEA) - Two-factor Authentication at TeleSign",Loyola Marymount University,"Employment/Labor Law, Compliance/Audit, Org Capabilities Inventory, Performance Mgmt, Recuitment)","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
345,"San Diego County, California, United States","Executive Vice President at Barbachano International, Inc.","Director - Executive Search at Barbachano International, Inc.",New York University,Investment Banking,"University of California, Riverside","(32.9637838, -116.7706277)",California,San Diego,,6073
346,,MEDITECH NPR Report-Writer at Prime Healthcare Services,MEDITECH NPR Report-Writer / various IS/IT roles as needed. at XO Consulting,"University of California, Riverside",,"University of California, Riverside",,,,,
347,Los Angeles  ,Director of Life Sciences at FTI Consulting,Associate Product Manager at Edwards Lifesciences,University of Southern California,Marketing,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
348,"Los Angeles, California, United States",Senior Vice President - Robert Half Government at Robert Half,Strategic Accounts VP - Account Management at Robert Half,"University of California, Riverside",Business Administration with an emphasis in Accounting,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
349,San Francisco Bay ,Workplace Operations Manager  at Scale AI,Recruiting Coordinator Manager at Scale AI,"University of California, Berkeley",Psychology,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
350,"Riverside, California, United States",Senior User Experience Researcher at Dutchie,User Experience Researcher at TikTok,"University of California, Riverside",Sociology,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
351,"New York, New York, United States","CEO, Purveyor of Growth & Talent at Ruckus",Head of Growth at Getable,"University of California, Los Angeles","Business Administration, Minor in Film","University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
352,"Sunnyvale, California, United States",CTO at Rahi,Head of Cloud Partner Engineering at Google,1988–1992,Computer Science,"University of California, Riverside","(37.3688301, -122.036349)",California,Santa Clara,Sunnyvale,6085
353,"Irvine, California, United States",Director Of Operations at Retina Associates of Orange County,Practice Manager at Retina Associates of Orange County,University of Southern California,Health/Health Care Administration/Management,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
354,"San Diego County, California, United States",Co-Founder & CTO at alwaysAI,Chief Technology Officer at Sphera,Caltech,Technology Management,"University of California, Riverside","(32.9637838, -116.7706277)",California,San Diego,,6073
355,"Los Angeles County, California, United States",CEO at Qencode,CEO at StageVids,"University of California, Riverside","Economics, Law & Society, Russian","University of California, Riverside","(34.3155072, -118.2096814)",California,Los Angeles,,6037
356,Los Angeles  ,Chief Executive Officer at The Kinetic Group,"Manager, Partnerships at Addition LLC",University of San Diego School of Law,Intellectual Property Law,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
