,current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
171,"Hopkinton, Massachusetts, United States","Author at ""Competing on Thought Leadership""",Founding Partner at Bloom Group LLC,Penn State University,Communications Studies,Pennsylvania State,"""Competing on Thought Leadership""",Bloom Group LLC,,,,,,,,42.228888,-71.519644,Massachusetts,Middlesex,,25017
173,"Salt Lake City, Utah, United States","Senior Director, Analytics & Data at Homie",Director - Business Intelligence & Data Science at USANA Health Sciences,Penn State University,Applied Statistics,Pennsylvania State,Homie,USANA Health Sciences,522390 Travelers' check issuance services,,52,,Finance and Insurance,80163.492,,40.75962,-111.886798,Utah,Salt Lake,Salt Lake City,49035
174,"San Antonio, Texas, United States",Chief Executive Officer at My Promotion Plan,COO at Freedom Practice Coaching,Penn State University,"Hotel, Restaurant and Institution Management",Pennsylvania State,My Promotion Plan,Freedom Practice Coaching,,,,,,,,29.4246,-98.49514,Texas,Bexar,San Antonio,48029
175,"Lincoln University, Pennsylvania, United States",Chief Executive Officer at Liquid Robotics,Head of Business Development and Strategy at Liquid Robotics,Elon University - Martha and Spencer Love School of Business,Business,Pennsylvania State,Liquid Robotics,Liquid Robotics,"336330 Wheels, steering, automotive, truck, and bus, manufacturing",,31-33,,Manufacturing,69174.562,,39.806552,-75.928706,Pennsylvania,Chester,Lower Oxford Township,42029
177, Philadelphia,"Vice President of Operations at Havis, Inc.","Vice President of Operations at Stylex Seating, Inc.",Penn State University,Mechanical Engineering,Pennsylvania State,"Havis, Inc.","Stylex Seating, Inc.",335110 X-mas tree light bulbs manufacturing,,31-33,,Manufacturing,69174.562,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
178,Dallas-Fort Worth ,Director Of Information Technology at Society of Petroleum Engineers International,Director of Information Technology at Pancon Corporation,+ 2 more,Information Technology,Pennsylvania State,Society of Petroleum Engineers International,Pancon Corporation,,,,,,,,32.745316,-97.327831,Texas,Tarrant,Fort Worth,48439
179,"Denver, Colorado, United States",Chief Operating Officer at Black Creek Group,Senior Vice President at Black Creek Group,2000–2003,Business,Pennsylvania State,Black Creek Group,Black Creek Group,237210 Subdividing real estate,,23,,Construction,64648.972,,39.739236,-104.984862,Colorado,,Denver,08031
180,"Plymouth, Massachusetts, United States","Vice President, Ecommerce at SmartPak","Internet Business Director at Liberty Medical, A Medco Company",1995–1997,Industrial Engineering,Pennsylvania State,SmartPak,"Liberty Medical, A Medco Company",453910 Pet supply stores,,44-45,,Retail Trade,56013.266,,41.95838,-70.667385,Massachusetts,Plymouth,,25023
181,"Folsom, California, United States",CEO at Dorado Software,VP Sales at Objective Systems Integrators,Penn State University,Industrial & Management Systems Engineering,Pennsylvania State,Dorado Software,Objective Systems Integrators,"541511 Web (i.e., Internet) page design services, custom",,54,,"Professional, Scientific, and Technical Services",77645.346,,38.677959,-121.176058,California,Sacramento,,06067
182,"Malvern, Pennsylvania, United States","Director, Cloud Technology and Services at Cerner Corporation","Director, Engineering and Operations at Siemens",University of Michigan,Computer Science & Engineering Management,Pennsylvania State,Cerner Corporation,Siemens,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,40.036202,-75.513896,Pennsylvania,Chester,,42029
183,New York City  ,Founder / CEO at Behavior Science Technology,Co-Founder/CEO  at Marra & Glick Applied Behavior Analysts,Columbia University Teachers College,,Pennsylvania State,Behavior Science Technology,Marra & Glick Applied Behavior Analysts,,,,,,,,40.712728,-74.006015,New York,,New York,36061
184,"Greensboro, North Carolina, United States",President & CEO at Sunlight Group Energy Storage Systems,"President & Dealer Principal at Pengate Handling Systems, Inc.",St. Joseph's University,,Pennsylvania State,Sunlight Group Energy Storage Systems,"Pengate Handling Systems, Inc.",335912 Zinc carbon batteries manufacturing,,31-33,,Manufacturing,69174.562,,36.072636,-79.791975,North Carolina,Guilford,Greensboro,37081
185,"Plano, Texas, United States","Director, Technology Leadership at Avanade",Principal Solutions Architect at Comcast Cable Corp,Penn State University,,Pennsylvania State,Avanade,Comcast Cable Corp,541611 Strategic planning consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,33.013676,-96.69251,Texas,Collin,Plano,48085
186,"Wilmington, North Carolina, United States",Chief Operating Officer at Plymouth Tube Company,Vice President Operations at AMG Vanadium LLC,Penn State University,Materials Science,Pennsylvania State,Plymouth Tube Company,AMG Vanadium LLC,"331318 Wire, insulated, made in aluminum wire drawing plants",,31-33,,Manufacturing,69174.562,,34.225728,-77.944711,North Carolina,New Hanover,Wilmington,37129
187, Pittsburgh ,Managing Partner at Third Row Group,CEO at ANGLR,University of Pittsburgh School of Law,Law,Pennsylvania State,Third Row Group,ANGLR,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
188, Phoenix ,CEO at ViaSun Corporation,Advisor at AdvisoryCloud,Penn State University,Mechanical Engineering,Pennsylvania State,ViaSun Corporation,AdvisoryCloud,237310 Underpass construction,,23,,Construction,64648.972,,33.448437,-112.074142,Arizona,Maricopa,Phoenix,04013
189,"New York, New York, United States",Acting Senior Director - Digital Product at NYU Langone Health,"Director, IT Strategy and Planning at NYU Langone Health",Columbia Business School,Industrial Engineering and Operations Research,Pennsylvania State,NYU Langone Health,NYU Langone Health,622110 Osteopathic hospitals,,62,,Health Care and Social Assistance,76373.049,,40.712728,-74.006015,New York,,New York,36061
190,"Columbus, Ohio, United States","Sr. Director, eCommerce Enterprise at Abbott","Director, eCommerce Sales at Abbott",1997–2001,Marketing,Pennsylvania State,Abbott,Abbott,325412 Zinc oxide medicinal preparations manufacturing,,31-33,,Manufacturing,69174.562,,39.96226,-83.000706,Ohio,Franklin,Columbus,39049
191,"Dayton, Ohio, United States",President and CEO at Creek Technologies Company,"Vice President, ITOps at Superlative Technologies, Inc. dba SuprTEK",Franklin University,"Business Administration, Management and Operations",Pennsylvania State,Creek Technologies Company,"Superlative Technologies, Inc. dba SuprTEK","541519 Software installation services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,39.758948,-84.191607,Ohio,Montgomery,Dayton,39113
193,"Glen Allen, Virginia, United States",Director Of Operations at Wegmans Food Markets,Perishable Operations Manager at Wegmans Food Markets,Rochester Institute of Technology,Chemistry,Pennsylvania State,Wegmans Food Markets,Wegmans Food Markets,445110 Supermarkets,,44-45,,Retail Trade,56013.266,,37.664879,-77.487124,Virginia,Henrico,,51087
194,"Bridgeville, Pennsylvania, United States","Vice President, Procurement & Merchandising Operations at Giant Eagle, Inc.","Senior Director, Procurement & Merchandising Operations at Giant Eagle, Inc.",Duquesne University Palumbo Donahue School of Business,Finance,Pennsylvania State,"Giant Eagle, Inc.","Giant Eagle, Inc.",533110 Trademark licensing,,53,,Real Estate and Rental and Leasing,60268.137,,40.35618,-80.110056,Pennsylvania,Allegheny,,42003
195,"Pottstown, Pennsylvania, United States",Chief Technology Officer at Propel Health,"President; Executive Lead, Data Integration & Analytics at Elevate Strategic Engagements",1985–1989,"Psychology, Computer Science, Math",Pennsylvania State,Propel Health,Elevate Strategic Engagements,,,,,,,,40.245298,-75.649642,Pennsylvania,Montgomery,,42091
196,"Nazareth, Pennsylvania, United States",Director Global Procurement at First Advantage,"Director, IT Sourcing - Procurement at State of NY Metropolitan Transportation Authority",Penn State University,Marketing,Pennsylvania State,First Advantage,State of NY Metropolitan Transportation Authority,561990 Trading stamp redemption services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,40.740975,-75.311843,Pennsylvania,Northampton,,42095
197, Philadelphia,Founder at Digital Filaments,Official Member at Philadelphia Business Journal Leadership Trust,Penn State University,Architectural Engineering - Illumination,Pennsylvania State,Digital Filaments,Philadelphia Business Journal Leadership Trust,"523999 Transfer agencies, securities",,52,,Finance and Insurance,80163.492,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
198,"San Francisco, California, United States",Managing Director at Redpoint Ventures,CTO at GitHub,Rensselaer Polytechnic Institute,Computer Science,Pennsylvania State,Redpoint Ventures,GitHub,523910 Viatical settlement companies,,52,,Finance and Insurance,80163.492,,37.779026,-122.419906,California,,San Francisco,06075
199,"Philadelphia, Pennsylvania, United States",,"Director, Procurement Process & Systems Enablement at Twilio Inc.",NYU Stern School of Business,"Management Operations Technology, Marketing, Management",Pennsylvania State,,Twilio Inc.,,"511210 Utility software, computer, packaged",,51,,,Information,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
200,San Francisco Bay ,"Director, Global Innovation and Technology Public Policy at Netflix","Manager, Global Public Policy at Netflix",The Pennsylvania State University,"History, Sociology",Pennsylvania State,Netflix,Netflix,"519130 Yearbook (e.g., high school, college, university) publishers, exclusively on Internet","519130 Yearbook (e.g., high school, college, university) publishers, exclusively on Internet",51,51,Information,73855.595,Information,37.714029,-122.307794,California,San Mateo,,06081
201, Philadelphia,Vice President Of Business Development at Computershare,Director Of Market Strategy at Harbor Compliance,1998–2002,Marketing,Pennsylvania State,Computershare,Harbor Compliance,525110 Union pension funds,,52,,Finance and Insurance,80163.492,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
202,"McLean, Virginia, United States",President at Digital Government Institute,General Manager at FCW,Penn State University,Marketing,Pennsylvania State,Digital Government Institute,FCW,,,,,,,,38.93174,-77.167062,Virginia,Fairfax,,51059
203,Los Angeles  ,Founder and CEO at Kind Financial,COO at Grasso Holdings,Penn State University,,Pennsylvania State,Kind Financial,Grasso Holdings,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
204,"Scottsdale, Arizona, United States","Director, Buyer Operation & Partnership @Alibaba.com at Alibaba Group","Director, Business Development & Partnership @Alibaba.com at Alibaba Group",Penn State University,International Affairs,Pennsylvania State,Alibaba Group,Alibaba Group,551112 Public utility holding companies,,55,,Management of Companies and Enterprises,82055.219,,33.494219,-111.926018,Arizona,Maricopa,Scottsdale,04013
205,"Reno, Nevada, United States",Vice President Of Business Development at Renaissance Companies,Vice President and Chief Operating Officer  at John Anderson Construction Inc,2007–2009,Strategic Public Relations,Pennsylvania State,Renaissance Companies,John Anderson Construction Inc,"236220 Warehouse, industrial, construction",,23,,Construction,64648.972,,39.526121,-119.812658,Nevada,Washoe,Reno,32031
206,"Southlake, Texas, United States","VP, Chief Data and Analytics Officer at Otis Elevator Co.",Chief Data Scientist at BNSF Railway,Penn State University,Industrial Engineering,Pennsylvania State,Otis Elevator Co.,BNSF Railway,"333921 Walkways, moving, manufacturing",,31-33,,Manufacturing,69174.562,,32.941236,-97.134178,Texas,Tarrant,Southlake,48439
207, Sacramento,Managing Principal and Chief Growth Officer at Schellman,"Principal at Schellman & Company, LLC",Pepperdine Graziadio School of Business and Management,Accounting,Pennsylvania State,Schellman,"Schellman & Company, LLC","541211 Public accountants' (CPAs) private practices, certified",,54,,"Professional, Scientific, and Technical Services",77645.346,,38.581061,-121.493895,California,Sacramento,Sacramento,06067
208,"Orange County, California, United States",Vice President Supply Chain - Surgical Vision at Johnson & Johnson,Senior Director - Supply Chain at Johnson & Johnson,Penn State University,"Supply Chain, Finance",Pennsylvania State,Johnson & Johnson,Johnson & Johnson,"423450 X-ray machines and parts, medical and dental, merchant wholesalers",,42,,Wholesale Trade,68623.359,,33.750038,-117.870493,California,Orange,,06059
209,"Portland, Oregon, United States","Director of Marketing and Communications at SimpliPhi Power, Inc.",Director of Operations and Business Development at Oregon Solar + Storage Industries Association (OSSIA),Penn State University,,Pennsylvania State,"SimpliPhi Power, Inc.",Oregon Solar + Storage Industries Association (OSSIA),335911 Storage batteries manufacturing,,31-33,,Manufacturing,69174.562,,45.520247,-122.674195,Oregon,Multnomah,Portland,41051
210,"Pittsburgh, Pennsylvania, United States",Director of Strategic Initiatives at NextLink Labs,Account Executive - Revenue Cycle Management at Medix™,Penn State University,,Pennsylvania State,NextLink Labs,Medix™,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
211,"New York, New York, United States",Co-Founder & Chief Strategy Officer at Glia,Strategy Consultant at Accenture,"The Pennsylvania State University, Smeal College of Business",,Pennsylvania State,Glia,Accenture,"551111 Holding companies, bank (except managing)",,55,,Management of Companies and Enterprises,82055.219,,40.712728,-74.006015,New York,,New York,36061
212,"San Francisco, California, United States",Chief Information Officer - CIO at ATEL Capital Group,"Vice President, Information Technology at ATEL Capital Group",Harvard University,Information Management Systems,Pennsylvania State,ATEL Capital Group,ATEL Capital Group,522220 Truck finance leasing,,52,,Finance and Insurance,80163.492,,37.779026,-122.419906,California,,San Francisco,06075
213,"Cincinnati, Ohio, United States",Owner at Becker & Beggs,,Penn State University,Economics,Pennsylvania State,Becker & Beggs,,,,,,,,,39.101454,-84.51246,Ohio,Hamilton,Cincinnati,39061
214, Philadelphia,Sr. Category Manager at The Chemours Company,Executive Buyer at DuPont,University of Delaware,Business Logistics,Pennsylvania State,The Chemours Company,DuPont,325998 Writing inks manufacturing,,31-33,,Manufacturing,69174.562,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
216,"Edgewater, Maryland, United States",Medical director at Oasis Foundation,Operations Officer at OASIS FOUNDATION,Howard University College of Medicine,Medicine-Surgery,Pennsylvania State,Oasis Foundation,OASIS FOUNDATION,541720 Sociology research and development services,541720 Sociology research and development services,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",38.93581,-76.553014,Maryland,Anne Arundel,Annapolis,24003
217,"Houston, Texas, United States",Creative Director at JYC Group Inc.,Military Service at United States Air Force,Penn State University,"Multi-/Interdisciplinary Studies, General",Pennsylvania State,JYC Group Inc.,United States Air Force,,,,,,,,29.758938,-95.367697,Texas,Harris,Houston,48201
218,"Orange County, California, United States",Lead Data Scientist at CyberCoders,Data Scientist at CyberCoders,Texas A&M University,Statistics,Pennsylvania State,CyberCoders,CyberCoders,561312 Senior executive search services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,33.750038,-117.870493,California,Orange,,06059
219,"Arvada, Colorado, United States","Vice President, Digital Product Management Group Manager at PNC",Business Systems Analyst at PNC Financial Services Group,Penn State University,,Pennsylvania State,PNC,PNC Financial Services Group,522110 State commercial banks,522110 State commercial banks,52,52,Finance and Insurance,80163.492,Finance and Insurance,39.80055,-105.081157,Colorado,Jefferson,,08059
221,"New York, New York, United States",Director Sales and Marketing at Rosewood Hotels & Resorts,"Director, Global Sales at Carlson Rezidor Hotel Group",Penn State University,Hospitality Institutional Management Bachelor Science,Pennsylvania State,Rosewood Hotels & Resorts,Carlson Rezidor Hotel Group,721110 Tourist lodges,,72,,Accommodation and Food Services,44945.819,,40.712728,-74.006015,New York,,New York,36061
222, Chicago ,Head Of Business Development at VidMob,"Industry Manager, US CPG - Global Marketing Solutions at Facebook",Penn State University,Advertising & Public Relations,Pennsylvania State,VidMob,Facebook,,,,,,,,41.875562,-87.624421,Illinois,Cook,Chicago,17031
223,Denver  ,Head of Growth Strategy at Polaris,"VP – Head of Brand, Marketing and Business Strategy at Breyta",Stanford University,"Social and Economic Networks, Machine Learning",Pennsylvania State,Polaris,Breyta,448190 Uniform stores (except athletic),,44-45,,Retail Trade,56013.266,,39.739236,-104.984862,Colorado,,Denver,08031
224,"Lancaster, Pennsylvania, United States",Director of Product Operations at Listrak,"Project Manager, Product at Listrak",Penn State University,Business Administration,Pennsylvania State,Listrak,Listrak,518210 Web hosting,,51,,Information,73855.595,,40.03813,-76.305669,Pennsylvania,Lancaster,Lancaster,42071
227,El Paso  ,"Senior Director, Innovation and Sustainability at El Paso Electric Company","Director,  Environmental and Sustainability at El Paso Electric Company",University of Florida,Environmental Engineering,Pennsylvania State,El Paso Electric Company,El Paso Electric Company,"221118 Power generation, tidal electric",,22,,Utilities,84207.831,,31.775415,-106.464634,Texas,El Paso,El Paso,48141
228,"Baltimore, Maryland, United States",Senior Manager Business Engagement - Data and Insights at Gap Inc.,Enterprise Data Analytics Manager at Under Armour,2005–2009,Supply Chain & Information Systems,Pennsylvania State,Gap Inc.,Under Armour,448140 Western wear stores,,44-45,,Retail Trade,56013.266,,39.290882,-76.610759,Maryland,,Baltimore,24005
229,"Morgan Hill, California, United States",Director of Business Development at Naprotek Inc.,"Director Of Business Development,  Consumer Health at Jabil Healthcare (formerly Nypro)",Penn State University,Sociology,Pennsylvania State,Naprotek Inc.,Jabil Healthcare (formerly Nypro),,,,,,,,37.130408,-121.654497,California,Santa Clara,,06085
230,New York City  ,SEO Manager at Etsy,SEO Manager at Collage.com,Penn State University,Information Science,Pennsylvania State,Etsy,Collage.com,541830 Media buying services,,54,,"Professional, Scientific, and Technical Services",77645.346,,40.712728,-74.006015,New York,,New York,36061
231, Philadelphia,Director of Product at SEI,Senior Product Manager at SEI,Penn State University,,Pennsylvania State,SEI,SEI,541611 Strategic planning consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
232,Miami-Fort Lauderdale ,Associate Director - Executive Search at Lorien,Executive IT Recruiter at Segrera Associates,Penn State University,Communications; Minor in Kinesiology,Pennsylvania State,Lorien,Segrera Associates,999990,,99,,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",69671.738,,26.09474,-80.135182,Florida,Broward,Fort Lauderdale,12011
233,New York City  ,"Sr. Sales Director, Financial Services at UST","AI Solutions Sales Leader North America, IBM Cognitive Systems at IBM",Duquesne University,IT Strategy,Pennsylvania State,UST,IBM,237990 Wharf construction,,23,,Construction,64648.972,,40.712728,-74.006015,New York,,New York,36061
234, Pittsburgh ,"Group Manager, Data & Analytics at DICK'S Sporting Goods","Senior Manager, Data & Analytics at DICK'S Sporting Goods",Penn State University,Information Sciences and Technology,Pennsylvania State,DICK'S Sporting Goods,DICK'S Sporting Goods,448190 Uniform stores (except athletic),,44-45,,Retail Trade,56013.266,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
235,"Cincinnati, Ohio, United States",Founder at More Inclusive Healthcare,Chief Transformation Consultant at V-Formation,2005–2007,Health Administration,Pennsylvania State,More Inclusive Healthcare,V-Formation,,,,,,,,39.101454,-84.51246,Ohio,Hamilton,Cincinnati,39061
236,"New York, New York, United States",,"Senior Director, Head of Global Packaging Experience at Peloton Interactive",Penn State University,Graphic Design,Pennsylvania State,,Peloton Interactive,,,,,,,,40.712728,-74.006015,New York,,New York,36061
237,"San Francisco, California, United States","Senior Recruiter and Program Manager, Early Career at HashiCorp",Senior Recruiter at Autodesk,Penn State University,Public Relations,Pennsylvania State,HashiCorp,Autodesk,"541511 Web (i.e., Internet) page design services, custom",,54,,"Professional, Scientific, and Technical Services",77645.346,,37.779026,-122.419906,California,,San Francisco,06075
238,"Philadelphia, Pennsylvania, United States",Metaverse Development at Epic Games,Entrepreneur In Residence & Investor at Comcast Ventures,The Wharton School,Finance,Pennsylvania State,Epic Games,Comcast Ventures,523920 Portfolio fund managing,,52,,Finance and Insurance,80163.492,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
239,New York City  ,"Family Office Consultant & Director at TradePro Securities, Inc. at TradePro Securities, Inc.",Founder & CEO at Palm Organix™,The Pennsylvania State University,Business Administration,Pennsylvania State,"TradePro Securities, Inc.",Palm Organix™,,,,,,,,40.712728,-74.006015,New York,,New York,36061
240,"Jonesboro, Arkansas, United States",Human Resources Director at Hytrol,Asst. HR Mgr./ Sr. Generalist  at American Greetings,Penn State University,Human Resources Employee Relations,Pennsylvania State,Hytrol,American Greetings,333922 Screw conveyors manufacturing,"322230 Writing paper, cut sheet, made from purchased paper",31-33,31-33,Manufacturing,69174.562,Manufacturing,35.842865,-90.703452,Arkansas,Craighead,Jonesboro,05031
241, Philadelphia,"President, First Financial Group PA, NJ, DE at First Financial Group (FFG)",Co-President & Managing Partner at Karr Barth Associates,Penn State University,,Pennsylvania State,First Financial Group (FFG),Karr Barth Associates,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
242,"Philadelphia, Pennsylvania, United States",Workplace Operations Manager  at gettacar,Executive Assistant and Facilities Manager  at gettacar.com,Penn State University,Business/Corporate Communications,Pennsylvania State,gettacar,gettacar.com,441110 New car dealers,,44-45,,Retail Trade,56013.266,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
243,"Fremont, California, United States",Board Member at IIT Bay Area Alumni Association,Head West Coast Div at US-India Strategic Partnership Forum,Stanford University,Human/Medical Genomics,Pennsylvania State,IIT Bay Area Alumni Association,US-India Strategic Partnership Forum,,,,,,,,37.54827,-121.988571,California,Alameda,Fremont,06001
244,"Los Angeles County, California, United States",Chief Marketing Officer at 710 Labs,"VP, Advertising & Digital Marketing at Curaleaf",1995–1999,Liberal Arts,Pennsylvania State,710 Labs,Curaleaf,,,,,,,,34.315507,-118.209681,California,Los Angeles,,06037
246,"Cincinnati, Ohio, United States",Director Of Manufacturing Engineering at Milacron,Plant Manager at PepsiCo,2006–2011,Mechanical Engineering with Concentration in Energy Systems,Pennsylvania State,Milacron,PepsiCo,333511 Molds for plastics and rubber working machinery manufacturing,311230 Wheat breakfast cereal manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,39.101454,-84.51246,Ohio,Hamilton,Cincinnati,39061
247,"West Chester, Pennsylvania, United States","Director, Global Strategic Procurement: Agilent CrossLab Group (ACG), Diagnostics and Genomics (DGG) at Agilent Technologies",Materials Engineering Manager at Agilent Technologies,Penn State University,Mechanical Engineering,Pennsylvania State,Agilent Technologies,Agilent Technologies,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information,39.959721,-75.605964,Pennsylvania,Chester,,42029
249,"Milton, Florida, United States",Investment Manager / Derivatives Trader at Confidential,"CEO [Business Unit President], HÜPPE Group at Masco Corporation",Penn State University,Mechanical Engineering Technology,Pennsylvania State,Confidential,Masco Corporation,561612 Security patrol services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,30.632415,-87.039688,Florida,Santa Rosa,,12113
250,"Croydon Heights, Pennsylvania, United States",Owner at Macron Dynamics Inc.,,Penn State Univ.,,Pennsylvania State,Macron Dynamics Inc.,,,,,,,,,40.096222,-74.894888,Pennsylvania,Bucks,Bristol Township,42017
251,"Wayland, Michigan, United States",Vice President of Generation Operations at Consumers Energy (Retired) at Self-employed,Vice President of Generation Operations at Consumers Energy,1998–1999,Executive MBA Program,Pennsylvania State,Self-employed,Consumers Energy,813910 Wholesalers' associations,,81,,Other Services (except Public Administration),57824.628,,42.674532,-85.645766,Michigan,Allegan,,26005
252,San Francisco Bay ,President at ThermoFusion Inc.,Vice President at ThermoFusion Inc.,"University of California, Berkeley - Walter A. Haas School of Business",Business,Pennsylvania State,ThermoFusion Inc.,ThermoFusion Inc.,,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
253,San Francisco Bay ,Head of Technical Recruiting at Figma,"Manager, Recruiting - Engineering at Instacart",Penn State University,,Pennsylvania State,Figma,Instacart,"541511 Web (i.e., Internet) page design services, custom",,54,,"Professional, Scientific, and Technical Services",77645.346,,37.714029,-122.307794,California,San Mateo,,06081
254,"Valencia, Pennsylvania, United States",Director Of Procurement at Armstrong Group,Director Of Procurement at Thermal Windows & Doors,Penn State University,Business Logistics,Pennsylvania State,Armstrong Group,Thermal Windows & Doors,488510 Shipping agents (freight forwarding),423310 Wood siding merchant wholesalers,48-49,42,Transportation and Warehousing,65503.789,Wholesale Trade,40.674863,-79.988494,Pennsylvania,Butler,,42019
255,"Raleigh, North Carolina, United States","Director, Procurement Operations at Holcim","Director, Global Supply Chain and Procurement at Seal For Life Industries",Carnegie Mellon University - Tepper School of Business,Civil Engineering,Pennsylvania State,Holcim,Seal For Life Industries,522298 Short-term inventory credit lending,423830 Woodworking machinery merchant wholesalers,52,42,Finance and Insurance,80163.492,Wholesale Trade,35.780398,-78.639099,North Carolina,Wake,Raleigh,37183
256,"Chaska, Minnesota, United States","Sr R&D Director,  Pillsbury, Simple Meals at General Mills","Sr R&D Director, Global Snacks at General Mills",1994–1996,Food Science,Pennsylvania State,General Mills,General Mills,"311520 Yogurt, frozen, manufacturing","311520 Yogurt, frozen, manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,44.789407,-93.602179,Minnesota,Carver,,27019
257,"Philadelphia, Pennsylvania, United States","Executive Director, Regulatory Technology Services at Certara","Sr. Director, Regulatory Science Technology at Certara",University of North Carolina at Chapel Hill,Economics,Pennsylvania State,Certara,Certara,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
258,"Battle Creek, Michigan, United States","Senior Director, Global Value Transformation & Geographic Expansion at Kellogg Company","Senior Director R&D, Global Innovation & Nutrition at Kellogg Company",1999–2002,Food Science & Technology,Pennsylvania State,Kellogg Company,Kellogg Company,311230 Wheat breakfast cereal manufacturing,311230 Wheat breakfast cereal manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,42.319255,-85.182427,Michigan,Calhoun,Battle Creek,26025
259,"Prosper, Texas, United States",Chief Sales Officer (CSO) at Astrodyne TDI,PLL Embedded Power at ABB,2004–2006,Business,Pennsylvania State,Astrodyne TDI,ABB,,334417 Rack and panel connectors manufacturing,,31-33,,,Manufacturing,33.238576,-96.786606,Texas,Collin,Prosper,48085
260,"Orlando, Florida, United States","Senior Vice President~ Business Development, Innovation, & Integration at Bluegreen Vacations",Senior Vice President- Product Development & Business Integration at Wyndham Destinations,Penn State University,Arbitration and Mediation,Pennsylvania State,Bluegreen Vacations,Wyndham Destinations,237210 Subdividing real estate,551112 Public utility holding companies,23,55,Construction,64648.972,Management of Companies and Enterprises,28.542111,-81.37903,Florida,Orange,Orlando,12095
261,"Orange County, California, United States","Vice President, Strategic Partnerships at Care Partners At Home","Sr. Director of Strategic Partnerships, Transitional Medicine at Care Partners At Home","Benjamin N. Cardozo School of Law, Yeshiva University",Intellectual Property Law,Pennsylvania State,Care Partners At Home,Care Partners At Home,"623311 Retirement communities, continuing care","623311 Retirement communities, continuing care",62,62,Health Care and Social Assistance,76373.049,Health Care and Social Assistance,33.750038,-117.870493,California,Orange,,06059
262, Philadelphia,Global Integrated Operations Leader at DuPont,Plant Manager  at DuPont,+ 1 more,Chemical Engineering,Pennsylvania State,DuPont,DuPont,334413 Wafers (semiconductor devices) manufacturing,334413 Wafers (semiconductor devices) manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
263, Phoenix ,"Coach, Speaker & Consultant at Greater Teams",Assistant Special Agent in Charge at Federal Bureau of Investigation (FBI),Norwich University,Organizational Leadership,Pennsylvania State,Greater Teams,Federal Bureau of Investigation (FBI),,,,,,,,33.448437,-112.074142,Arizona,Maricopa,Phoenix,04013
264,"Oviedo, Florida, United States",Vice President Resort Operations at Holiday Inn Club Vacations,Vice President Finance at Holiday Inn Club Vacations,Education (same page),Accounting,Pennsylvania State,Holiday Inn Club Vacations,Holiday Inn Club Vacations,"722410 Taverns (i.e., drinking places)","722410 Taverns (i.e., drinking places)",72,72,Accommodation and Food Services,44945.819,Accommodation and Food Services,28.670253,-81.208494,Florida,Seminole,,12117
265,"Pittsburgh, Pennsylvania, United States","Senior IT Manager, Aerospace at PPG","Senior IT Manager, Science & Technology, Color at PPG Industries",2009–2012,Information Systems / Operations Management,Pennsylvania State,PPG,PPG Industries,424690 Wood treating preparations merchant wholesalers,424690 Wood treating preparations merchant wholesalers,42,42,Wholesale Trade,68623.359,Wholesale Trade,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
