,Unnamed: 0,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,latitude,longitude,fips,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title
229,229,"Portland, Oregon, United States","Chief Technology Officer at SWK Technologies, Inc.",Reseller at Sage Software,Bishop amat 83,Computer Sciences,"University of California, Riverside","(45.5202471, -122.6741949)",Oregon,Multnomah,Portland,45.520247,-122.674195,41051.0,"SWK Technologies, Inc.",Sage Software,"541511 Web (i.e., Internet) page design services, custom","511210 Utility software, computer, packaged",54,51,"Professional, Scientific, and Technical Services",77645.346,Information
230,230,"Santa Monica, California, United States","VP of Product, Fan-Based Marketing at Live Nation Entertainment",Head of Growth at Hugo Insurance,"University of California, Riverside",Film,"University of California, Riverside","(34.0194704, -118.4912273)",California,Los Angeles,Santa Monica,34.01947,-118.491227,6037.0,Live Nation Entertainment,Hugo Insurance,711410 Theatrical talent agents,523910 Viatical settlement companies,71,52,"Arts, Entertainment, and Recreation",51732.192,Finance and Insurance
231,231,"Weehawken, New Jersey, United States",Senior Consultant at Capco,"Authorized Officer, Data Analytics & Change Management at UBS","University of California, Riverside",Business/Managerial Economics,"University of California, Riverside","(40.7695457, -74.0204177)",New Jersey,Hudson,,40.769546,-74.020418,34017.0,Capco,UBS,"511210 Utility software, computer, packaged",522110 State commercial banks,51,52,Information,73855.595,Finance and Insurance
232,232,Raleigh-Durham-Chapel Hill ,"Director of R&D - Assay Development, Translational Genomics at Q² Solutions",Principal at GATC Bio,"University of California, Los Angeles","Molecular, Cell, & Development Biology","University of California, Riverside","(35.85504815, -78.84065953761768)",North Carolina,Wake,,35.855048,-78.84066,37183.0,Q² Solutions,GATC Bio,621511 Urinalysis laboratories,,62,,Health Care and Social Assistance,76373.049,
233,233,"Alhambra, California, United States",Founder/CEO at SoapSox,FSP MHRS at Hillsides Foster Care Charity,"University of California, Riverside",Psychology,"University of California, Riverside","(34.093042, -118.12706)",California,Los Angeles,,34.093042,-118.12706,6037.0,SoapSox,Hillsides Foster Care Charity,,,,,,,
234,234,"Palm Springs, California, United States",Procurement Specialist II at City of Palm Springs,"Procurement & Contracting Manager, Acting at City of Palm Springs",Ashford University,"Logistics, Materials, and Supply Chain Management","University of California, Riverside","(33.772179449999996, -116.49529769683983)",California,Riverside,Palm Springs,33.772179,-116.495298,6065.0,City of Palm Springs,City of Palm Springs,"921110 President's office, United States",,92,,,,
235,235,New York City  ,Co-Founder at QUAINT,Co-Founder at Nothing,Northwestern University,Industrial Engineering,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,40.712728,-74.006015,36061.0,QUAINT,Nothing,522120 State savings banks,453998 Trophy (including awards and plaques) shops,52,44-45,Finance and Insurance,80163.492,Retail Trade
236,236,"Seattle, Washington, United States",Ecommerce Marketing Manager at BAGGU,Account Manager - Bags & Accessories at Touch of Modern,"University of California, Riverside","Business, Management, Marketing, and Related Support Services","University of California, Riverside","(47.6038321, -122.3300624)",Washington,King,Seattle,47.603832,-122.330062,53033.0,BAGGU,Touch of Modern,,,,,,,
237,237,"Anaheim, California, United States",Chief Executive Officer at EVER BOOTS,Sales Manager at EVER BOOTS,School University of California Riverside,"Business Administration and Management, General","University of California, Riverside","(33.8347516, -117.911732)",California,Orange,Anaheim,33.834752,-117.911732,6059.0,EVER BOOTS,EVER BOOTS,,,,,,,
238,238,"Orange County, California, United States","Chief Operating Officer at Quandis, Inc.",Program Manager at London Bridge Group,1995–1999,"Computer Science, Mathematics","University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,33.750038,-117.870493,6059.0,"Quandis, Inc.",London Bridge Group,,,,,,,
239,239,"Nanterre, Île-de-France, France",Head of digital & e-commerce  at Signify,Head Of Digital at TCL Communication,"ICD Business School, Paris - Toulouse - Dublin - Shanghai",Conseil et Stratégie Commerciale,"University of California, Riverside","(48.8924273, 2.2071267)",Île-de-France,Hauts-de-Seine,,48.892427,2.207127,,Signify,TCL Communication,551112 Public utility holding companies,551112 Public utility holding companies,55,55,Management of Companies and Enterprises,82055.219,Management of Companies and Enterprises
240,240,,National Vice President of Sales Strategy at OneDigital,"Regional Vice President of Growth (So Cal, AZ, NM, NV & UT) at OneDigital Health and Benefits","University of California, Riverside",Business Administration & Management,"University of California, Riverside",,,,,,,,OneDigital,OneDigital Health and Benefits,"524298 Rate making services, insurance","524298 Rate making services, insurance",52,52,Finance and Insurance,80163.492,Finance and Insurance
241,241,"Santa Clara, California, United States","Vice President, Midea AI and IoT at Midea Group",Project lead and Principle Engineer at Sony Ericsson Mobile Communications,"University of California, Riverside","Pattern Recognition and Machine Learning, Electrical Engineering","University of California, Riverside","(37.2333253, -121.6846349)",California,Santa Clara,,37.233325,-121.684635,6085.0,Midea Group,Sony Ericsson Mobile Communications,"423620 Video cameras, household-type, merchant wholesalers",811211 Video cassette recorder (VCR) repair services without retailing new video cassette recorders,42,81,Wholesale Trade,68623.359,Other Services (except Public Administration)
242,242,"San Jose, California, United States",VP Product Management at U.S. Bank,VP Product Mgmt. & Experience at Roambee Corporation,"University of California, Berkeley, Haas School of Business",Product Management,"University of California, Riverside","(37.3361905, -121.890583)",California,Santa Clara,San Jose,37.33619,-121.890583,6085.0,U.S. Bank,Roambee Corporation,522110 State commercial banks,,52,,Finance and Insurance,80163.492,
243,243, Seattle ,"Director, Software Development at Hulu",Software Development Manager at TUNE,+ 1 more,Computer Science,"University of California, Riverside","(47.6038321, -122.3300624)",Washington,King,Seattle,47.603832,-122.330062,53033.0,Hulu,TUNE,213111 Workover of oil and gas wells on a contract basis,"423690 Video tapes, blank, merchant wholesalers",21,42,"Mining, Quarrying, and Oil and Gas Extraction",69910.58,Wholesale Trade
244,244,"Glendora, California, United States",CEO at AutoID,Director of Infrastructure at CallSource,1995–1999,,"University of California, Riverside","(34.1361187, -117.865339)",California,Los Angeles,,34.136119,-117.865339,6037.0,AutoID,CallSource,"423620 Video cameras, household-type, merchant wholesalers",561421 Wakeup call services,42,56,Wholesale Trade,68623.359,Administrative and Support and Waste Management and Remediation Services
245,245,"San Diego County, California, United States","Director, IT Infrastructure at FFF Enterprises",Director of IT Services at The Scripps Research Institute,University of Northern Colorado,Economics,"University of California, Riverside","(32.9637838, -116.7706277)",California,San Diego,,32.963784,-116.770628,6073.0,FFF Enterprises,The Scripps Research Institute,424210 Vitamins merchant wholesalers,541715,42,54,Wholesale Trade,68623.359,"Professional, Scientific, and Technical Services"
246,246,"Irvine, California, United States",Co-Founder at Snapshoot,Director of Product Management at Arcules,"University of California, Riverside",Design Thinking Executive Program,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,33.685697,-117.825982,6059.0,Snapshoot,Arcules,,"541511 Web (i.e., Internet) page design services, custom",,54,,,"Professional, Scientific, and Technical Services"
247,247,"Albany, California, United States",Director of IT at Bolt,Director of IT at Iterable,"University of California, Riverside",Chemical Engineering / Economics,"University of California, Riverside","(37.88687, -122.2977475)",California,Alameda,,37.88687,-122.297748,6001.0,Bolt,Iterable,"541512 Systems integration design services, computer","541511 Web (i.e., Internet) page design services, custom",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services"
248,248,"Riverside, California, United States",Chief Product Security Officer at Esri,Principal Security Architect at Esri,University of Redlands,IT,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,33.945941,-117.410244,6065.0,Esri,Esri,"541512 Systems integration design services, computer","541512 Systems integration design services, computer",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services"
249,249,"Düsseldorf, North Rhine-Westphalia, Germany",Co-Founder at Garagio,Account Manager at Weissenberg Group,EBC Hochschule - University of Applied Science,International Business Management,"University of California, Riverside","(51.2254018, 6.7763137)",Nordrhein-Westfalen,,Düsseldorf,51.225402,6.776314,,Garagio,Weissenberg Group,,,,,,,
250,250,"Ocean Springs, Mississippi, United States",Senior Vice President Technology at Inmarsat,"Vice President, Business Aviation at Inmarsat",University of Maryland - Robert H. Smith School of Business,Political Science,"University of California, Riverside","(30.4112904, -88.8279165)",Mississippi,Jackson,Ocean Springs,30.41129,-88.827916,28059.0,Inmarsat,Inmarsat,517911 Wireless telecommunication resellers (except satellite),517911 Wireless telecommunication resellers (except satellite),51,51,Information,73855.595,Information
251,251,Los Angeles  ,"VP, Business Operations & Strategy at Dapper Labs","Business Operations for Blockchain, Crypto and Digital Currencies at PayPal",2009–2010,Management,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Dapper Labs,PayPal,,518210 Web hosting,,51,,,Information
252,252,"Barcelona, Catalonia, Spain",Chief Strategy & Data Officer at Glovo,Founder & CEO at Fetchr,The University of Chicago - Booth School of Business,International Business,"University of California, Riverside","(41.3828939, 2.1774322)",Catalunya,Barcelonès,Barcelona,41.382894,2.177432,,Glovo,Fetchr,"424990 Yarns, industrial, merchant wholesalers",,42,,Wholesale Trade,68623.359,
253,253,Los Angeles  ,Founder at Testimonio,Technical Lead Manager at ProducePay,Stanford University,Cyber Security,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Testimonio,ProducePay,,,,,,,
254,254,"Cambridge, Massachusetts, United States","Executive Director and Head of Toxicology at Erasca, Inc.","Head of Toxicology at KSQ Therapeutics, Inc.",Penn State University,Biology,"University of California, Riverside","(42.3750997, -71.1056157)",Massachusetts,Middlesex,Cambridge,42.3751,-71.105616,25017.0,"Erasca, Inc.","KSQ Therapeutics, Inc.",325412 Zinc oxide medicinal preparations manufacturing,541714,31-33,54,Manufacturing,69174.562,"Professional, Scientific, and Technical Services"
255,255,"Huntington Beach, California, United States",Chief People Officer and Head of Retail at Ritual,Head of Future of Work and OD at Pinterest,Pepperdine Graziadio Business School,Organization Development,"University of California, Riverside","(33.6783336, -118.0000166)",California,Orange,Huntington Beach,33.678334,-118.000017,6059.0,Ritual,Pinterest,999990,518210 Web hosting,99,51,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",69671.738,Information
256,256,"Spring, Texas, United States",Chief Financial Officer at Bilfinger Industrial Services - USA,Chief Financial Officer at Bilfinger Industrial Services - USA,2002–2004,Business Administration,"University of California, Riverside","(30.0798826, -95.4172549)",Texas,Harris,,30.079883,-95.417255,48201.0,Bilfinger Industrial Services - USA,Bilfinger Industrial Services - USA,,,,,,,
257,257,San Francisco Bay ,"Senior Director, Business Analytics & Strategy at Golden State Warriors",Head of Business Analytics at StubHub,"University of California, Riverside",Business Administration,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,37.714029,-122.307794,6081.0,Golden State Warriors,StubHub,,"454390 Water softener service providers, direct selling",,44-45,,,Retail Trade
258,258,"La Verne, California, United States","CFO / Founder at Klatch Coffee, Inc.",,"University of California, Riverside",Bioengineering,"University of California, Riverside","(34.1008426, -117.7678355)",California,Los Angeles,,34.100843,-117.767836,6037.0,"Klatch Coffee, Inc.",,"445299 Water stores, bottled",,44-45,,Retail Trade,56013.266,
259,259,,Digital Marketing Account Manager at Over the Top Marketing,PPC & Google Ads Manager at Instaboost Media,"University of California, Riverside",Marketing,"University of California, Riverside",,,,,,,,Over the Top Marketing,Instaboost Media,,,,,,,
260,260,"Moorpark, California, United States",Chief Operating Officer at Bench International,"SVP, Business Development at Geneworks, Inc.",1981–1984,Cell Biology,"University of California, Riverside","(34.285558, -118.8820414)",California,Ventura,,34.285558,-118.882041,6111.0,Bench International,"Geneworks, Inc.",424330 Women's clothing merchant wholesalers,325412 Zinc oxide medicinal preparations manufacturing,42,31-33,Wholesale Trade,68623.359,Manufacturing
261,261,"Walnut Creek, California, United States","Executive Director, Technology Services at Oakland Unified School District",Director of Technology at Acalanes Union High School District,CETPA Chief Technology Officer Program,Education,"University of California, Riverside","(37.9020731, -122.0618702)",California,Contra Costa,,37.902073,-122.06187,6013.0,Oakland Unified School District,Acalanes Union High School District,"611110 Seminaries, below university grade","611110 Seminaries, below university grade",61,61,Educational Services,67390.465,Educational Services
262,262,"São Paulo, São Paulo, Brazil",Director of Logistics at Shopee,Head of Transportation MLB at Mercado Livre,HSM University,Conselheiro / Board Member,"University of California, Riverside","(-23.5506507, -46.6333824)",São Paulo,Região Metropolitana de São,São Paulo,-23.550651,-46.633382,,Shopee,Mercado Livre,"488999 Vanpools, arrangement of",,48-49,,Transportation and Warehousing,65503.789,
263,263,"Los Angeles, California, United States","VP, Controller at TigerConnect","Vice President of Finance, Controller at Currency","University of California, Riverside","Business Administration and Management, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,TigerConnect,Currency,"541519 Software installation services, computer",522320 U.S. Central Credit Union,54,52,"Professional, Scientific, and Technical Services",77645.346,Finance and Insurance
264,264,Washington DC-Baltimore ,"Digital Products, Platforms, and Innovation Risk at Capital One",Freelance- Head of Strategic Partnerships & Operations at Meld Dating App (Start-up),NYU Stern School of Business,Business Innovation,"University of California, Riverside","(38.9181155, -76.9421074)",District of Columbia,Prince George's,Washington,38.918116,-76.942107,,Capital One,Meld Dating App (Start-up),"711510 Writers, independent (freelance)",,71,,"Arts, Entertainment, and Recreation",51732.192,
265,265,"Newport Beach, California, United States",Chief Technology Officer / Wealth Advisor at Beacon Pointe,"Assistant Vice President, Operations & Technology at Beacon Pointe Advisors","University of California, Irvine - The Paul Merage School of Business",Strategy & Finance,"University of California, Riverside","(33.6170092, -117.9294401)",California,Orange,Newport Beach,33.617009,-117.92944,6059.0,Beacon Pointe,Beacon Pointe Advisors,541611 Strategic planning consulting services,541611 Strategic planning consulting services,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services"
266,266,"Washington,  of Columbia, United States",Growth & Strategy Senior Manager at Accenture,Technology & Innovation Strategy at Accenture,"University of California, Riverside",Political Science/Law and Society,"University of California, Riverside","(38.8950368, -77.0365427)",District of Columbia,,Washington,38.895037,-77.036543,,Accenture,Accenture,541330 Traffic engineering consulting services,541330 Traffic engineering consulting services,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services"
267,267,"Honolulu, Hawaii, United States","Recruiter, Demand and Supply Management (DSM) at Nike",Corporate Recruiter at JetBlue Airways,Chaminade University of Honolulu,Instructional Leadership,"University of California, Riverside","(21.304547, -157.855676)",Hawaii,Honolulu,Honolulu,21.304547,-157.855676,15003.0,Nike,JetBlue Airways,"315240 Windbreakers, women's, girls', and infants', cut and sewn from purchased fabric (except apparel contractors)",481111 Scheduled air passenger transportation,31-33,48-49,Manufacturing,69174.562,Transportation and Warehousing
268,268,"San Diego, California, United States",Director Of Operations at Artemis Institute for Clinical Research,Analyst at PPS Analytics,Harvard Business School,,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,32.71742,-117.162773,6073.0,Artemis Institute for Clinical Research,PPS Analytics,"621112 Psychotherapists' (MDs or DOs) offices (e.g., centers, clinics)",,62,,Health Care and Social Assistance,76373.049,
269,269,,Marketing Manager at Blockchain Training Alliance,CEO at Blockchain Training Alliance,2002–2006,"Business Administration and Management, General","University of California, Riverside",,,,,,,,Blockchain Training Alliance,Blockchain Training Alliance,,,,,,,
270,270,Costa Rica,"Senior Manager, Global Technology Operations at Cheetah Digital",IT Operations Manager at Tek Experts,Universidad Estatal a Distancia,Business Administration,"University of California, Riverside","(10.2735633, -84.0739102)",,,,10.273563,-84.07391,,Cheetah Digital,Tek Experts,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information
271,271,"Los Angeles, California, United States",Founder at Boutique Digital Marketing,Digital Production Manager at Radio MT Lebanon,California State Polytechnic University-Pomona,"Business Administration and Management, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Boutique Digital Marketing,Radio MT Lebanon,,,,,,,
272,272,"Milwaukee, Wisconsin, United States",Director of Technology Services at GRAEF,Manager Information Technology at AECOM,New Horizons,Windows Server Operating Systems,"University of California, Riverside","(43.0349931, -87.922497)",Wisconsin,Milwaukee,Milwaukee,43.034993,-87.922497,55079.0,GRAEF,AECOM,423830 Woodworking machinery merchant wholesalers,541310 Building architectural design services,42,54,Wholesale Trade,68623.359,"Professional, Scientific, and Technical Services"
273,273,,Digital Marketing Specialist at Newegg,Digital Marketing Specialist at RG Pacific LLC,"University of California, Riverside","Business Administration and Management, Marketing","University of California, Riverside",,,,,,,,Newegg,RG Pacific LLC,443142 Video tape stores,,44-45,,Retail Trade,56013.266,
274,274,"San Francisco, California, United States",Founder at Stealth Startup,Co-Founder & Chief Product Officer at ProcessLabs.ai,Y Combinator,Computer Science,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,37.779026,-122.419906,6075.0,Stealth Startup,ProcessLabs.ai,,,,,,,
275,275,"Irvine, California, United States","Division Vice-President, Enterprise Sales West at Ceridian",Strategic Development Manager at UKG (Ultimate Kronos Group),Claremont Graduate University - Peter F. Drucker and Masatoshi Ito Graduate School of Management,Organizational Behavior Studies,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,33.685697,-117.825982,6059.0,Ceridian,UKG (Ultimate Kronos Group),518210 Web hosting,,51,,Information,73855.595,
276,276,"Bothell, Washington, United States",Chief Marketing Officer at Premera Blue Cross,President and CEO at LifeWise Health Plan of Washington,"University of California, Riverside",Political Science/Administrative Studies,"University of California, Riverside","(47.7598697, -122.2068288)",Washington,King,Bothell,47.75987,-122.206829,53033.0,Premera Blue Cross,LifeWise Health Plan of Washington,524114 Medical service plans without providing health care services,,52,,Finance and Insurance,80163.492,
277,277,Singapore,General Manager Commercial - Base Metals at Adani Enterprises Limited,"General Manager Sales & Marketing, Copper Concentrates at Rio Tinto",UCLA Anderson School of Management,MBA,"University of California, Riverside","(1.357107, 103.8194992)",,,,1.357107,103.819499,,Adani Enterprises Limited,Rio Tinto,237990 Wharf construction,212221 Telluride (gold) mining and/or beneficiating,23,21,Construction,64648.972,"Mining, Quarrying, and Oil and Gas Extraction"
278,278,"Carlsbad, California, United States","Business Owner at Jason Vanderford, DC",Associate Clinical Director at Genex Services,Southern California University of Health Sciences,Diagnostic Imaging,"University of California, Riverside","(33.1580933, -117.3505966)",California,San Diego,Carlsbad,33.158093,-117.350597,6073.0,"Jason Vanderford, DC",Genex Services,,"524298 Rate making services, insurance",,52,,,Finance and Insurance
279,279,"Los Angeles, California, United States","Manager, Data Science at PayPal",Manager of Marketing Analytics & Strategy at Harbor Freight Tools,Columbia University in the City of New York,Biostatistics (Focusing on Pharmaceutical Statistics),"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,PayPal,Harbor Freight Tools,518210 Web hosting,"444130 Tool stores, power and hand (except outdoor)",51,44-45,Information,73855.595,Retail Trade
280,280,Los Angeles  ,"Associate Vice President, Enterprise Analytics at Capital Group","Analytics Manager, Marketing & Digital at Capital Group",University of Southern California - Marshall School of Business,MBA,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,Capital Group,Capital Group,523910 Viatical settlement companies,523910 Viatical settlement companies,52,52,Finance and Insurance,80163.492,Finance and Insurance
281,281,New York City  ,Senior Logistics Analyst at Peloton Interactive,Logistics Manager at Magic Spoon,Northeastern University,"Logistics, Materials, and Supply Chain Management","University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,40.712728,-74.006015,36061.0,Peloton Interactive,Magic Spoon,713940 Weight training centers,311230 Wheat breakfast cereal manufacturing,71,31-33,"Arts, Entertainment, and Recreation",51732.192,Manufacturing
282,282,"Laguna Hills, California, United States",Global Head of Laboratory at Biome Makers Inc.,"Director, Laboratory Operations at Cannalysis","University of California, Irvine - The Paul Merage School of Business",Neuroscience,"University of California, Riverside","(33.5948758, -117.6882067)",California,Orange,,33.594876,-117.688207,6059.0,Biome Makers Inc.,Cannalysis,,541715,,54,,,"Professional, Scientific, and Technical Services"
283,283,Dallas-Fort Worth ,Strategic Insights Manager at Toyota North America,Senior Product Development Administrator at Toyota North America,Indiana University - Kelley School of Business,"Marketing, Management, and Corporate Innovation","University of California, Riverside","(32.7453157, -97.3278313)",Texas,Tarrant,Fort Worth,32.745316,-97.327831,48439.0,Toyota North America,Toyota North America,336111 Hearses assembling on chassis of own manufacture,336111 Hearses assembling on chassis of own manufacture,31-33,31-33,Manufacturing,69174.562,Manufacturing
284,284,"Walnut Creek, California, United States",President at The Revell Group,Recruiting Manager at Robert Half,"University of California, Riverside","Business Administration and Management, emphasis i","University of California, Riverside","(37.9020731, -122.0618702)",California,Contra Costa,,37.902073,-122.06187,6013.0,The Revell Group,Robert Half,,"541211 Public accountants' (CPAs) private practices, certified",,54,,,"Professional, Scientific, and Technical Services"
285,285,"Portland, Oregon, United States",VP of Finance and Operations at RFPIO Inc.,Managing Director at inDinero,UC San Diego Extension,CPA Prep,"University of California, Riverside","(45.5202471, -122.6741949)",Oregon,Multnomah,Portland,45.520247,-122.674195,41051.0,RFPIO Inc.,inDinero,"423430 Software, computer, packaged, merchant wholesalers",,42,,Wholesale Trade,68623.359,
286,286,San Francisco Bay ,"Product Manager, Platform Operations at Blueboard Inc.",Product Manager at Zenput,"University of California, Riverside",Business Administration - HR Management/Marketing,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,37.714029,-122.307794,6081.0,Blueboard Inc.,Zenput,,"541511 Web (i.e., Internet) page design services, custom",,54,,,"Professional, Scientific, and Technical Services"
287,287,"Eugene, Oregon, United States",IT Director of Information Security and Privacy Office at Oregon Health Authority,OIS Manager of Strategic Initiatives at Oregon Health Authority,"University of California, Riverside",Biochemistry,"University of California, Riverside","(44.0505054, -123.0950506)",Oregon,Lane,Eugene,44.050505,-123.095051,41039.0,Oregon Health Authority,Oregon Health Authority,"813920 Standards review committees, professional","813920 Standards review committees, professional",81,81,Other Services (except Public Administration),57824.628,Other Services (except Public Administration)
288,288,"San Jose, California, United States","Sr. Manager, Technology, Data & SDR Operations at Automation Anywhere","Sr. Marketing Operations Manager, Marketing Automation and Analytics at Forescout Technologies Inc.","University of California, Riverside","Bourns College of Engineering, Business Informatics","University of California, Riverside","(37.3361905, -121.890583)",California,Santa Clara,San Jose,37.33619,-121.890583,6085.0,Automation Anywhere,Forescout Technologies Inc.,"423430 Software, computer, packaged, merchant wholesalers","541511 Web (i.e., Internet) page design services, custom",42,54,Wholesale Trade,68623.359,"Professional, Scientific, and Technical Services"
289,289,"Irvine, California, United States",Managing Partner at P1 Accounting Solutions,Partner at Brysani Corp,"University of California, Riverside",Business Administration / Accounting,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,33.685697,-117.825982,6059.0,P1 Accounting Solutions,Brysani Corp,,,,,,,
290,290,Chile,Jefe Departamento de Transportes at ENEX,Jefe de Plantas at ENEX,Universidad Andrés Bello,"Administración y gestión de empresas, general","University of California, Riverside","(-31.7613365, -71.3187697)",,,,-31.761336,-71.31877,,ENEX,ENEX,551112 Public utility holding companies,551112 Public utility holding companies,55,55,Management of Companies and Enterprises,82055.219,Management of Companies and Enterprises
291,291,"Durham, North Carolina, United States",Founder and CEO at IAMX,HR Business Partner at Nortel Networks,1992–1994,Organization Development,"University of California, Riverside","(35.9825698, -78.90918652627246)",North Carolina,Durham,Durham,35.98257,-78.909187,37063.0,IAMX,Nortel Networks,,"551111 Holding companies, bank (except managing)",,55,,,Management of Companies and Enterprises
292,292,"Los Alamitos, California, United States",Corporate Director of Innovation & Population Health at Molina Healthcare,Corporate Director of HEDIS/Quality Business Intelligence Team at Molina Healthcare,Columbia University in the City of New York,Statistics,"University of California, Riverside","(33.8038865, -118.0772433)",California,Orange,,33.803886,-118.077243,6059.0,Molina Healthcare,Molina Healthcare,524114 Medical service plans without providing health care services,524114 Medical service plans without providing health care services,52,52,Finance and Insurance,80163.492,Finance and Insurance
293,293,"Santa Monica, California, United States","People & Ops, Director at Airbyte","People & Ops, Director at Graphite",California State University-Fullerton,Sociology,"University of California, Riverside","(34.0194704, -118.4912273)",California,Los Angeles,Santa Monica,34.01947,-118.491227,6037.0,Airbyte,Graphite,,335991 Metal-graphite product manufacturing,,31-33,,,Manufacturing
294,294,"Los Angeles, California, United States",Founder at MARK THE FUTURE,"VP, Marketing at 100 Thieves",Miami Ad School-San Francisco,Account Planning,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,34.053691,-118.242766,6037.0,MARK THE FUTURE,100 Thieves,,,,,,,
295,295,,"Senior Manager, APAC, Learning & Development at Robert Half","Training Manager, Asia at Robert Half",KCP International Language Institute,Japanese Language,"University of California, Riverside",,,,,,,,Robert Half,Robert Half,"541211 Public accountants' (CPAs) private practices, certified","541211 Public accountants' (CPAs) private practices, certified",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services"
296,296,San Francisco Bay ,Marketing Operations at Plaid,"Manager, Marketing Operations at Exabeam","University of California, Riverside",Marketing,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,37.714029,-122.307794,6081.0,Plaid,Exabeam,"339940 Water colors, artist's, manufacturing","541519 Software installation services, computer",31-33,54,Manufacturing,69174.562,"Professional, Scientific, and Technical Services"
297,297,"Bellevue, Washington, United States",Director of IT at Prime Electric,Sr. Systems Administrator at Prime Electric,2003–2004,Computer Science,"University of California, Riverside","(47.6144219, -122.192337)",Washington,King,Bellevue,47.614422,-122.192337,53033.0,Prime Electric,Prime Electric,238210 Tunnel lighting contractors,238210 Tunnel lighting contractors,23,23,Construction,64648.972,Construction
298,298,"San Diego County, California, United States",CIO at San Diego County Sheriff,,Western Governors University,IT Management,"University of California, Riverside","(32.9637838, -116.7706277)",California,San Diego,,32.963784,-116.770628,6073.0,San Diego County Sheriff,,,,,,,,
299,299,"Zug, Zug, Switzerland",Co-Founder & COO at Fluence World,Sales Director at Rapid English,Aston University,Business,"University of California, Riverside","(47.1679898, 8.5173652)",Zug,,,47.16799,8.517365,,Fluence World,Rapid English,,,,,,,
300,300,Dallas-Fort Worth ,Sr. Vice President - US Operations at Wingstop Restaurants Inc.,Vice President - U.S. Franchise Operations at Subway,"University of California, Riverside","Business Administration, Management and Operations","University of California, Riverside","(32.7453157, -97.3278313)",Texas,Tarrant,Fort Worth,32.745316,-97.327831,48439.0,Wingstop Restaurants Inc.,Subway,533110 Trademark licensing,523910 Viatical settlement companies,53,52,Real Estate and Rental and Leasing,60268.137,Finance and Insurance
301,301,"Long Beach, California, United States",Chief Executive Officer at The Works Consulting,Human Resources Director at Broadband Interactive Group,"Antioch University, Los Angeles",Organizational Management,"University of California, Riverside","(33.7690164, -118.191604)",California,Los Angeles,Long Beach,33.769016,-118.191604,6037.0,The Works Consulting,Broadband Interactive Group,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,
302,302,"Cincinnati, Ohio, United States",Director of Operations at Gifthealth,Investor/Board Member at giftHEALTH,University of Missouri-Columbia,Biomedical/Medical Engineering,"University of California, Riverside","(39.1014537, -84.5124602)",Ohio,Hamilton,Cincinnati,39.101454,-84.51246,39061.0,Gifthealth,giftHEALTH,,,,,,,
303,303,"San Francisco, California, United States",President at Dropbox,"SVP & GM, Products at Dropbox","University of California, Riverside",,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,37.779026,-122.419906,6075.0,Dropbox,Dropbox,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information
