current_location,current_work,previous_work,latest_Education,majro,search_school,Unnamed: 0
Dallas-Fort Worth Metroplex,Strategic Insights Manager at Toyota North America,Senior Product Development Administrator at Toyota North America,Indiana University - Kelley School of Business,"Marketing, Management, and Corporate Innovation","University of California, Riverside",
"Walnut Creek, California, United States",President at The Revell Group,Recruiting Manager at Robert Half,"University of California, Riverside","Business Administration and Management, emphasis i","University of California, Riverside",
"Portland, Oregon, United States",VP of Finance and Operations at RFPIO Inc.,Managing Director at inDinero,UC San Diego Extension,CPA Prep,"University of California, Riverside",
San Francisco Bay Area,"Product Manager, Platform Operations at Blueboard Inc.",Product Manager at Zenput,"University of California, Riverside",Business Administration - HR Management/Marketing,"University of California, Riverside",
"Eugene, Oregon, United States",IT Director of Information Security and Privacy Office at Oregon Health Authority,OIS Manager of Strategic Initiatives at Oregon Health Authority,"University of California, Riverside",Biochemistry,"University of California, Riverside",
"San Jose, California, United States","Sr. Manager, Technology, Data & SDR Operations at Automation Anywhere","Sr. Marketing Operations Manager, Marketing Automation and Analytics at Forescout Technologies Inc.","University of California, Riverside","Bourns College of Engineering, Business Informatics","University of California, Riverside",
"Irvine, California, United States",Managing Partner at P1 Accounting Solutions,Partner at Brysani Corp,"University of California, Riverside",Business Administration / Accounting,"University of California, Riverside",
Chile,Jefe Departamento de Transportes at ENEX,Jefe de Plantas at ENEX,Universidad Andrés Bello,"Administración y gestión de empresas, general","University of California, Riverside",
"Durham, North Carolina, United States",Founder and CEO at IAMX,HR Business Partner at Nortel Networks,1992–1994,Organization Development,"University of California, Riverside",
"Los Alamitos, California, United States",Corporate Director of Innovation & Population Health at Molina Healthcare,Corporate Director of HEDIS/Quality Business Intelligence Team at Molina Healthcare,Columbia University in the City of New York,Statistics,"University of California, Riverside",
"Santa Monica, California, United States","People & Ops, Director at Airbyte","People & Ops, Director at Graphite",California State University-Fullerton,Sociology,"University of California, Riverside",
"Los Angeles, California, United States",Founder at MARK THE FUTURE,"VP, Marketing at 100 Thieves",Miami Ad School-San Francisco,Account Planning,"University of California, Riverside",
500+ connections,"Senior Manager, APAC, Learning & Development at Robert Half","Training Manager, Asia at Robert Half",KCP International Language Institute,Japanese Language,"University of California, Riverside",
San Francisco Bay Area,Marketing Operations at Plaid,"Manager, Marketing Operations at Exabeam","University of California, Riverside",Marketing,"University of California, Riverside",
"Bellevue, Washington, United States",Director of IT at Prime Electric,Sr. Systems Administrator at Prime Electric,2003–2004,Computer Science,"University of California, Riverside",
"San Diego County, California, United States",CIO at San Diego County Sheriff,,Western Governors University,IT Management,"University of California, Riverside",
"Zug, Zug, Switzerland",Co-Founder & COO at Fluence World,Sales Director at Rapid English,Aston University,Business,"University of California, Riverside",
Dallas-Fort Worth Metroplex,Sr. Vice President - US Operations at Wingstop Restaurants Inc.,Vice President - U.S. Franchise Operations at Subway,"University of California, Riverside","Business Administration, Management and Operations","University of California, Riverside",
"Long Beach, California, United States",Chief Executive Officer at The Works Consulting,Human Resources Director at Broadband Interactive Group,"Antioch University, Los Angeles",Organizational Management,"University of California, Riverside",
"Cincinnati, Ohio, United States",Director of Operations at Gifthealth,Investor/Board Member at giftHEALTH,University of Missouri-Columbia,Biomedical/Medical Engineering,"University of California, Riverside",
"San Francisco, California, United States",President at Dropbox,"SVP & GM, Products at Dropbox","University of California, Riverside",,"University of California, Riverside",
"Rio de Janeiro, Rio de Janeiro, Brazil",Co-Founder & CEO at W.Dental,CEO at Wooza,Pontifícia Universidade Católica do Rio de Janeiro,Computer Engineering,"University of California, Riverside",
"Orange County, California, United States",Chief Executive Officer at clearpol,"Graduate Intern, Deep Learning (full time) at NASA Langley Research Center","University of California, Irvine","Political Science, health sciences","University of California, Riverside",
United States,Co-founder & Executive Vice President at Hughes Marino,Landlord Leasing Agent at Trammell Crow Company,University of Southern California - Marshall School of Business,Economics and Business,"University of California, Riverside",
United States,"Founder/CEO at Commercial Capital Solutions, LLC",SVP Business Development Officer at Wells Fargo,1998–2001,"Business Administration, Finance","University of California, Riverside",
"San Diego County, California, United States",General Manager at Jaguar Land Rover San Diego,Pre-Owned Director at Toyota of El Cajon,"University of California, Riverside",BA-PSYCHOLOGY,"University of California, Riverside",
"Vienna, Vienna, Austria",Co-Founder & CEO at AVISIO,Strategy Consultant at EY-Parthenon,WHU – Otto Beisheim School of Management,Management (Entrepreneurship),"University of California, Riverside",
500+ connections,Founder at Aromatherapy University,Sales and Marketing Manager at In-Charge Energy,Harvard University,Young Entrepreneurs Leadership Program,"University of California, Riverside",
"Ahrensburg, Schleswig-Holstein, Germany",Digital Transformation Manager at Beiersdorf,Elternzeit / Parental Leave at Beiersdorf,NORDAKADEMIE Hochschule der Wirtschaft,Betriebswirtschaftslehre,"University of California, Riverside",
United States,Director Of Operations at Ernest Packaging Solutions,Director of Operations at FRONTSTEPS,California State University-San Bernardino,Public Administration and Services,"University of California, Riverside",
"Huntington Beach, California, United States",Chief Executive Officer at Stelios LLC,DOD Contractor at US Navy,American Military University,Intelligence,"University of California, Riverside",
500+ connections,CEO/ Founder at 株式会社TOP Search,"Manager, Human Resources Area at RGF Professional Recruitment Japan",Kyoto Sangyo University,"Business, Management, Marketing, and Related Support Services","University of California, Riverside",
"San Francisco, California, United States",Director of Innovation & Strategic Partnerships at Israel Economic Mission to the West Coast,Product Marketing & Customer Success Manager at Stanza,University of San Francisco,Sport Management,"University of California, Riverside",
"Phoenix, Arizona, United States",Founder at KBSC Solutions Human Capital Consultants,,"University of California, Riverside",History,"University of California, Riverside",
"Austin, Texas, United States",Digital Campaign Manager - Email and Push at Whole Foods Market,"Specialist, CRM Campaign Marketing at Guitar Center","University of California, Riverside",Business Administration,"University of California, Riverside",
Greater Seattle Area,Director Of Ecommerce at Evolve,Director Of Ecommerce (Head of Ecommerce) at Wyze,UC Riverside,Computer Science,"University of California, Riverside",
500+ connections,Chief Creative Officer (CCO) at IQHi Inc.,"Graduate Researcher at University of California, Riverside",Central South University,Applied Physics,"University of California, Riverside",
"Vitória, Espírito Santo, Brazil",CEO at Dersalis,,Fundação Getulio Vargas,"Business Administration and Management, General","University of California, Riverside",
"Anaheim, California, United States",CEO at Young Nails,,"University of California, Riverside",,"University of California, Riverside",
Los Angeles Metropolitan Area,Director Of Ecommerce at Co,Ecommerce Merchandising Manager at Carbon38,"University of California, Riverside",Media Studies - Film and Visual Media,"University of California, Riverside",
"Orange County, California, United States",Director Environmental Sustainability at Danaher Corporation,"Director Environment, Health & Safety at Hocking International Laboratories",University of Southern California,Environmental Engineering,"University of California, Riverside",
500+ connections,West Coast Partnerships Manager at Hawke Media,Account Executive at Paolucci Salling & Martin,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",
"Los Angeles, California, United States",Founder & Principal at The Culturist Group,"Vice President, North America Strategy & General Manager, Los Angeles at MMGY Global","University of California, Riverside",Political Science/Marketing,"University of California, Riverside",
United States,Senior Director of Analytics & Strategy at Continuum Global,Analytics Advisor at Kaiser Permanente,"University of California, Riverside",Economics,"University of California, Riverside",
Los Angeles Metropolitan Area,"Sr. Manager Revenue Planning & Analytics, Ad Platforms at Apple","Manager Revenue Planning & Analytics, Ad Platforms at Apple","University of California, Riverside",Finance and Information Systems,"University of California, Riverside",
Los Angeles Metropolitan Area,Director Of Operations at The Dental Views,"Senior, Director of Talent and Orginization Development at West Coast Dental Services","University of California, Riverside","Business Administration and Management, General","University of California, Riverside",
"Los Angeles, California, United States",Partner Growth Manager (Account Executive) at VIZIO Ads,Real Estate Agent at The Stephanie Younger Group - Compass,"University of California, Riverside",Business Administration,"University of California, Riverside",
"Richmond, Virginia, United States",Senior Vice President at Carpenter Company,,"University of California, Riverside",,"University of California, Riverside",
500+ connections,Environmental Engineering Associate at City of Los Angeles,,"University of California, Riverside",Chemical and Environmental Engineering,"University of California, Riverside",
San Francisco Bay Area,Director of Product Management at Onto Innovation,"Staff Manger, Product Marketing at Synopsys Inc","University of California, Riverside",Electrical Engineering,"University of California, Riverside",
500+ connections,Senior Recruiter at Coit Group - A Hudson RPO Company,Director of Human Resources at SetSchedule,"University of California, Riverside","Psychology, Minor in Business","University of California, Riverside",
New York City Metropolitan Area,"SVP, Head of Consumer Credit Risk Management at Investors Bank","SVP, Head of Mortgage Risk Analytics at U.S. Bank","University of California, Riverside",Physics,"University of California, Riverside",
New York City Metropolitan Area,HR Experience Manager at CreatorIQ,Human Resources Generalist at Canoo,"University of California, Riverside",Sociology/Administrative Studies & Spanish,"University of California, Riverside",
"Greenville-Spartanburg-Anderson, South Carolina Area","President/Owner, Financial Advisor, CFP®, CRPC®, CDFA® at Jeter Hrubala Wealth Strategies","Vice President, Financial Advisor, CFP®, CRPC® at Morgan Stanley Wealth Management",University of South Carolina - The Moore School of Business,Brazil/Portuguese,"University of California, Riverside",
500+ connections,Analyst - Flight Data Analytics at Priceline,Data Analyst-Tactical at Deccan International,Fordham University,Business Analytics,"University of California, Riverside",
"Hoboken, New Jersey, United States",Director Of Financial Planning Services at Northwestern Mutual,Financial Advisor at Prudential Financial,Guilford College,Chemistry,"University of California, Riverside",
"Parker, Colorado, United States",Senior Director Of Enterprise Operations & Implementation at 2U,Director of Operations at Fresh View Solutions,Ashford University,Public Administration,"University of California, Riverside",
"Irvine, California, United States","Technical Product Manager - AI/ML, Deep Learning, Computer Vision, and IoT at Intel Corporation",Product Intern - AI/IoT at Intel Corporation,University of Illinois Urbana-Champaign,Computer Science,"University of California, Riverside",
"Carson, California, United States",Dentist at Dentist,,Case Western Reserve University School of Dental Medicine,B.S. in Psychobiology,"University of California, Riverside",
Los Angeles Metropolitan Area,Co-Founder & President at ISBX,Seed Investor at Science 37,"University of California, Riverside",Biology,"University of California, Riverside",
"Los Angeles, California, United States","Head of Human Resources and Admin at Blue Black Management Consulting, Inc.","Senior Director (Head of), HR & Talent Acquisition (USA, APAC, EMEA) - Two-factor Authentication at TeleSign",Loyola Marymount University,"Employment/Labor Law, Compliance/Audit, Org Capabilities Inventory, Performance Mgmt, Recuitment)","University of California, Riverside",
"San Diego County, California, United States","Executive Vice President at Barbachano International, Inc.","Director - Executive Search at Barbachano International, Inc.",New York University,Investment Banking,"University of California, Riverside",
500+ connections,MEDITECH NPR Report-Writer at Prime Healthcare Services,MEDITECH NPR Report-Writer / various IS/IT roles as needed. at XO Consulting,"University of California, Riverside",,"University of California, Riverside",
Los Angeles Metropolitan Area,Director of Life Sciences at FTI Consulting,Associate Product Manager at Edwards Lifesciences,University of Southern California,Marketing,"University of California, Riverside",
"Los Angeles, California, United States",Senior Vice President - Robert Half Government at Robert Half,Strategic Accounts VP - Account Management at Robert Half,"University of California, Riverside",Business Administration with an emphasis in Accounting,"University of California, Riverside",
San Francisco Bay Area,Workplace Operations Manager  at Scale AI,Recruiting Coordinator Manager at Scale AI,"University of California, Berkeley",Psychology,"University of California, Riverside",
"Riverside, California, United States",Senior User Experience Researcher at Dutchie,User Experience Researcher at TikTok,"University of California, Riverside",Sociology,"University of California, Riverside",
"New York, New York, United States","CEO, Purveyor of Growth & Talent at Ruckus",Head of Growth at Getable,"University of California, Los Angeles","Business Administration, Minor in Film","University of California, Riverside",
"Sunnyvale, California, United States",CTO at Rahi,Head of Cloud Partner Engineering at Google,1988–1992,Computer Science,"University of California, Riverside",
"Irvine, California, United States",Director Of Operations at Retina Associates of Orange County,Practice Manager at Retina Associates of Orange County,University of Southern California,Health/Health Care Administration/Management,"University of California, Riverside",
"San Diego County, California, United States",Co-Founder & CTO at alwaysAI,Chief Technology Officer at Sphera,Caltech,Technology Management,"University of California, Riverside",
"Los Angeles County, California, United States",CEO at Qencode,CEO at StageVids,"University of California, Riverside","Economics, Law & Society, Russian","University of California, Riverside",
Los Angeles Metropolitan Area,Chief Executive Officer at The Kinetic Group,"Manager, Partnerships at Addition LLC",University of San Diego School of Law,Intellectual Property Law,"University of California, Riverside",
"Torrance, California, United States",Founder & CEO at WeLaunch Marketing,Manager of Operations at Crezone Enterprise,"University of California, Riverside",Neurobiology and Neurosciences,"University of California, Riverside",
"Washington, District of Columbia, United States",Co-Founder at Shop Smart INC,Program Assistant at The National Academies,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",
"Orange County, California, United States",Vice President Finance at Oventus Medical Ltd,Chief Financial Officer at Signature Analytics,2003–2005,Finance,"University of California, Riverside",
Los Angeles Metropolitan Area,CEO at Monarch Landscape Companies,"Vice President, Mountain and Northeast Regions at ValleyCrest Landscape Maintenance",1999–2001,,"University of California, Riverside",
"Walnut Creek, California, United States",Chief Executive Officer at OnQuality Pharmaceuticals Ltd.,"Chief Operating Officer at Tolero Pharmaceuticals, Inc. - Wholly Owned Subsidiary of Sumitomo Dainippon Pharmaceuticals","University of California, Berkeley, Haas School of Business",Toxicology,"University of California, Riverside",
"Ozark, Missouri, United States",Chief Executive Officer at Killian Construction Co.,Executive Vice President at Killian Construction Co.,"University of California, Riverside",,"University of California, Riverside",
"San Diego, California, United States",CEO at Fluid Sound,,InfoComm,Certified Technology Specialist - Design,"University of California, Riverside",
"São Paulo, São Paulo, Brazil",CEO TOTVS LARGE ENTERPRISE at TOTVS,Business Mentor at Endeavor Brasil,"University of California, Riverside","Marketing/Marketing Management, General","University of California, Riverside",
"San Bernardino, California, United States","Vice President Marketing and Facilities at Baker's Burgers, Inc.","Vice President Operations at Baker's Burgers, Inc.",Cal State San Bernardino,"Business, Executive Concentration","University of California, Riverside",
"Garden Grove, California, United States",President/CEO at Hycor Biomedical,Chief Operating Officer at Beyond Diagnostics,1997–2001,Biomedical Sciences,"University of California, Riverside",
San Francisco Bay Area,Director of Corporate Engineering at Aurora,Director of Infrastructure - Datacenter and Networking at Wish,+ 1 more,BA,"University of California, Riverside",
San Francisco Bay Area,EVP Chief Financial Officer at The Clorox Company,VP Global Finance at The Clorox Company,University of Rochester - William E. Simon Graduate School of Business Administration,Finance,"University of California, Riverside",
"San Francisco, California, United States",CEO and Co-founder at Rowan // Clean coat care for modern dogs,"Miss America (Vice President, GM/Head of North America + Global Head of People + Environment) at method products pbc",Northwestern University - Kellogg School of Management,Business Administration,"University of California, Riverside",
"Fremont, California, United States","Senior Vice President, Technology Solutions at Excite Credit Union","Vice President, Information and Administration at Technology Credit Union",1997–2000,Business Administration,"University of California, Riverside",
"Ontario, California, United States",Senior Vice President Operations at HHS Construction - Congruex,Senior Staff Consultant at Verizon,"University of California, Riverside",Computer Science,"University of California, Riverside",
"Toulouse, Occitanie, France",Président & Co-fondateur | CEO at CreaSila,Manager Business Consulting - Energy Utilities Telecom & Media at CGI Business Consulting,TELECOM SudParis/TELECOM Ecole de Management,Ingénierie des Systèmes d'Information,"University of California, Riverside",
"New York, New York, United States","SVP, Marketing & Communications, Americas, dentsu Creative at dentsu international","VP, Marketing at R/GA",2002–2006,Sociology,"University of California, Riverside",
San Francisco Bay Area,Real Estate Agent at Side,"Marketing Manager at Keller Williams Realty, Inc.","University of California, Riverside",Business Administration/Marketing,"University of California, Riverside",
Singapore,Managing Director at Crown & Company,Executive Director at Aquis Search,"University of California, Riverside",Major in Finance and Accounting,"University of California, Riverside",
"Providence, Rhode Island, United States",Managing Director at Accenture,"SVP Analytics, the Americas at Symphony EYC",2000–2002,GM/Marketing/Finance,"University of California, Riverside",
"Rialto, California, United States",President at KDC-Benchmark,"Vice President, R&D and Head of Scientific Affairs at Guthy|Renker",+ 1 more,Biology,"University of California, Riverside",
"Burbank, California, United States","Director, Product and Engineering  at The Walt Disney Company","Senior Manager, Solution Architecture at The Walt Disney Company",California State University-Los Angeles,Marketing,"University of California, Riverside",
"Aliso Viejo, California, United States",Director of Business Intelligence and Data Science at PlayStation,Director of Business Intelligence and Automation at CoreLogic,2007–2009,Business,"University of California, Riverside",
"Mission Viejo, California, United States","Director of Program Management, Operations Supply Chain at ICU Medical","R&D Manager, Program Management, Proprietary, IV Therapy and Critical Care Product Lines at ICU Medical",1993–1996,Biology,"University of California, Riverside",
"Tampa, Florida, United States",President at Texas Landscape Services,Senior Executive Corporate Sales at Polk Mechanical Company,"University of California, Riverside",,"University of California, Riverside",
500+ connections,"Senior Manager, Business Development at Simpplr",Business Development Manager at NetSuite,"University of California, Riverside",Sociology,"University of California, Riverside",
"La Habra, California, United States",,Vice President of Marketing at Money Mailer,Chapman University,Business Administration (emphasis in Marketing),"University of California, Riverside",
"Seattle, Washington, United States",Co-Founder at PointStory,"Director, Marketplace Strategy at Content 26",1998–2002,Business Administration - Marketing,"University of California, Riverside",
"Chula Vista, California, United States",Marketing Director at GI Home Loans,AI Data Analyst at Cresta,"University of California, Riverside",Accounting,"University of California, Riverside",
"San Diego, California, United States","Executive Director, Manufacturing Science and Technology at Halozyme Therapeutics, Inc.","Executive Director, Product Development at Halozyme Therapeutics, Inc.",UCR,,"University of California, Riverside",
"Dallas, Texas, United States",Growth  at Gluent,Head of Business Development - Growth at OnPrem Solution Partners,"University of California, Riverside",Philosophy,"University of California, Riverside",
San Francisco Bay Area,Growth at Around,"Manager, Growth Marketing at Mixpanel",UC Riverside,Business Administration,"University of California, Riverside",
Greater Boston,"Vice President, Analytics at Sana Health",Digital Health Consultant at (independent),2004–2010,Cognitive Psychology,"University of California, Riverside",
Los Angeles Metropolitan Area,"Vice President, Operations at Nihon Kohden America","Senior Director, Supply Chain Management at Nihon Kohden America",University of Southern California,Business Administration,"University of California, Riverside",
"Oceanside, California, United States","CEO / President at Tensor ID, Inc","Marketing, sales & administration at Tensor Imaging","University of California, Riverside",,"University of California, Riverside",
"Stockholm, Stockholm County, Sweden",CEO and Co-Founder at Safemind,Board Member at Kodcentrum,Stockholms universitet,"Mathematics, Economics, Computer Science","University of California, Riverside",
"Rancho Santa Margarita, California, United States",Vice President Operations at Sares Regis Group,Regional Vice President at Sares Regis Group,UCR,,"University of California, Riverside",
"Los Angeles, California, United States",President at Beyond The Whiteboard (btwb),,2000–2004,,"University of California, Riverside",
"Edmonds, Washington, United States",Director Of Engineering at Nordstrom,Senior Engineering Manager at Nordstrom,2000–2004,Computer Science,"University of California, Riverside",
"Bellevue, Washington, United States",Head of Global Talent Acquisition at Sendbird,"Director, Global Talent Acquisition at Nintex","University of California, Riverside",,"University of California, Riverside",
"San Gabriel, California, United States","Director, Growth Marketing at ViacomCBS","Senior Manager, Growth Marketing at Weedmaps",Education (same page),Business Administration,"University of California, Riverside",
"Fremont, California, United States","Director Of Engineering, Data Platform and ML at Socure",Director of Engineering at Electronic Arts (EA),1999–2006,Computer Science,"University of California, Riverside",
"Atlanta, Georgia, United States",Director of Data and Analytics at Primerica,Analytics Engagement Leader at Honeywell,"University of California, Riverside",Statistics,"University of California, Riverside",
"Santiago, Santiago Metropolitan Region, Chile","Gerente Auditoría Analytics, Ciberseguridad, Riesgo TI y Riesgo Operacional at Itaú Chile",Sub Gerente Seguridad de la Información y Ciberseguridad at Banco BICE,IEDE Business School,MBA,"University of California, Riverside",
Detroit Metropolitan Area,Director of People Operations at SEE Eyewear,Director of Talent Acquisition & Employee Relations at SEE Eyewear,Academy of Art University,"Fashion Merchandising, Product Development","University of California, Riverside",
"Los Angeles, California, United States",Managing Director at KPMG,"Consultant at BDO Seidman, LLP",2005–2007,,"University of California, Riverside",
"Orange County, California, United States","Director, Product at Hubilo","Chief Executive Officer, Co-Founder at Pixel Canvas","University of California, Riverside",Biological Sciences,"University of California, Riverside",
500+ connections,Human Resources Manager at REVOLVE,"Sr. Associate, Stores HR at Forever 21","University of California, Riverside",Business Administration and Management,"University of California, Riverside",
San Francisco Bay Area,"Sales Director, Cloud at TigerGraph",Business Development Lead | Strategic Cloud Alliance at Equinix,"University of California, Riverside",Project Management Certification,"University of California, Riverside",
500+ connections,Senior Technical Recruiter at Microsoft,Technical Recruiter at Amazon Web Services (AWS),"University of California, Riverside",Media and Cultural Studies,"University of California, Riverside",
Los Angeles Metropolitan Area,Director of Marketing at 99 cents only & Senior Marketing Manager at Meaningful Works at Meaningful Works,Manager of Promotions & Merchandise Marketing at Smart & Final at Smart & Final,UC Riverside,English,"University of California, Riverside",
"Knoxville, Tennessee, United States",Founder at Horizon Education,Founder at EDUCATIONAL PARTNERSHIPS LLC,Stanford University,Innovation and Entrepreneurship,"University of California, Riverside",
"San Mateo, California, United States","Vice President, Statistical and Data Sciences at Poseida Therapeutics, Inc.","Executive Director, Head of Statistical and Data Sciences at Poseida Therapeutics, Inc.","University of California, Riverside (UCR)",Statistics - Department of Statistics,"University of California, Riverside",
Cologne Bonn Region,Head of Business Intelligence & Digital Analytics at DFL Digital Sports GmbH,Group Head Data Science at Publicis Media,2003–2009,Business Administration,"University of California, Riverside",
"Santa Rosa, California, United States","Director of Engineering at DriveSavers Data Recovery, eDiscovery and Digital Forensics","Director of Mac and Unix Engineering at DriveSavers Data Recovery, eDiscovery and Digital Forensics","University of California, Riverside",Computer Science,"University of California, Riverside",
Greater Lyon Area,Founder & Principal Consultant at LyonaPharm Consulting,,St. George's University,Medical Biology,"University of California, Riverside",
500+ connections,Solution Principal at NetSuite,Account Manager | Retail + E-Commerce at NetSuite,"University of California, Riverside","Business Administration, Marketing","University of California, Riverside",
Los Angeles Metropolitan Area,"General Manager at McLane Company, Inc.","General Manager at McLane Company, Inc.","University of California, Riverside",,"University of California, Riverside",
"Pasadena, California, United States",Director at R&D Incentives Group,Founder at The Enterprise Zone Company,"University of California, Riverside",,"University of California, Riverside",
"Los Angeles, California, United States",Software Engineer at Tapcart,Software Engineer at Chartmetric,"University of California, Riverside",,"University of California, Riverside",
"Redmond, Washington, United States",Software Engineer II- Azure Networking at Microsoft,Senior Software Engineer at Target,"University of California, Riverside",Computer Engineering,"University of California, Riverside",
"San Diego, California, United States",Medical Device Engineer 1 at Dexcom,Customer Advocacy Generalist 1 at Dexcom,"University of California, Riverside",Bioengineering and Biomedical Engineering,"University of California, Riverside",
"San Francisco, California, United States",Marketplace Operations Lead at Faire,Head of Broker Operations at Newfront Insurance,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",
500+ connections,"Senior Digital Strategy Lead, Team Lead, Accelerated Growth at Google",Measurement and Attribution Product Expert at Google,"University of California, Riverside","Business Administration, Marketing Concentration","University of California, Riverside",
"Scottsdale, Arizona, United States","Practice Director, Application Security and DevSecOps at Trace3",Principal Solutions Architect at Trace3,"University of California, Riverside",Computer Science,"University of California, Riverside",
Los Angeles Metropolitan Area,"Sr. Manager, Product Analytics at Ticketmaster",Sr. Growth Product Manager at UpKeep,"Pepperdine University, The George L. Graziadio School of Business and Management",Business Administration,"University of California, Riverside",
"Los Angeles, California, United States",Senior Data Scientist (Personalization & Recommendations) at Fox Corporation,Data Scientist at Fox Corporation,Georgia Institute of Technology,Computational Data Analytics,"University of California, Riverside",
"Moreno Valley, California, United States",Director at Essamy Logistics,Owner Operator at FedEx,"University of California, Riverside","Biology, General","University of California, Riverside",
"Laguna Hills, California, United States",Global Head of Laboratory at Biome Makers Inc.,"Director, Laboratory Operations at Cannalysis","University of California, Irvine - The Paul Merage School of Business",Neuroscience,"University of California, Riverside",
"San Diego, California, United States",Marketing Coordinator at Webstacks,Digital Marketing Intern at Strikepoint Media,"University of California, Riverside",Econ/Administrative Studies,"University of California, Riverside",
"Covina, California, United States","Director of Research and Development, Director of Quality Control, Account Manager at New Look Cosmetics, Inc.","Research and Development Manager/ Regulatory Administrator/ Quality Control Manager at New Look Cosmetics, Inc.",University of Cincinnati,Pharmaceutical Sciences with emphasis in Cosmetic Science,"University of California, Riverside",
United States,Chief People Officer | Executive HR Transformation Program Manager at Norwegian Capital Partners,Chief People Officer at Norwegian Capital Partners,Sandra Day O’Connor College of Law at Arizona State University,HR and Employment Law,"University of California, Riverside",
Los Angeles Metropolitan Area,Dentist and Owner at Aesthetic Dental Care,Dentist at Gentle Dental Care,1992–1996,Dentistry,"University of California, Riverside",
500+ connections,Lead Technical Recruiter at CoStar Group,Technical Recruiter at CoStar Group,"University of California, Riverside",Psychology,"University of California, Riverside",
"Los Angeles, California, United States",Digital Product Manager at iHeartMedia,Product Marketing Manager at NBCUniversal,"University of California, Riverside",Electrical and Electronics Engineering,"University of California, Riverside",
"Westerville, Ohio, United States",Associate Director of Analytics at Takeda,Digital Analytics Manager at Cognizant,"University of California, Riverside",Computer Science,"University of California, Riverside",
500+ connections,Process Improvement Manager at Loma Linda University Medical Center,Process Improvement Specialist at Owens & Minor,California State University-San Bernardino,Health Services Administration,"University of California, Riverside",
Los Angeles Metropolitan Area,General Manager at Golden Road Brewing,Commercial Vice President at Golden Road Brewing,University of San Francisco,Sport Management,"University of California, Riverside",
Greater Tampa Bay Area,"Practice Manager, CSM at CDI LLC",ServiceNow Architect at Rooms To Go,1997–1999,,"University of California, Riverside",
"Menlo Park, California, United States",Head of Reinforcement Learning  at Varian Medical Systems,Reinforcement Learning Lead at January AI,"University of California, Riverside",Electrical Engineering,"University of California, Riverside",
"Los Angeles, California, United States","Head of Partnerships - Influencer and Brand at VEGAMOUR, INC.",Senior Marketing Manager - Brand Partnerships and Events at PACSUN,"University of California, Riverside",Mass Communication/Media Studies,"University of California, Riverside",
"New York, New York, United States","Senior Vice President, General Counsel & Secretary at Prove","General Counsel, Chief Compliance Officer & Secretary ~Management~Strategic Initiatives~ (NYSE:HTGC) at Hercules Capital, Inc.",Boston University School of Law,History,"University of California, Riverside",
"Los Angeles, California, United States","Executive Team Lead, Staffing Solutions at Motion Recruitment",2 yrs 10 mos,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",
500+ connections,Talent Acquisition Specialist at Advantech USA,Human Resources Assistant at Advantech USA,"University of California, Riverside",Psychology,"University of California, Riverside",
San Francisco Bay Area,"Director, Global Environmental Health & Safety at Excelitas Technologies Corp.",Environmental Health & Safety Manager (Multi-Site) at Collins Aerospace,University of Southern California,Environmental Engineering,"University of California, Riverside",
"San Francisco, California, United States","Sr. Sales Manager, Emerging Markets at Okta","Field Account Executive (San Francisco, CA) at Okta","University of California, Riverside",Sociology,"University of California, Riverside",
"Los Angeles, California, United States",Human Resources Director at Unfinished,Sr. Director of People at Gatsby,Education (same page),Political Science,"University of California, Riverside",
"Cypress, California, United States",Senior Human Resources Generalist at Hybrid Apparel,"Human Resources Representative at Mitsubishi Motors North America, Inc.","University of California, Riverside",Business Administration/Human Resources Management,"University of California, Riverside",
"San Diego, California, United States","Managing Partner, Master Facilitator (Classroom & Virtual), Executive Leadership Coach & Consultant at 1 Line of Sight, a Consultancy",Vice President - Engagement Leader at Senn Delaney,"University of California, Riverside",Sociology / Psychology,"University of California, Riverside",
"São Paulo, Brazil",Business Development Lead at Shopify,Strategic Alliance Director  at Capgemini,"University of California, Riverside",Global Business Management,"University of California, Riverside",
500+ connections,Lyft at Lyft,Security Screener at Bloomsung,University of La Verne,Speech Communication and Rhetoric,"University of California, Riverside",
190 connections,,"R&D Associate at AIVITA Biomedical, Inc.","Questrom School of Business, Boston University",Product Development and Brand Management,"University of California, Riverside",
"Orange County, California, United States",Laboratory Director at Ambry Genetics,"Laboratory Director at Counsyl, Inc.","University of California, Los Angeles",Human Genetics,"University of California, Riverside",
"Oxford, England, United Kingdom",Director of Technology and Genomics at Novo Nordisk,Associate Director - Discovery Biology at Novo Nordisk,"University of California, Riverside","Evolutionary Physiology, Exercise Physiology","University of California, Riverside",
"New Orleans, Louisiana, United States",Co-Founder at PureSkill.gg,Data Scientist at Rho AI,"University of California, Riverside",Astrophysics,"University of California, Riverside",
"Newport Beach, California, United States",Chief Executive Officer at Tai Software,Chief Technology Officer at Teknowlogi,1994–1998,Computer Science,"University of California, Riverside",
"Boulder, Colorado, United States",Chief Executive Officer at Stealth Startup,Time off at None,UC Riverside,Physics,"University of California, Riverside",
"San Diego, California, United States",Founder & Chief Executive Officer at MedlyticsAi,Channel Partner at ScaleMatrix,University of Redlands,Location Analytics,"University of California, Riverside",
