current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
"Los Angeles, California, United States","Head of Partnerships - Influencer and Brand at VEGAMOUR, INC.",Senior Marketing Manager - Brand Partnerships and Events at PACSUN,"University of California, Riverside",Mass Communication/Media Studies,"University of California, Riverside","VEGAMOUR, INC.",PACSUN,"423850 Water treatment equipment, municipal, merchant wholesalers",,42,,Wholesale Trade,68623.359,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"New York, New York, United States","Senior Vice President, General Counsel & Secretary at Prove","General Counsel, Chief Compliance Officer & Secretary ~Management~Strategic Initiatives~ (NYSE:HTGC) at Hercules Capital, Inc.",Boston University School of Law,History,"University of California, Riverside",Prove,"Hercules Capital, Inc.",237990 Wharf construction,523910 Viatical settlement companies,23,52,Construction,64648.972,Finance and Insurance,40.712728,-74.006015,New York,,New York,36061
"Los Angeles, California, United States","Executive Team Lead, Staffing Solutions at Motion Recruitment",2 yrs 10 mos,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",Motion Recruitment,2 yrs 10 mos,561312 Senior executive search services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
,Talent Acquisition Specialist at Advantech USA,Human Resources Assistant at Advantech USA,"University of California, Riverside",Psychology,"University of California, Riverside",Advantech USA,Advantech USA,"334220 Video camera (except household-type, television broadcast) manufacturing","334220 Video camera (except household-type, television broadcast) manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,,,,,,nan
San Francisco Bay ,"Director, Global Environmental Health & Safety at Excelitas Technologies Corp.",Environmental Health & Safety Manager (Multi-Site) at Collins Aerospace,University of Southern California,Environmental Engineering,"University of California, Riverside",Excelitas Technologies Corp.,Collins Aerospace,334419 Vacuum tubes manufacturing,"336413 Universal joints, aircraft, manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,37.714029,-122.307794,California,San Mateo,,06081
"San Francisco, California, United States","Sr. Sales Manager, Emerging Markets at Okta","Field Account Executive (San Francisco, CA) at Okta","University of California, Riverside",Sociology,"University of California, Riverside",Okta,Okta,"541511 Web (i.e., Internet) page design services, custom","541511 Web (i.e., Internet) page design services, custom",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",37.779026,-122.419906,California,,San Francisco,06075
"Los Angeles, California, United States",Human Resources Director at Unfinished,Sr. Director of People at Gatsby,Education (same page),Political Science,"University of California, Riverside",Unfinished,Gatsby,442110 Office furniture stores,"326191 Urinals, plastics, manufacturing",44-45,31-33,Retail Trade,56013.266,Manufacturing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Cypress, California, United States",Senior Human Resources Generalist at Hybrid Apparel,"Human Resources Representative at Mitsubishi Motors North America, Inc.","University of California, Riverside",Business Administration/Human Resources Management,"University of California, Riverside",Hybrid Apparel,"Mitsubishi Motors North America, Inc.",,"531312 Real estate property managers' offices, commercial",,53,,,Real Estate and Rental and Leasing,33.824824,-118.039937,California,Orange,,06059
"San Diego, California, United States","Managing Partner, Master Facilitator (Classroom & Virtual), Executive Leadership Coach & Consultant at 1 Line of Sight, a Consultancy",Vice President - Engagement Leader at Senn Delaney,"University of California, Riverside",Sociology / Psychology,"University of California, Riverside","1 Line of Sight, a Consultancy",Senn Delaney,,541611 Strategic planning consulting services,,54,,,"Professional, Scientific, and Technical Services",32.71742,-117.162773,California,San Diego,San Diego,06073
"São Paulo, Brazil",Business Development Lead at Shopify,Strategic Alliance Director  at Capgemini,"University of California, Riverside",Global Business Management,"University of California, Riverside",Shopify,Capgemini,"541512 Systems integration design services, computer","541511 Web (i.e., Internet) page design services, custom",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",-23.550651,-46.633382,São Paulo,Região Metropolitana de São,São Paulo,nan
,Lyft at Lyft,Security Screener at Bloomsung,University of La Verne,Speech Communication and Rhetoric,"University of California, Riverside",Lyft,Bloomsung,"485320 Passenger van rental with driver (except shuttle service, taxi)",,48-49,,Transportation and Warehousing,65503.789,,,,,,,nan
,,"R&D Associate at AIVITA Biomedical, Inc.","Questrom School of Business, Boston University",Product Development and Brand Management,"University of California, Riverside",,"AIVITA Biomedical, Inc.",,541714,,54,,,"Professional, Scientific, and Technical Services",,,,,,nan
"Orange County, California, United States",Laboratory Director at Ambry Genetics,"Laboratory Director at Counsyl, Inc.","University of California, Los Angeles",Human Genetics,"University of California, Riverside",Ambry Genetics,"Counsyl, Inc.",621511 Urinalysis laboratories,,62,,Health Care and Social Assistance,76373.049,,33.750038,-117.870493,California,Orange,,06059
"Oxford, England, United Kingdom",Director of Technology and Genomics at Novo Nordisk,Associate Director - Discovery Biology at Novo Nordisk,"University of California, Riverside","Evolutionary Physiology, Exercise Physiology","University of California, Riverside",Novo Nordisk,Novo Nordisk,561499 Videoconferencing services,561499 Videoconferencing services,56,56,Administrative and Support and Waste Management and Remediation Services,64366.438,Administrative and Support and Waste Management and Remediation Services,51.752013,-1.25785,England,Oxfordshire,Oxford,nan
"New Orleans, Louisiana, United States",Co-Founder at PureSkill.gg,Data Scientist at Rho AI,"University of California, Riverside",Astrophysics,"University of California, Riverside",PureSkill.gg,Rho AI,,,,,,,,29.975998,-90.078213,Louisiana,Orleans,New Orleans,nan
"Newport Beach, California, United States",Chief Executive Officer at Tai Software,Chief Technology Officer at Teknowlogi,1994–1998,Computer Science,"University of California, Riverside",Tai Software,Teknowlogi,"423690 Video tapes, blank, merchant wholesalers",,42,,Wholesale Trade,68623.359,,33.617009,-117.92944,California,Orange,Newport Beach,06059
"Boulder, Colorado, United States",Chief Executive Officer at Stealth Startup,Time off at None,UC Riverside,Physics,"University of California, Riverside",Stealth Startup,None,,"445299 Water stores, bottled",,44-45,,,Retail Trade,40.014986,-105.270545,Colorado,Boulder,Boulder,08013
"San Diego, California, United States",Founder & Chief Executive Officer at MedlyticsAi,Channel Partner at ScaleMatrix,University of Redlands,Location Analytics,"University of California, Riverside",MedlyticsAi,ScaleMatrix,,"541513 Facilities (i.e., clients' facilities) support services, computer systems or data processing",,54,,,"Professional, Scientific, and Technical Services",32.71742,-117.162773,California,San Diego,San Diego,06073
"Timnath, Colorado, United States",eCommerce Category Manager at RITE AID,eCommerce Merchandising Manager at RITE AID,UC Riverside,"Business Administration, Marketing","University of California, Riverside",RITE AID,RITE AID,"454390 Water softener service providers, direct selling","454390 Water softener service providers, direct selling",44-45,44-45,Retail Trade,56013.266,Retail Trade,40.529439,-104.982086,Colorado,Larimer,,08069
"Carlsbad, California, United States",CEO at Blue Rock Software,Advisor at JetHead,1996–1998,,"University of California, Riverside",Blue Rock Software,JetHead,,541690 Security consulting services,,54,,,"Professional, Scientific, and Technical Services",33.158093,-117.350597,California,San Diego,Carlsbad,06073
"Pasadena, California, United States","Director, Strategic Growth Partnerships at BigCommerce",Head of Global Partnerships at nocnoc,"University of California, Riverside","Business Admin, Marketing, Management Science","University of California, Riverside",BigCommerce,nocnoc,"511210 Utility software, computer, packaged",,51,,Information,73855.595,,34.147645,-118.144478,California,Los Angeles,Pasadena,06037
"San Francisco, California, United States",Founder & CEO at The On Demand Company,Manager at Discover Financial Services - Discover Home Loans,"University of California, Riverside",Finance,"University of California, Riverside",The On Demand Company,Discover Financial Services - Discover Home Loans,,,,,,,,37.779026,-122.419906,California,,San Francisco,06075
"Oakland, California, United States",Founder and CEO at Urban Health Group Inc.,Licensed Clinical Social Worker at Kaiser Permanente,California State University - East Bay,Social Work,"University of California, Riverside",Urban Health Group Inc.,Kaiser Permanente,,524114 Medical service plans without providing health care services,,52,,,Finance and Insurance,37.804456,-122.271356,California,Alameda,Oakland,06001
"Irvine, California, United States",Senior Vice President of Development & Construction at Begonia Real Estate Development LLC,"Senior Development Manager at Boos Development Group, Inc.",+ 1 more,"Real Estate, Finance & Law / Strategy & Entrepreneurship","University of California, Riverside",Begonia Real Estate Development LLC,"Boos Development Group, Inc.",,237210 Subdividing real estate,,23,,,Construction,33.685697,-117.825982,California,Orange,Irvine,06059
"Modesto, California, United States",President & Chief Executive Officer at Valley First Credit Union,President & Chief Executive Officer at BALANCE Financial Fitness,Chapman University,,"University of California, Riverside",Valley First Credit Union,BALANCE Financial Fitness,"522130 Unions, credit",,52,,Finance and Insurance,80163.492,,37.639097,-120.996878,California,Stanislaus,Modesto,06099
"Berlin, Berlin, Germany",Co-Founder & CEO at Ontat,Founder at GeistUp,University of Cologne,Corporate Finance,"University of California, Riverside",Ontat,GeistUp,,,,,,,,52.517036,13.38886,Berlin,,Berlin,nan
"Seattle, Washington, United States",Machine Learning Engineer II at Expedia Group,Visiting Reseach Assitant at Virginia Tech,"University of California, Riverside",Computer Science,"University of California, Riverside",Expedia Group,Virginia Tech,541810 Advertising agency consulting services,611310 Universities,54,61,"Professional, Scientific, and Technical Services",77645.346,Educational Services,47.603832,-122.330062,Washington,King,Seattle,53033
"Madrid, Community of Madrid, Spain",Founder at Viral Projects,Sales Excellence Intern at iwoca,"University of California, Riverside",Management,"University of California, Riverside",Viral Projects,iwoca,,522291 Student loan companies,,52,,,Finance and Insurance,40.416705,-3.703582,Comunidad de Madrid,Área metropolitana de Madrid y Corredor del,Madrid,nan
 Sacramento,"President/CEO at Public Sector Search & Consulting, Inc.",Senior Consultant at Ralph Andersen & Associates,"John F. Kennedy University, School of Law",Law,"University of California, Riverside","Public Sector Search & Consulting, Inc.",Ralph Andersen & Associates,,,,,,,,38.581061,-121.493895,California,Sacramento,Sacramento,06067
"Moreno Valley, California, United States",Chief Information Officer at Riverside University Health System,Chief Information Officer at San Joaquin General Hospital,Cal State Long Beach,Health Care Administration,"University of California, Riverside",Riverside University Health System,San Joaquin General Hospital,"621112 Psychotherapists' (MDs or DOs) offices (e.g., centers, clinics)",622110 Osteopathic hospitals,62,62,Health Care and Social Assistance,76373.049,Health Care and Social Assistance,33.937517,-117.230594,California,Riverside,Moreno Valley,06065
Argentina,"Procurement Cluster Head _ Rare diseases, Oncology and Inmunology (RDOI)  at Sanofi",Procurement Director  _ South Cone at Sanofi,University of Warwick - Warwick Business School,"Fontembleau, France","University of California, Riverside",Sanofi,Sanofi,551112 Public utility holding companies,551112 Public utility holding companies,55,55,Management of Companies and Enterprises,82055.219,Management of Companies and Enterprises,-34.996496,-64.967282,,,,nan
"Corona, California, United States","VP, Security Administrator II at Pacific Premier Bank",Information Security Analyst at University of Southern California,University of Phoenix,"Information Technology, Database Management","University of California, Riverside",Pacific Premier Bank,University of Southern California,522110 State commercial banks,611310 Universities,52,61,Finance and Insurance,80163.492,Educational Services,33.875294,-117.566445,California,Riverside,Corona,06065
"Pasadena, California, United States",Chief Operating Officer at Tierzero,Controller at Tierzero,"University of California, Riverside",Business/Managerial Economics,"University of California, Riverside",Tierzero,Tierzero,517311,517311,51,51,Information,73855.595,Information,34.147645,-118.144478,California,Los Angeles,Pasadena,06037
"Pasadena, California, United States",Chief Brand Officer at Auntie Anne's LLC,Vice President Marketing at IHOP,"University of California, Riverside",Business Administration & Art History,"University of California, Riverside",Auntie Anne's LLC,IHOP,,"624190 Welfare service centers, multi-program",,62,,,Health Care and Social Assistance,34.147645,-118.144478,California,Los Angeles,Pasadena,06037
"Burbank, California, United States","Director, Media and Digital Marketing at Warner Bros. Entertainment","Director, Media Traffic at Warner Bros. Entertainment","University of California, Riverside",Creative Writing,"University of California, Riverside",Warner Bros. Entertainment,Warner Bros. Entertainment,512110 Video production and distribution,512110 Video production and distribution,51,51,Information,73855.595,Information,34.181648,-118.325855,California,Los Angeles,Burbank,06037
"Kailua, Hawaii, United States",Chief Information Security Officer at State of Hawaii,Enterprise Architect at Hawaiian Telcom,1992–1996,,"University of California, Riverside",State of Hawaii,Hawaiian Telcom,"921110 President's office, United States",517312,92,51,,,Information,21.394833,-157.729891,Hawaii,Honolulu,Kailua,15003
United States,Vice President Marketing at SiO Beauty,Senior Director Of Marketing at skyn ICELAND,"University of California, Riverside",,"University of California, Riverside",SiO Beauty,skyn ICELAND,,424210 Vitamins merchant wholesalers,,42,,,Wholesale Trade,39.78373,-100.445882,,,,nan
"Orange County, California, United States","Director of Marketing, Retail and eCommerce  at IPS Corporation",Director of Marketing and Sales (Acquired by IPS Corp April 2019) at T. Christy Enterprises,California State University-San Bernardino,Marketing,"University of California, Riverside",IPS Corporation,T. Christy Enterprises,325520 Tile adhesives manufacturing,"423820 Tractors, farm and garden, merchant wholesalers",31-33,42,Manufacturing,69174.562,Wholesale Trade,33.750038,-117.870493,California,Orange,,06059
"Los Angeles, California, United States",Chief Executive Officer & Zoo Director at Los Angeles Zoo and Botanical Gardens,Interim Zoo Director at Los Angeles Zoo and Botanical Gardens,1984–1988,Business Administration,"University of California, Riverside",Los Angeles Zoo and Botanical Gardens,Los Angeles Zoo and Botanical Gardens,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,"Interim Associate Vice Chancellor and Chief Information Officer at University of California, Riverside","Associate Director/Senior Program Manager, Demand & Premium Services at University of California, Riverside","University of California, Riverside",Philosophy,"University of California, Riverside","University of California, Riverside","University of California, Riverside","923110 University regents or boards, government","923110 University regents or boards, government",92,92,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Tulsa, Oklahoma, United States",President & CEO at CommunityCare,"Interim President & CEO, SVP/CFO at CommunityCare","University of California, Riverside",Statistics,"University of California, Riverside",CommunityCare,CommunityCare,524114 Medical service plans without providing health care services,524114 Medical service plans without providing health care services,52,52,Finance and Insurance,80163.492,Finance and Insurance,36.15568,-95.992911,Oklahoma,Tulsa,Tulsa,40143
"New York, New York, United States",VP Ecommerce & Digital Marketing at Rebecca Minkoff,Director of Ecommerce & Digital Marketing  at Rebecca Minkoff,New York University,Integrated Marketing,"University of California, Riverside",Rebecca Minkoff,Rebecca Minkoff,448120 Maternity shops,448120 Maternity shops,44-45,44-45,Retail Trade,56013.266,Retail Trade,40.712728,-74.006015,New York,,New York,36061
"New York, New York, United States",Regional Vice President Of Operations at Stop & Shop,Director Of Operations Org Change Management  at 7-Eleven,Baylor University - Hankamer School of Business,"Business Administration and Management, General","University of California, Riverside",Stop & Shop,7-Eleven,445110 Supermarkets,533110 Trademark licensing,44-45,53,Retail Trade,56013.266,Real Estate and Rental and Leasing,40.712728,-74.006015,New York,,New York,36061
"Boston, Massachusetts, United States","Executive Director, Digital Transformation at Northeastern University","Assistant Vice President, Online Experiential Learning at Northeastern University","Birkbeck, U. of London",English,"University of California, Riverside",Northeastern University,Northeastern University,611310 Universities,611310 Universities,61,61,Educational Services,67390.465,Educational Services,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
"Cambridge, Massachusetts, United States","Clinical Data Scientist, HEOR, Clinical Computational Science at EQRx","Associate Research Scientist, Precision HEOR at Precision Medicine Group",Harvard University,Environmental Health (Concentration: Risk and Decision Sciences),"University of California, Riverside",EQRx,Precision Medicine Group,325412 Zinc oxide medicinal preparations manufacturing,561110 Office management services,31-33,56,Manufacturing,69174.562,Administrative and Support and Waste Management and Remediation Services,42.3751,-71.105616,Massachusetts,Middlesex,Cambridge,25017
"Brea, California, United States","Senior Manager, Cloud Automation at BlackLine","Manager, Cloud Automation at BlackLine",1999–2004,Computer Science,"University of California, Riverside",BlackLine,BlackLine,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information,33.917044,-117.888855,California,Orange,,06059
"Bellevue, Washington, United States",President at Sales Talent Inc.,Branch Manager at Culver Careers,"University of California, Riverside",Business Administration,"University of California, Riverside",Sales Talent Inc.,Culver Careers,,,,,,,,47.614422,-122.192337,Washington,King,Bellevue,53033
"Irvine, California, United States","Director of Ad Operations at Phunware, Inc.",Director of Ad Operations at TapIt!,"University of California, Riverside",Financial Economics,"University of California, Riverside","Phunware, Inc.",TapIt!,"511210 Utility software, computer, packaged",541850 Transit advertising services,51,54,Information,73855.595,"Professional, Scientific, and Technical Services",33.685697,-117.825982,California,Orange,Irvine,06059
United States,Co-Founder at LIGHTS FOR EDUCATION INC,Homework Helper at Genius Kids,"University of California, Riverside",Neuroscience,"University of California, Riverside",LIGHTS FOR EDUCATION INC,Genius Kids,,,,,,,,39.78373,-100.445882,,,,nan
San Francisco Bay ,"Lead Product Manager, Member Growth & Experience at HealthTap","Senior Product Manager, Member Growth at HealthTap","University of California, Riverside",Bioengineering and Biomedical Engineering,"University of California, Riverside",HealthTap,HealthTap,,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
"Walnut Creek, California, United States","President at Pivotal Resources, Inc.",Vice President at Alamo Learning Systems,National University,"English, History","University of California, Riverside","Pivotal Resources, Inc.",Alamo Learning Systems,541612 Personnel management consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,37.902073,-122.06187,California,Contra Costa,,06013
"Torrance, California, United States",Vice President of Information Technology at Tennis Channel,Executive Director of Technology at Tennis Channel,UC Riverside,,"University of California, Riverside",Tennis Channel,Tennis Channel,711310 Wrestling event promoters with facilities,711310 Wrestling event promoters with facilities,71,71,"Arts, Entertainment, and Recreation",51732.192,"Arts, Entertainment, and Recreation",33.835849,-118.340629,California,Los Angeles,Torrance,06037
San Francisco Bay ,Managing Director at Intecur,"Special Advisor - Information Technology & Cybersecurity at Ministry of Economy, Trade and Industry",Harvard Kennedy School of Government,Jackson Institute for Global Affairs,"University of California, Riverside",Intecur,"Ministry of Economy, Trade and Industry",,"921110 President's office, United States",,92,,,,37.714029,-122.307794,California,San Mateo,,06081
Los Angeles  ,"Chief Financial Officer at Zambezi, LLC",Head of Finance and Accounting at Tool of North America,University of Southern California,Corporate Finance and Advertising & Promotion,"University of California, Riverside","Zambezi, LLC",Tool of North America,561990 Trading stamp redemption services,512110 Video production and distribution,56,51,Administrative and Support and Waste Management and Remediation Services,64366.438,Information,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"San Diego, California, United States","Director, Advanced Research & Data Science at BioTelemetry, Inc.","Senior Biomedical Engineer at BioTelemetry, Inc.","University of California, Riverside",Bioengineering and Biomedical Engineering,"University of California, Riverside","BioTelemetry, Inc.","BioTelemetry, Inc.","621498 Sleep disorder centers and clinics, outpatient","621498 Sleep disorder centers and clinics, outpatient",62,62,Health Care and Social Assistance,76373.049,Health Care and Social Assistance,32.71742,-117.162773,California,San Diego,San Diego,06073
San Francisco Bay ,Advisory Board Member at Goldcast,"Global Head of Commercial Marketing, Adobe Digital Experience Business at Adobe",Boston University Questrom School of Business,Marketing & Strategy,"University of California, Riverside",Goldcast,Adobe,,"511210 Utility software, computer, packaged",,51,,,Information,37.714029,-122.307794,California,San Mateo,,06081
"Clifton, New Jersey, United States",Co-Founder at Everest Financial Strategies,Commercial Real Estate Analyst at Integra Realty Resources,"University of California, Riverside",Business Administration,"University of California, Riverside",Everest Financial Strategies,Integra Realty Resources,,"531210 Selling real estate for others (i.e., agents, brokers)",,53,,,Real Estate and Rental and Leasing,40.858433,-74.163755,New Jersey,Passaic,,34031
,Acting Vice President of Strategic Engagement & Director of Communications & External Relations  at Colorado State University Global,Dean of Students at University of Colorado Boulder,"University of California, Los Angeles",Political Science,"University of California, Riverside",Colorado State University Global,University of Colorado Boulder,611310 Universities,519120 Reference libraries,61,51,Educational Services,67390.465,Information,,,,,,nan
,Retail Marketing Manager at Tonal,Events & Partnerships at Tonal,"University of California, Riverside","Psychology, Minor in Education","University of California, Riverside",Tonal,Tonal,"611620 Tennis instruction, camps, or schools","611620 Tennis instruction, camps, or schools",61,61,Educational Services,67390.465,Educational Services,,,,,,nan
Los Angeles  ,Senior Vice President Human Resources at ChromaDex,"HR (People Planning, Culture Evolution, Organizational Development) Consultant at Multiple Companies",Fielding Graduate University,"Executive, Team and Organizational Coaching","University of California, Riverside",ChromaDex,Multiple Companies,"325411 Vitamins, uncompounded, manufacturing",,31-33,,Manufacturing,69174.562,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
 Hamburg ,IT-Projektleiter at Libri GmbH,,NORDAKADEMIE Graduate School,,"University of California, Riverside",Libri GmbH,,424920 Periodicals merchant wholesalers,,42,,Wholesale Trade,68623.359,,53.550341,10.000654,Hamburg,,Hamburg,nan
United States,"Director, Technology and Financial Services at C Space",Consumer Insights Consultant at Independent Consultant,"University of California, Riverside",Chemistry,"University of California, Riverside",C Space,Independent Consultant,452319,541618 Utilities management consulting services,44-45,54,Retail Trade,56013.266,"Professional, Scientific, and Technical Services",39.78373,-100.445882,,,,nan
San Francisco Bay ,Operations Lead at REI,Sourcer/Recruiter at SafeGraph,2005–2009,Business Administration,"University of California, Riverside",REI,SafeGraph,531190 Vacation and recreation land rental or leasing,,53,,Real Estate and Rental and Leasing,60268.137,,37.714029,-122.307794,California,San Mateo,,06081
"Bengaluru, Karnataka, India",Group Managing Director at VST GROUP INDIA,Managing Director at VST Motors Group of Companies,Harvard Business School,YPO/ HBS Presidents Program,"University of California, Riverside",VST GROUP INDIA,VST Motors Group of Companies,,,,,,,,12.976794,77.590082,Karnataka,Bangalore,Bengaluru,nan
Egypt,Chief Marketing  & Strategy  Officer at BTECH Group,Chief Marketing Officer – CPG  Middle East at Americana Group,Walden University,,"University of California, Riverside",BTECH Group,Americana Group,,"722511 Steak houses, full service",,72,,,Accommodation and Food Services,26.254049,29.267547,,,,nan
San Diego  ,Head of Ultrasound Engineering at Philips,"Vice President, Smart Device Engineering at iCarbonX",1985–1987,"Computer Arch, DSP, Artifical Intelligence","University of California, Riverside",Philips,iCarbonX,,,,,,,,32.71742,-117.162773,California,San Diego,San Diego,06073
"El Monte, California, United States",Social Media and Marketing Coordinator at LEE Filters,"Social Media & Marketing Assistant at College of Humanities, Arts, and Social Sciences l UC Riverside","University of California, Riverside","Business, Management, Marketing, and Related Support Services","University of California, Riverside",LEE Filters,"College of Humanities, Arts, and Social Sciences l UC Riverside",561499 Videoconferencing services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,34.075157,-118.036849,California,Los Angeles,El Monte,06037
"Hacienda Heights, California, United States",Supply Chain Manager at Riverina Oils,Logistics Manager at HUF,2006–2008,Global Logistics,"University of California, Riverside",Riverina Oils,HUF,551112 Public utility holding companies,,55,,Management of Companies and Enterprises,82055.219,,33.993068,-117.968675,California,Los Angeles,El Monte,06037
"Los Angeles, California, United States","Senior Director, Office of Extraordinary Innovation at Los Angeles County Metropolitan Transportation Authority","Interim Deputy Executive Officer, Office of Extraordinary Innovation at Los Angeles County Metropolitan Transportation Authority","University of California, Los Angeles",Urban Planning,"University of California, Riverside",Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,"485111 Urban transit systems, mixed mode (e.g., bus, commuter rail, subway combinations)","485111 Urban transit systems, mixed mode (e.g., bus, commuter rail, subway combinations)",48-49,48-49,Transportation and Warehousing,65503.789,Transportation and Warehousing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Alameda, California, United States",Chief Financial Officer at Alameda County Community Food Bank,Director of Finance And Administration at Alameda County Community Food Bank,Yale University - Yale School of Management,MBA (formerly called Masters in Public and Private Management),"University of California, Riverside",Alameda County Community Food Bank,Alameda County Community Food Bank,"624190 Welfare service centers, multi-program","624190 Welfare service centers, multi-program",62,62,Health Care and Social Assistance,76373.049,Health Care and Social Assistance,37.609029,-121.899142,California,Alameda,,06001
Los Angeles  ,"Owner at Michelle C. Herting, CPA, ABV, AEP",Corporate Tax and Trust Accountant at Please go to my website for a complete bio,1984–1988,Business Economics,"University of California, Riverside","Michelle C. Herting, CPA, ABV, AEP",Please go to my website for a complete bio,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Fort Collins, Colorado, United States",Manager Digital Operations at Nutrien Ag Solutions,Digital PMO and Vendor Manager  at Nutrien Ag Solutions,"University of California, Riverside",Political Science and Psychology,"University of California, Riverside",Nutrien Ag Solutions,Nutrien Ag Solutions,424910 Vegetable dusts and sprays merchant wholesalers,424910 Vegetable dusts and sprays merchant wholesalers,42,42,Wholesale Trade,68623.359,Wholesale Trade,40.550853,-105.066808,Colorado,Larimer,Fort Collins,08069
Los Angeles  ,"Manager, Programmatic Services at Xaxis",Senior Programmatic Buyer at Horizon Media,"University of California, Riverside",Business Economics,"University of California, Riverside",Xaxis,Horizon Media,541810 Advertising agency consulting services,541810 Advertising agency consulting services,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,,"Channel Marketing Manager at Ooma, Inc.",Dongguk University,Business Marketing,"University of California, Riverside",,"Ooma, Inc.",,517311,,51,,,Information,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Cologne Bonn ,Innovation Manager at REWE digital,Head of Business Development at ZooRoyal GmbH,Universität zu Köln / University of Cologne,Information Systems,"University of California, Riverside",REWE digital,ZooRoyal GmbH,561990 Trading stamp redemption services,454110,56,44-45,Administrative and Support and Waste Management and Remediation Services,64366.438,Retail Trade,50.867801,7.138887,Nordrhein-Westfalen,,Köln,nan
"Los Angeles, California, United States","Director, Marketing and Communications at Warner Bros. Entertainment",Managing Director - Sales and Market Development  - The Americas at Air New Zealand,"University of California, Riverside",Business Administration,"University of California, Riverside",Warner Bros. Entertainment,Air New Zealand,512110 Video production and distribution,488119 Vacuuming of airport runways,51,48-49,Information,73855.595,Transportation and Warehousing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Orange County, California, United States",Digital Inbound Marketing Strategist / Owner at Core Content LLC,Senior Digital Marketing Manager at Medela,"University of California, Riverside",Psychology,"University of California, Riverside",Core Content LLC,Medela,,551112 Public utility holding companies,,55,,,Management of Companies and Enterprises,33.750038,-117.870493,California,Orange,,06059
"Santa Clara, California, United States",Director of Sales at Novogene America,Regional Sales Manager at Novogene Corporation,UC Riverside,Cell and Molecular Biology,"University of California, Riverside",Novogene America,Novogene Corporation,,541380 X-ray inspection services,,54,,,"Professional, Scientific, and Technical Services",37.233325,-121.684635,California,Santa Clara,,06085
"London, England, United Kingdom","Director of Development and Community Engagement, UC San Diego - Europe at University of California Trust (UK)",Marketing and Community Engagement Manager at University of California Trust (UK),King's College London,Film/Cinema/Video Studies,"University of California, Riverside",University of California Trust (UK),University of California Trust (UK),,,,,,,,51.507322,-0.127647,England,,London,nan
"Carlsbad, California, United States",Chairman and CEO at ClearPrice Networks,"President, Ancillary Services Division at PMSI","University of California, Riverside",Political Science and Administrative Studies,"University of California, Riverside",ClearPrice Networks,PMSI,,524126 Workers' compensation insurance underwriting,,52,,,Finance and Insurance,33.158093,-117.350597,California,San Diego,Carlsbad,06073
"Orange County, California, United States",Chief Executive Officer at Positive Beverage,"Senior Financial Analyst, Investor Relations at Edwards Lifesciences",University of Southern California,Marketing & Finance,"University of California, Riverside",Positive Beverage,Edwards Lifesciences,,"339113 Whirlpool baths (i.e., hydrotherapy equipment) manufacturing",,31-33,,,Manufacturing,33.750038,-117.870493,California,Orange,,06059
"Irvine, California, United States",Strategic Cloud Engineer at Google,"Staff Software Engineer at WD, a Western Digital company","University of California, Irvine",Computer Science,"University of California, Riverside",Google,"WD, a Western Digital company","541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,33.685697,-117.825982,California,Orange,Irvine,06059
"Irvine, California, United States","Manager, Customer Experience at Wisetack",Customer Experience Team Lead at Brex,"University of California, Riverside",,"University of California, Riverside",Wisetack,Brex,,"541511 Web (i.e., Internet) page design services, custom",,54,,,"Professional, Scientific, and Technical Services",33.685697,-117.825982,California,Orange,Irvine,06059
