,current_location,current_work,previous_work,latest_Education,major,search_school
733,"San Clemente, California, United States",Chief Executive Officer at Surfrider Foundation,Member Board of Directors at Save The Waves Coalition - www.savethewaves.org,"University of California, Los Angeles",Environmental Science and Engineering,Brown University
734,"Boston, Massachusetts, United States",Co-Founder & CEO at Curatace,Founder at Return Path Global,Northwestern University - Kellogg School of Management,"Entrepreneurship, Marketing, Strategy",Brown University
735,"New York, New York, United States",Founder & CEO at July,Lead Product Manager at BCG Digital Ventures,Brown University,International Relations,Brown University
736,"Evanston, Illinois, United States",CEO and Co-Founder at Everspring Inc,President and CEO at Kaplan Higher Education Corporation,1990–1992,"Strategy, Marketing",Brown University
737,Dallas-Fort Worth Metroplex,CEO and Co-Founder at ASD.ai,Director Client Experience  at Napatree Capital,Brown University,BA History,Brown University
738,"Miami, Florida, United States",Co-Founder at Daycation,Guest Relations at Hotel Jackson,Brown University,Economics,Brown University
739,United Kingdom,"Senior Vice President, Global Marketing-Luxury and Upscale Brands at InterContinental Hotels Group (IHG®)","Senior Vice President, Global Marketing, Luxury Brands at InterContinental Hotels Group (IHG®)",Brown University,Economics,Brown University
740,"New York, New York, United States",Chairman and CEO at eSkill Corporation,Product Development Consultant at MIDIOR Consulting,Massachusetts Institute of Technology - Sloan School of Management,New Product and Venture Development,Brown University
741,"San Francisco, California, United States",CTO at Zumper,Director of Engineering at Zumper,1997–2001,Computer Science - Mathematics,Brown University
742,"Austin, Texas, United States",Director - Infrastructure Engineering at BigCommerce,Senior Manager - Infrastructure Engineering at BigCommerce,Brown University,Computer Science,Brown University
743,"Cambridge, Massachusetts, United States",VP of Engineering at Repl.it,Head of Engineering at Canopy,2000–2004,Computer Science,Brown University
744,"Burlingame, California, United States",Co-founder and CEO at Lyra Health,Chief Financial Officer at Facebook,1987–1991,International Relations and Economics,Brown University
745,Los Angeles Metropolitan Area,"Cofounder, CTO, & CEO at CannaCtrl",Adjunct Instructor at Brown University,Harvard Business School Online,Entrepreneurship,Brown University
746,"St Louis, Missouri, United States","Chief Executive Officer at NewLeaf Symbiotics, Inc.","Sr. VP and CFO at NewLeaf Symbiotics, Inc.",Harvard Business School,,Brown University
747,"New York, New York, United States",Director of Expansion Operations at Deel,Director of Expansion at Via,Harvard Business School,,Brown University
748,"Santa Monica, California, United States",Co-Founder & Partner at Monogram Capital Partners,Vice President at Leonard Green & Partners,2008–2010,Political Science,Brown University
749,"Palo Alto, California, United States",President & CEO at Waverley Software Inc.,"Director, Device Engineering at fusionOne, Inc.",Brown University,Computer Science,Brown University
750,"Stanford, California, United States","CEO and Founder (StartX, Imagine K12, First Floor Labs) at Informed K12",Learning and Technology Fellow at Cupertino Union School District,Stanford University,Educational/Instructional Technology,Brown University
751,"San Francisco, California, United States",Chief Operating Officer at Jordan Park Group,Chief Financial Officer at Jordan Park Group,Brown University,Chemistry,Brown University
752,"Newburyport, Massachusetts, United States",Chief Science and Innovation Officer at Ascensus Specialties,Chief Executive Officer at Strem Chemicals,1990–1992,Business Administration,Brown University
753,South Korea,"Chief Strategy Officer (CSO), Senior Vice President  at PI Advanced Materials",Vice President Strategy at PI Advanced Materials,Brown University,Economics / International Relations,Brown University
754,South Korea,"Chief Strategy Officer (CSO), Senior Vice President  at PI Advanced Materials",Vice President Strategy at PI Advanced Materials,Brown University,,Brown University
755,485 connections,Machine Learning Engineer at Zest AI,Graduate Teaching Assistant at Brown University,Brown University,Data Science,Brown University
756,"San Diego County, California, United States","Life Sciences, Worldwide Technology Leader at Amazon Web Services (AWS)",Director of Digital Product Management at Thermo Fisher Scientific,Brown University,Applied Mathematics,Brown University
757,"New York, New York, United States",Chief Information Officer at Sixth Street,Retired at Retired,1993–1997,Applied Math / Economics,Brown University
758,"Woodinville, Washington, United States","Director, Connected Banking at Bank of America",Global Head of API Strategy and Enablement at Bank of America Merrill Lynch,Brown University,,Brown University
759,"Tokyo, Tokyo, Japan",Sr. Manager - Digital Business Ops at Cognizant,IT Service Delivery Manager at BNP Paribas Cardif,1996–2000,Psychology,Brown University
760,"New York, New York, United States",Founder & President at Candoo Tech,President & Founder at Upstart Ventures LLC,Northwestern University - Kellogg School of Management,Social Entrepreneurship,Brown University
761,New York City Metropolitan Area,"Vice President, Operations at Vizgen",Director Of Operations at Coherent Inc.,1991,Business,Brown University
762,"San Francisco, California, United States","Founder, President & COO at Metabase Q",Founder at Neopolis,Brown University,Economics,Brown University
763,"Brooklyn, New York, United States","Founder, CEO at SENSE of SHELF",Business Operations at Saks Fifth Avenue,SDA Bocconi,Economics,Brown University
764,"Providence, Rhode Island, United States",Chief Operating Officer at M Financial Group,Strategy Consultant at M Financial,+ 1 more,International Relations,Brown University
765,New York City Metropolitan Area,Principal at Wickenden Partners,"Acquisitions at PCCP, LLC (Pacific Coast Capital Partners)",Brown University,Economics,Brown University
766,San Francisco Bay Area,Director of Strategic Business Development at Bolt,"Senior Manager, Partnerships & Business Development at Wish",University of Michigan,Industrial and Operations Engineering,Brown University
767,"New York, New York, United States","Partner, IT, IP, Data and Healthcare Technology at Moses & Singer LLP","Practice Co-Chair, Health Care Technology & Innovation;  Tech Transactions & Data Privacy Group  at Polsinelli",Brown University,History of Science and Technology,Brown University
768,"Philadelphia, Pennsylvania, United States","Chairman, President & CEO at GlobalFit",President & CEO at GlobalFit,University of Pennsylvania,Economics,Brown University
769,"London Area, United Kingdom",Group Chief Information Officer at Phoenix Group,Partner at Deloitte,Brown University,Computer Science,Brown University
770,"San Francisco, California, United States","Associate Director - Innovation & Sustainability, Glad at The Clorox Company",National Account Manager - Amazon Fresh at The Clorox Company,Harvard Business School,Environmental Policy and Economics,Brown University
771,Greater Boston,"VP, Business Development, Innovation, and Data Programs at McKesson","VP, Data, Vendor Management, and Advisory Services at McKesson",The Wharton School,Management,Brown University
772,"New York, New York, United States",Managing Director at Cornell Capital LLC,Principal at Oak Hill Capital,Columbia University - Columbia Business School,Value Investing,Brown University
773,"Philadelphia, Pennsylvania, United States",Sales Business Development Consultant at Terroir Wine Services,Sommelier Wine Writer at Paris Wine Cup,Université du Vin,Wine Steward/Sommelier,Brown University
774,"New Albany, Ohio, United States","President, Lane Bryant + Cacique Intimates at Lane Bryant","Chief Merchandising Officer, Lane Bryant + Cacique at Lane Bryant",1983–1987,,Brown University
775,"East Aurora, New York, United States","President at Astronics, Luminescent Systems Inc.",,Brown University,Engineering and Economics,Brown University
776,San Francisco Bay Area,"Director, Operations at Stitch Fix","Manager, Operations (Vendor Compliance and Warehouse Quality) at Stitch Fix","University of California, Berkeley - School of Law","English, Political Science",Brown University
777,"New York, New York, United States","Vice President, Brand Marketing at Viant Technology","Director, Marketing at G/O Media",+ 1 more,Media,Brown University
778,"Arlington, Virginia, United States",Advisory Board Member at Georgia Institute of Technology,Program Manager at Johns Hopkins University Applied Physics Laboratory,Georgia Institute of Technology,Electrical and Computer Engineering,Brown University
779,Singapore,Chief Product Officer at DKATALIS (Digital Katalis),"Head of Platforms, Ecosystems and Partnerships at OneConnect Financial Technology",University of Cambridge,Chemical Engineering,Brown University
780,"San Francisco, California, United States",Chief Marketing Officer at July,Head of Brand at July,Harvard Business School,English Literature,Brown University
781,"Boston, Massachusetts, United States",Chief Medical Officer at OncoHealth,Chief Medical Officer at Cota Healthcare,Yale University School of Medicine,,Brown University
782,"Los Angeles, California, United States",Managing Director at FocalPoint Partners,Strategy Business Development at SoCal Reproductive Center,Brown University,Healthcare Policy & Management,Brown University
783,San Francisco Bay Area,Senior Director of AI Software at NVIDIA,Working group chair at MLPerf,1996–2000,Math and Computer Science,Brown University
784,"New York, New York, United States",,Head of CX at Headway,Brown University,Economics; History of Art and Architecture,Brown University
785,"Providence, Rhode Island, United States","CEO, Founder at Luna Pharmaceuticals, Inc.",,Brown University,"Commerce, Organizations and Entrepreneurship",Brown University
786,"Honolulu County, Hawaii, United States","Senior Vice President, Marketing at Hawaiian Airlines","Vice President, Revenue Management and Network Planning at Hawaiian Airlines",University of Pennsylvania - The Wharton School,Old World Archaeology and Art,Brown University
787,"New York, New York, United States","Founder, CEO at Building Something New 💫",Head of Strategic Partnerships at hims & hers,Harvard Business School,English Literature,Brown University
788,Miami-Fort Lauderdale Area,Senior Vice President at Zanbato Securities LLC,"Senior Advisor to General Counsels and Boards of Directors at Millstein Center for Global Markets and Corporate Ownership, Columbia Law School",Yale School of Management,Finance and Strategy,Brown University
789,"Wilmington, North Carolina, United States","President at Visionworks NC Doctors of Optometry, PLLC",Regional Director Southeast Professional Services at National Vision Inc.,Brown University,,Brown University
790,"San Francisco, California, United States","Innovation Lead, ADAPT at Bain & Company",Strategy Director at Evoke,Brown University,,Brown University
791,"Boston, Massachusetts, United States",SVP Partnership Development at Noodle,Advisor at Riff Analytics,NYU Stern School of Business,"Entrepreneurship & Innovation, Leadership",Brown University
792,500+ connections,Climate Strategy Manager at Watershed,Solution Associate (Sustainability Insights) at McKinsey & Company,Brown University,Applied Mathematics,Brown University
793,"Fort Lauderdale, Florida, United States",Chief Medical Officer at ChenMed,"SVP of Medical Affairs, South FL President at ChenMed",University of Miami Leonard M. Miller School of Medicine,Economics,Brown University
794,"Los Angeles, California, United States","VP, Business Operations at Wish","VP, Strategy & Analytics / Acting Chief Strategy Officer at Frontier Communications",Brown University,History,Brown University
795,"New York, New York, United States","Managing Editor of News & Snacks @ Robinhood, Co-Founder of MarketSnacks (Acquired by Robinhood) at Robinhood",Co-Founder & Co-CEO at MarketSnacks,The Wharton School,American History,Brown University
796,Dallas-Fort Worth Metroplex,Managing Director at TAG Financial Institutions Group,Managing Partner at FPG Advisory,DePaul University - Charles H. Kellstadt Graduate School of Business,Finance w/ Distinction,Brown University
797,"Boulder, Colorado, United States",GM/Head of Strategic Initiatives at Capital One,"VP, Head Of Business Operations at Two Sigma IQ",University of Pennsylvania - The Wharton School,"Finance, Multinational Strategic Management",Brown University
798,"Los Angeles, California, United States",Co-Founder at Tango,Finance PMO at Livongo,Harvard Business School,Business Economics,Brown University
799,"New York, New York, United States",Head of Growth at Bloom,"Digital Marketing - Affiliate, Social, Influencer, Partnerships at Zocdoc",Brown University,"Commerce, Organization, and Entrepreneurship",Brown University
800,"Berlin, Berlin, Germany",Founder at Violet,Chief of Staff to the President at Axel Springer SE,Harvard University,General Management,Brown University
801,"Framingham, Massachusetts, United States",Principal at Lavin Consulting LLC,"Executive VP, Medical Devices and Strategic Consulting at Aptiv Solutions Inc",1968–1972,Applied Mathematics,Brown University
802,"Boulder, Colorado, United States","Co-Founder, Chief Innovation Officer at Cloud Agronomics","Co-Founder, Chief Technology Officer at Cloud Agronomics",Brown University,"B.A. Computer Science (AI/ML Concentration), Philosophy",Brown University
803,"Paris, Île-de-France, France",Launcher & Co-founder at Qomon,Board Member at PURE Group,Institut d'Etudes politiques de Paris,Mandarin Chinese,Brown University
804,New York City Metropolitan Area,Advisory Board Member at Women's Venture Fund,"VP, Analytics and Innovation at Gerber Life Insurance Company",Brown University,Economics,Brown University
805,"Boston, Massachusetts, United States","Vice President, Fidelity Center for Applied Technology at Fidelity Investments","Architect, Electronic Trading, Fidelity Capital Markets at Fidelity Investments",Brown University,Science Technology Leadership,Brown University
806,"New York, New York, United States",Founder & CEO at Ondo Finance,"Digital Assets, Associate - Global Markets & GS Accelerate at Goldman Sachs",Brown University,"Economics, Biology",Brown University
807,New York City Metropolitan Area,"System Vice President, Strategic Partnerships and Business Development at CommonSpirit Health","System Senior Director, Strategic Partnerships at CommonSpirit Health",Brown University,Neuroscience,Brown University
808,San Francisco Bay Area,Cofounder & CTO at Owner.com,Cofounder & CTO at Marble Technologies,Y Combinator,Computer Science,Brown University
809,Miami-Fort Lauderdale Area,Vice President at Hidden Harbor Capital Partners,"Director, Strategy and Business Development at Southern Glazer's Wine & Spirits",University of Pennsylvania - The Wharton School,Applied Mathematics and Economics,Brown University
810,New York City Metropolitan Area,Performance Wellness Consultant at Dr. Wilder,Health And Wellness Coach at Flow Global Initiative,University of Virginia,Kinesiology and Exercise Science,Brown University
811,Atlanta Metropolitan Area,Sr Vice President Product Strategy & Innovation at Randstad USA,"Vice President, Recruitment Technology Products at CareerBuilder",Brown University,MBA,Brown University
812,Hong Kong SAR,Founder & CEO at Jobkast,"Vice President, Global Philanthropy at JPMorgan Chase & Co.",2002–2004,International Development,Brown University
813,"San Francisco, California, United States","VP, GTM Strategy & Operations at Carta","Senior Director, GTM Strategy & Operations at Zendesk",The Wharton School,Management and Finance,Brown University
814,"Mumbai, Maharashtra, India",Ventures Lead - India  at Verlinvest,CEO and 6th Generation Vaidya at Dr. Vaidya's: New Age Ayurveda,Brown University,International Relations and Affairs & Economics,Brown University
815,New York City Metropolitan Area,Partner at PayGility Advisors (WBE Certified),"VP, Head of Payments Solutions and Strategies for the Americas at Flight Centre Travel Group, The Americas",Brown University,International Relations,Brown University
816,"Farmington, Connecticut, United States","Chair, Board of Trustees at International Institute of Rural Reconstruction","Executive Vice President, General Counsel and Corporate Secretary at Freddie Mac",1987–1990,Law,Brown University
817,"Atlanta, Georgia, United States","Sr. Director, Employee Experience & DEI at Recharge Payments","Senior Manager, People Growth Operations at DoorDash",Tougaloo College,English,Brown University
818,San Francisco Bay Area,"Senior Director, Product at Upwork",Associate at Redstone Strategy Group,Stanford Graduate School of Business,Public Administration,Brown University
819,"Los Angeles, California, United States","Director, Analytics at BetterUp","Director, Data Analytics and Engineering at Thrive Market",1995–1999,Applied Mathematics-Economics,Brown University
820,"Minneapolis, Minnesota, United States","Senior Vice President, Chief Strategy Officer at Minnesota Twins",Senior Business Development Manager at Amazon,Harvard Business School,International Relations,Brown University
821,"Denver, Colorado, United States",Founder at ForceMetrics,Chief Security Officer at Namely,Brown University,,Brown University
822,"New York, New York, United States","Head of FinTech and TechFin Partnerships at Productfy, Inc.",Chief Marketing and Growth Officer at myCareGPS,+ 2 more,Economics,Brown University
823,"Woburn, Massachusetts, United States",Senior Director of Nonclinical Research and Development at Abpro,Director of Nonclincal Research and Development at Abpro,Brown University,Pathobiology,Brown University
824,"Washington, District of Columbia, United States","Principal and Founder at The LXR Group, L.L.C.",Director of Policy & Government Affairs at North American Securities Administrators Association (NASAA),Brown University,"Taubman Center for Public Policy, Concentration in Public Economics",Brown University
825,"New York, New York, United States","Co-Founder, CEO at Beam Impact",Business Analyst at McKinsey & Company,Brown University,Political Science,Brown University
826,San Francisco Bay Area,Managing Director & Artificial Intelligence Portfolio Manager at Lazard Asset Management,Head of Long/Short Equity Risk at Balyasny Asset Management L.P.,Brown University,Biochemistry,Brown University
827,"New York, New York, United States","Managing Director, Chief Marketing and Brand Officer US at RBC Capital Markets","Director, Head of Global Marketing, Enterprise Services at LinkedIn",Brown University,"Marketing, Digital Commerce",Brown University
828,"San Francisco, California, United States",Director of Analytics & Data Science at Mux,"Business Intelligence & Analytics Lead, YouTube Global Operations at YouTube",Brown University,Economics,Brown University
829,"San Diego County, California, United States","Associate Vice President, Career Relations & Strategic Partnerships at San Diego State University","Dean, SDSU Global Campus at San Diego State University",University of Houston,International Economics,Brown University
830,"San Francisco, California, United States",Founder at Graphistry,Graduate Student at UC Berkeley,UC Berkeley,Computer Science,Brown University
831,"San Francisco, California, United States",Chief Commercial Officer at Kenning Associates,Chief Product Officer at ClashTV,+ 2 more,,Brown University
832,"Boston, Massachusetts, United States","Career and Life Coach at Meadows Consulting, LLC","Health Insurance Advisor at Meadows Consulting, LLC",Brown University,,Brown University
833,"Seattle, Washington, United States",,Chief Executive Officer at HEROCLIP (Acquired),+ 1 more,Sociology,Brown University
834,"Scottsdale, Arizona, United States","Vice President of Product Management, Platform and Analytics at Verra Mobility","Vice President, Analytics at Verra Mobility",Brown University,Physics,Brown University
835,"New York, New York, United States",Deputy Chief Security Officer at National Basketball Association (NBA),Director of Security Operations at PayPal,Naval Postgraduate School,Homeland Security and Counterterrorism,Brown University
836,"Boston, Massachusetts, United States","Director of ESG, Private Investments at Wellington Management",ESG Research Analyst at Wellington Management,Brown University,International Relations and Hispanic Studies,Brown University
837,Greater Chicago Area,Brand Manager at Hometown Food Company,"Associate Brand Manager, Frozen Family Meals Management at Conagra Brands",Brown University,Organizational Studies and Archaeology and the Ancient World,Brown University
838,Los Angeles Metropolitan Area,"Senior Director, Cybersecurity Program Management Office and Knowledge Management Office at WarnerMedia","Senior Director, Cybersecurity Program Management Office at WarnerMedia",Harvard University,,Brown University
839,Greater Chicago Area,Freelance Consultant at Freelance,VP of Content at Tegus,Columbia University - Columbia Business School,Economics; East Asian Studies,Brown University
840,Greater Chicago Area,Freelance Consultant at Freelance,VP of Content at Tegus,Columbia University - Columbia Business School,,Brown University
841,"New York, New York, United States",Contributor at Forbes,Head of Growth Marketing at Obviously AI,Y Combinator Startup School,"Crowdfunding, Viral Marketing and How to Craft Contagious Content",Brown University
842,"New York, New York, United States",Founder | General Partner at Blueprint Health,Interim VP | Strategy & Business Development at Touch Surgery,1999–2003,,Brown University
843,"Copenhagen, Capital Region, Denmark",Snr Director Digital Business Transformation at Carlsberg Group,"COO/VP of Product, co-Founder at MyShowcase Ltd",INSEAD,"Business, Marketing",Brown University
844,"Burbank, California, United States","Vice President, Growth at codeSpark",VP of Growth & Marketing at Papaya,Brown University,American Civilization,Brown University
845,"San Rafael, California, United States","SVP, Growth at HomeLight","Vice President, Growth at HomeLight",Babson College - Franklin W. Olin Graduate School of Business,"Double concentration:  Sociology and Business, Entrepreneurship, andOrganizations",Brown University
846,Nashville Metropolitan Area,"Executive Vice President, Chief Merchandising Officer at Tractor Supply Company","Senior Vice President, GMM at Tractor Supply Company & Petsense",2005–2007,Finance,Brown University
847,"Oakland, California, United States",Director Of Engineering at LaunchDarkly,Engineering Manager at DoorDash,Brown University,,Brown University
848,Greater Sydney Area,Director | CEO | Co-Founder at Tanica,Chief Marketing Officer at Greencross Limited,Northwestern University - Kellogg School of Management,Marketing,Brown University
849,"Federal Territory of Kuala Lumpur, Malaysia",Chief Executive Officer Malaysia at 360 Trading Networks,Chief Investment Officer at UOB Islamic Asset Management,University of Cambridge,Business Administration,Brown University
850,"McLean, Virginia, United States",Chief Operating Officer at Somatus,"Managing Director - US & Latin America, ABB Installation Products Division at ABB",Harvard Business School,"Business Administration and Management, General",Brown University
851,United States,"VP of Emerging Technology at Wasabi Technologies, Inc.",Chief Technology Officer at Arete Advisors,1982–1983,"Computer, Information and Control Engineering",Brown University
852,Miami-Fort Lauderdale Area,CEO at The Genuine Hospitality Group,Advisory Board Member at REVOLVE TECHNOLOGY COMPANY,1984–1988,Human Biology,Brown University
853,"Brooklyn, New York, United States","Head of Strategic Operations, Uber Health  at Uber","Sr. Program Manager, Uber Health  - Strategic Initiatives at Uber",Brown University,Cognitive Science,Brown University
854,"Ottawa, Ontario, Canada",Chief Executive Officer at PeraHealth: The Rothman Index,Chief Analytics Officer / SVP Innovation at PeraHealth: The Rothman Index,University of Cambridge,,Brown University
855,"Aurora, Illinois, United States",President and CEO at Ruffalo Noel Levitz,Board Member at Compact Solutions,2006–2007,Leadership Development,Brown University
856,"San Francisco, California, United States",Co-Founder and Co-Executive Director at Resetting The Table,,Brown University,"Mathematics, Modern Culture and Media",Brown University
857,"San Francisco, California, United States",Director of Engineering at Front,Senior Software Engineer at TellApart (acquired by Twitter),Brown University,,Brown University
858,"Somerville, Massachusetts, United States",Principal Application Architect at WebPT,VP Software Engineering at PolyRemedy,Harvard University,,Brown University
859,"Trabuco Canyon, California, United States",Chief Executive Officer at Reapplix,"General Manager, Canada at Urgo Medical North America",Harvard Business School,,Brown University
860,"London, England, United Kingdom",Vice President - Operations & Data Services at Silixa Ltd.,Executive Director - Cased Hole Wireline at Baker Hughes,Massachusetts Institute of Technology,Civil & Environmental Engineering,Brown University
861,"Lake Forest, Illinois, United States",Director of Merchandising at Uline,Sr. Merchandising Manager at Uline,Northwestern University - Kellogg School of Management,Marketing and Strategy,Brown University
862,New York City Metropolitan Area,Chief Marketing Officer at Bernstein Litowitz Berger & Grossmann LLP,Senior Director - Marketing & Business Development at Littler,+ 2 more,American Studies,Brown University
863,"New York, New York, United States",Chief Operating Officer at Encantos,Co-Founder at Brightly,Harvard Business School,International Relations,Brown University
864,Charlotte Metro,Chief Financial Officer at Mafic,Chief Financial Officer at Artisanal Brewing Ventures,Columbia Business School,Finance,Brown University
865,"San Francisco, California, United States",Founder & CEO at Further Food,VP Sales and Marketing at Find Your Trainer,Brown University,Economics and International Relations,Brown University
866,"Baltimore, Maryland, United States",Chief Product Officer at Allovue,Director of Data at Allovue,2009–2010,Urban Education Policy,Brown University
867,"San Francisco, California, United States",Co-CEO at Everlastly,CEO & Co-Founder at StarMaker Interactive,1987–1991,Business Economics,Brown University
868,Dallas-Fort Worth Metroplex,Chief Marketing Officer at Linqto,"Associate Faculty, Institute for Ethical Leadership at St. Thomas University",Brown University,International Relations (focus on Int'l Commerce) and Hispanic Studies (focus on Culture and Lit.),Brown University
869,"New York, New York, United States",Chief Executive Officer at Strategic Legal Solutions,Associate at Skadden Arps,Columbia University - Columbia Business School,Econmics,Brown University
870,"Boston, Massachusetts, United States",Chief Operating Officer at GreenSight,Chief Operating Officer at GreenSight Agronomics,Babson College - Franklin W. Olin Graduate School of Business,Entrepreneurship/Entrepreneurial Studies,Brown University
871,"Boston, Massachusetts, United States",Chief Operating Officer at GreenSight,Chief Operating Officer at GreenSight Agronomics,Babson College - Franklin W. Olin Graduate School of Business,,Brown University
872,Greater Chicago Area,"Sr. Director, Customer Experience Strategy, Neurology  at Lundbeck","Global Marketing Director, Cell Therapy Technologies at Terumo BCT",Harvard Business School,Biology,Brown University
873,"San Francisco, California, United States",CEO at Uber,"Chief Executive Officer at Expedia, Inc.",Brown University,Electrical and Electronics Engineering,Brown University
874,"San Francisco, California, United States",President at AspireIQ,CEO at AspireIQ,Harvard Business School,Computer Science,Brown University
875,"New York, New York, United States","Chief Information Officer at Skadden, Arps, Slate, Meagher & Flom LLP and Affiliates","Director of Global Technology at Skadden, Arps, Slate, Meagher & Flom, LLP",Brown University,Computer Science,Brown University
876,"Harvard, Massachusetts, United States",President and Chief Operating Officer at Physical Sciences Inc.,Chief Operating Officer at Physical Sciences Inc.,1977–1981,Physical Chemistry,Brown University
877,United States,"Founder, Head of Product at Sprout",Global Talent & Growth at Zipline International Inc.,IE Business School,Social Entrepreneurship,Brown University
878,"Los Angeles County, California, United States",President & Chief Operating Officer at Zenith Insurance Company (United States),Counsel at Skadden Arps,University of Michigan - Stephen M. Ross School of Business,Management,Brown University
879,"New York, New York, United States","Vice President Marketing at Flow (Flow Commerce, Inc.) [We're Hiring!]",Vice President Global Marketing at Smartling,Brown University,"International Relations, History of Art and Architecture",Brown University
880,"Brooklyn, New York, United States",Founder & CEO at Sea to Table,,2001–2006,,Brown University
881,"Portland, Maine, United States","Co-Founder, President at ReVision Energy",Investor at Interphase Energy,1999–2000,Mechanical Engineering,Brown University
882,New York City Metropolitan Area,Head of Brand Marketing Strategy at Social Media Relations,Global Brand Marketing Director  at OnePlus,MIT Sloan School of Management,Political Science and Urban Studies,Brown University
883,New York City Metropolitan Area,Managing Director at FirstMark Capital,Venture Partner at South Park Commons,Stanford Graduate School of Business,Political Science,Brown University
884,"Berkeley, California, United States","Chief Operating Officer at Elephant Ventures, LLC.","Director Of Product Development at Elephant Ventures, LLC.",Harvard Medical School,Neuroscience,Brown University
885,Greater Boston,"Head of Marketing, Executive Lead at Tulip Interfaces","Head of Marketing, Group Lead at Tulip Interfaces",Brown University,Anthropology,Brown University
886,"Kansas City, Missouri, United States","VP, Data and Analytics at Univision Communications Inc.","Product Director, Analytics at Univision Communications Inc.",Brown University,,Brown University
887,"San Diego County, California, United States",President and Chief Operating Officer at Xpansiv,Member Board Of Directors at CBL Markets,Brown University,Management,Brown University
888,"Dallas, Texas, United States",EVP and Chief Development Officer at Everyone Health,VP-Development at Surgery Center Network,1984–1985,Business,Brown University
889,"New York, New York, United States",SVP Strategic Partnerships at Oscar Health,SVP Member Strategy & Operations at Oscar Health,London Business School,Political Science,Brown University
890,"New York, New York, United States",Growth Marketing Lead at Headway,Growth Marketing Manager at Betterment,Brown University,Psychology,Brown University
891,Raleigh-Durham-Chapel Hill Area,"President, R&D Operations at IQVIA","President, Clinical Operations at IQVIA",Brown University,Biology,Brown University
892,"Los Angeles, California, United States",Founder and Chief Product Officer at Sahara Cloud,Product Management Intern at Harmonize,UCLA Anderson School of Management,Technology and Entrepreneurship,Brown University
893,"San Jose, California, United States","Senior Director, Technology at KIOXIA America, Inc.",Sr Technologist at Western Digital,Caltech,Applied Mechanics,Brown University
894,"Oxford, England, United Kingdom",Co-Founder at Fireside Chats,,Abingdon School,Development Economics and International Development,Brown University
895,"New York, New York, United States",Vice President Technology & Workflow Strategy at ABC Television Network,Director of News Production at ABC News,1986–1987,Broadcast Journalism,Brown University
896,"New York, New York, United States",Chief AI Officer at Droice Labs,Co-Founder at Droice Labs,Columbia University in the City of New York,Electrical Engineering,Brown University
897,"New York, New York, United States","Senior Vice President - Finance, International Development and Investor Relations at Toll Brothers",Director of Corporate Finance and Planning at DKM Properties Corp.,Harvard University - Kennedy School of Government,English,Brown University
898,"Los Altos, California, United States","Chief Executive Officer at Crown Bioscience, Inc.","Vice President, Asia Pacific & Greater China at CareDx, Inc.",1994–2000,Mol. Biology & Biochemistry,Brown University
899,"Los Angeles, California, United States",Managing Director at CIM Group,Master of Business Administration at Kellogg School of Management,Brown University,International Relations and Business Economics,Brown University
900,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Group Technology - Telecom and IT at Altel Holdings,Head of Channel Innovation and Fintech at Bank Rakyat Malaysia,Brown University,Electrical and Electronics Engineering,Brown University
901,500+ connections,"President and Chief Executive Officer, Optum Pacific West at Optum","President, HealthCare Partners  at HealthCare Partners, A DaVita Medical Group",2000–2002,Health Policy and Management,Brown University
902,"Los Angeles, California, United States",Co-President & Chief Revenue Officer at The Recording Academy,"Senior Vice President, Global Strategy & Innovation at Berklee College of Music",Brown University,Music Business Management,Brown University
903,"Los Angeles, California, United States",co-founder at Future Cannabis Project,CEO at CloudPoint,2002–2004,,Brown University
904,United Kingdom,Chief Marketing Officer at Purplebricks,Chief Marketing & Communications Officer (interim) at SailGP,Brown University,Economics,Brown University
905,"San Francisco, California, United States",Founder & Owner at Probitas Partners,"Director at Donaldson, Lufkin & Jenrette / Credit Suisse",Harvard Business School,,Brown University
906,Dallas-Fort Worth Metroplex,"Vice President, Global Financial Planning & Analysis and Investor Relations at GameStop",Vice President Finance at Kids2,Carnegie Mellon University - Tepper School of Business,"Finance, Accounting & International Management",Brown University
907,"Culver City, California, United States",CFO and COO at Sixense Enterprises Inc.,Investment Banking at Citigroup,"University of California, Los Angeles - The Anderson School of Management",Finance,Brown University
908,"Boulder, Colorado, United States",Boulder Office Lead / Senior Engineer at Plus One Robotics,Head of Brain Engineering at Misty Robotics,Brown University,Computer Science,Brown University
909,"Dallas, Texas, United States",Owner at LeadTech.co Virtual Aiming Systems,Owner at Zonal Systems,The Wharton School,Accounting,Brown University
910,"New York, New York, United States",Director of Product at YipitData,Senior Data Analyst at YipitData,Brown University,"Economics, Psychology",Brown University
911,"Atlanta, Georgia, United States","Sr. Director, Marketing & Merchandising Analytics at Murphy USA",Sr. Director Sales Analytics at Altria,Brown University,Science & Technology Leadership,Brown University
912,"New York, New York, United States",Managing Director at Houlihan Lokey,"Managing Director, Head of Digital Media at MESA Global",1996–1998,Finance,Brown University
913,"New York, New York, United States",Vice President at Harvest Partners,Vice President at CCMP Capital Advisors,Brown University,Economics,Brown University
914,"Providence, Rhode Island, United States",Director of Product Marketing at Andela,Founder at Nlyst Inc.,Brown University,,Brown University
